,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,distractor_target_paragraph
95,949How does the carbon cycle work?,949,What happens during the water cycle?,Natural Sciences,Natural Sciences,How does the carbon cycle work?,Natural Sciences,"(water, evaporates, atmosphere) like (carbon dioxide, evaporates, atmosphere), (water, condenses, clouds) like (carbon dioxide, condenses, clouds), (water, precipitates, land) like (carbon dioxide, precipitates, land).","The water cycle is a continuous process in which water evaporates from the surface of the earth and rises into the atmosphere. Once it reaches the atmosphere, the water vapor condenses and forms clouds. The clouds then move across the sky, releasing their water as rain, sleet, or snow, which eventually returns to the earth's surface. This cycle is repeated over and over, replenishing the earth's water supply.","The carbon cycle is a continuous cycle of processes that move carbon between the atmosphere and the biosphere. Carbon dioxide evaporates from the atmosphere and becomes part of the water cycle. Water condenses in clouds and falls to the Earth as precipitation. This water then enters the ground, rivers, and oceans, where it helps to cycle carbon between the atmosphere and biosphere."," The water enters the ground, rivers, and oceans, where it helps to cycle carbon between the atmosphere and biosphere. Following this, carbon dioxide evaporates from the atmosphere and becomes part of the water cycle. Finally, water condenses in clouds and falls to the Earth as precipitation."
96,317What happens during corrosion?,317,What happens during weathering?,Natural Sciences,Natural Sciences,What happens during corrosion?,Chemical Engineering,"(rainwater, erodes, rocks) like (acid, erodes, metal). (heat, weakens, minerals) like (electricity, weakens, metals). (wind, carries, particles of rock) like (oxygen, carries, ions)","Weathering is a process in which rocks are broken down by external forces. Rainwater erodes the rocks, while heat weakens the minerals within them. Wind carries away particles of rock, further contributing to the weathering process.","Corrosion is a process in which metal is slowly destroyed. Acid erodes the metal, weakening it and causing it to deteriorate. Electricity can also weaken metals, making them more susceptible to corrosion. Oxygen carries ions that can react with the metal and cause corrosion. The combination of these three components leads to the gradual destruction of the metal."," Corrosion starts, where metal is being slowly destroyed. The combination of these components leads to the gradual destruction of the metal. Following this, acid erodes the metal causing deterioration. Then, electricity weakens the metal making it more susceptible to corrosion. Finally, oxygen carries ions that react with the metal causing corrosion."
97,686Describe the process of cellular respiration,686,Describe the process of photosynthesis,Natural Sciences,Natural Sciences,Describe the process of cellular respiration,Biology,"(sunlight, provides, energy) like (oxygen, provides, energy). (chlorophyll, absorbs, sunlight) like (mitochondria, absorbs, oxygen). (carbon dioxide, combines with, water) like (glucose, combines with, oxygen). (glucose, produced, as a result) like (carbon dioxide and water, produced, as a result)",Photosynthesis is the process by which plants produce energy. Sunlight provides energy that is absorbed by the chlorophyll in the plant's leaves. This energy is used to combine carbon dioxide with water to produce glucose. The glucose is then used as a source of energy for the plant.,"Cellular respiration is a process that provides energy to cells by breaking down glucose molecules. Oxygen is necessary for this process and the mitochondria absorbs the oxygen from the environment. Glucose combines with oxygen, and the combination of the two create energy. This energy is used by the cell, and carbon dioxide and water are produced as a result."," Cellular respiration is initiated and starts breaking down glucose molecules. Immediately, glucose combines with oxygen, and the combination of the two create energy. After energy creation, oxygen is absorbed by the mitochondria, which is necessary for this process. This energy is then used by the cell. Finally, carbon dioxide and water are produced as a result."
98,536How does the immune system remove pathogens from the human body?,536,How does blood remove waste from the human body?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the immune system remove pathogens from the human body?,Biomedical and Health Sciences,"(blood, transports, carbon dioxide) like (lymph, transports, pathogens). (white blood cells, engulf, bacteria) like (antibodies, engulf, viruses). (kidneys, filter, waste) like (spleen, filter, foreign particles)",Blood is responsible for transporting carbon dioxide and other waste products away from the cells of the body. White blood cells act as the body's defense system by engulfing bacteria and other foreign substances. The kidneys then filter out waste from the bloodstream and eliminate it from the body.,"The lymphatic system transports pathogens and other foreign particles to the lymph nodes where they are filtered. Here, antibodies engulf viruses and other pathogens, neutralizing them and marking them for destruction. The spleen then filters out any foreign particles, removing them from the body."," Antibodies engulf viruses and other pathogens in the lymph nodes, neutralizing them and marking them for destruction. Following this, the lymphatic system transports pathogens and other foreign particles to the lymph nodes. Finally, the spleen filters out any foreign particles, removing them from the body."
99,298Describe how viruses can cause disease.,298,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Engineering,Describe how viruses can cause disease.,Biomedical Engineering,"(bacteria, invade, cells) like (viruses, invade, cells). (bacteria, produce, toxins) like (viruses, produce, toxins). (bacteria, replicate, rapidly) like (viruses, replicate, rapidly)","Bacteria can cause disease when they invade the cells of an organism. These bacteria can produce toxic substances that can damage tissue and cells. Furthermore, these bacteria can replicate rapidly and spread to other parts of the body, leading to an infection.","Viruses are microscopic organisms that can invade cells and cause disease. When a virus invades a cell, it can produce toxins and other substances that can damage the cell or cause it to malfunction. The virus can also replicate rapidly, taking over the cell and causing it to produce more viruses. The toxins and other substances produced by the virus can cause serious illnesses and diseases in humans."," Viruses are microscopic organisms that can invade cells. The toxins and other substances produced by the virus can cause serious illnesses and diseases in humans. After causing diseases, the virus invades a cell. Then, the virus produces toxins and other substances that can damage the cell or cause it to malfunction. Finally, the virus replicates rapidly, taking over the cell and causing it to produce more viruses."
100,397How does a geothermal power station generate electricity?,397,How does a wind-powered power station generate electricity?,Engineering,Engineering,How does a geothermal power station generate electricity?,Geothermal Engineering,"(wind turbine, captures, kinetic energy) like (geothermal well, captures, heat energy). (wind turbine, converts, kinetic energy) like (geothermal heat exchanger, converts, heat energy). (generator, transforms, kinetic energy) like (generator, transforms, thermal energy). (generator, produces, electrical energy) like (generator, produces, electrical energy)","A wind-powered power station uses a wind turbine to capture the kinetic energy of the wind. The wind turbine then converts the kinetic energy of the wind into mechanical energy. The mechanical energy is then used to power a generator, which transforms the kinetic energy into electrical energy. The generator then produces this electrical energy, which can be used in a variety of ways.",A geothermal power station operates by capturing the heat energy from the Earth using a geothermal well. The collected heat is then passed through a geothermal heat exchanger which converts the heat energy into thermal energy. This thermal energy is then used to power a generator that transforms it into electrical energy. The generator then produces the electrical energy used to power homes and businesses.," The thermal energy is first used to power a generator. Following this, heat energy is captured from the Earth using a geothermal well in a power station. The collected heat is then passed through a geothermal heat exchanger to convert it into thermal energy. Subsequently, the generator transforms this thermal energy into electrical energy. Finally, the electrical energy is used to power homes and businesses."
101,892How does an ice cube form?,892,How does snow form?,Natural Sciences,Engineering,How does an ice cube form?,Mechanical Engineering,"(water vapor, condenses, clouds) like (liquid water, freezes, ice cube). (cold temperatures, cause, snowflakes) like (low temperatures, cause, ice crystals). (snowflakes, accumulate, snow) like (ice crystals, accumulate, ice cube)","Snow forms when water vapor in the air condenses into clouds. Cold temperatures cause the water droplets to freeze and form snowflakes. The snowflakes accumulate on the ground, creating a layer of snow.","Liquid water freezes at a certain temperature, and when the temperature falls below that point, ice crystals begin to form. Low temperatures cause the formation of ice crystals, which accumulate and grow into an ice cube. As the ice crystals accumulate, the ice cube slowly forms."," Liquid water starts to freeze as the temperature falls below a certain point. These accumulated ice crystals then form an ice cube. After the ice cube is formed, ice crystals begin to form due to the low temperatures. Finally, the ice crystals accumulate and grow larger."
102,720How does a hurricane form?,720,How are clouds formed?,Natural Sciences,Natural Sciences,How does a hurricane form?,Meteorology,"(water droplets, condense, air) like (moisture, condense, atmosphere). (warm air, rises, higher altitudes) like (warm air, rises, higher elevations). (water droplets, freeze, clouds) like (moisture, freeze, storms)","Clouds are formed when water droplets in the air condense. As warm air rises to higher altitudes, the pressure decreases and the water droplets in the air start to freeze, forming clouds. The water droplets in the air become too heavy to be suspended in the air and so they form clouds.","A hurricane forms when moisture in the atmosphere condenses and warms air rises to higher elevations. As the air rises, the moisture begins to freeze and is drawn into the eye of the storm. The warm air and moisture combine to create powerful winds that can cause destruction. The condensation of moisture in the atmosphere and the rising of warm air to higher elevations are essential components in the formation of a hurricane."," The warm air and moisture combine to create powerful winds. Following this, moisture in the atmosphere condenses and warm air rises to higher elevations. As the air rises, moisture begins to freeze and is drawn into the eye of the storm. Finally, these processes cause the formation of a hurricane."
103,1058How does an automated washing machine work?,1058,How does a dishwasher work?,Engineering,Engineering,How does an automated washing machine work?,Mechanical Engineering,"(pump, circulates, water) like (motor, circulates, detergent). (spray arms, spins, water) like (agitator, spins, clothes). (heating element, warms, water) like (heating element, warms, detergent)","The dishwasher works by circulating water throughout the appliance with a pump. The water is then sprayed onto the dishes through a pair of spinning spray arms. A heating element is used to warm the water before it is sprayed onto the dishes, ensuring a thorough clean.","The automated washing machine works by using a motor to circulate the detergent around the drum of the machine. The agitator then spins the clothes inside the drum to ensure that the detergent and water covers them. The motor also activates a heating element, which warms up the detergent to a certain temperature to help with the cleaning process."," The motor activates a heating element, which warms up the detergent to facilitate the cleaning process. Then, the agitator spins the clothes inside the drum to ensure that the detergent and water cover them. Finally, the automated washing machine uses a motor to circulate the detergent around the drum of the machine."
104,76How does a glacier form?,76,How does sedimentary rock form?,Natural Sciences,Natural Sciences,How does a glacier form?,Geology,"(sediments, accumulate, over time) like (snow, accumulate, over time). (sediments, compact, into layers) like (snow, compact, into layers). (sediments, harden, into rock) like (snow, harden, into ice)","Sedimentary rock is formed over time as sediments accumulate. These sediments are compacted into layers and gradually harden into rock. The sediments have been deposited by wind, water, and other geological processes, and then compressed and cemented together over time. This compaction and cementation of sediments is what forms sedimentary rock.","A glacier forms over time as snow accumulates in an area. The snow compacts and hardens into layers, forming a dense mass of ice. The pressure of the heavy ice causes the snow layers to harden even further and become a glacier."," The pressure of the heavy ice causes the snow layers to harden even further and become a glacier. After the formation of the glacier, snow accumulates in the area. Then, the snow compacts and hardens into layers, forming a dense mass of ice."
105,1265How does a beaver build a dam?,1265,How does a bird build a nest?,Natural Sciences,Natural Sciences,How does a beaver build a dam?,Ecology,"(bird, gathers, twigs) like (beaver, gathers, sticks). (bird, interweaves, branches) like (beaver, interweaves, logs). (bird, secures, materials) like (beaver, secures, debris)",A bird builds a nest by gathering twigs and interweaving them with branches. It then secures the materials together with mud or saliva to form a sturdy structure. The bird then lines the nest with soft materials such as grass or feathers for insulation and comfort.,"Beavers build dams by gathering sticks and logs and interweaving them together. They then secure the debris to the structure to ensure it is strong and sturdy. The beavers will then use mud, rocks, and sand to plug any gaps and reinforce the dam."," Initially, beavers use mud, rocks, and sand to plug any gaps and reinforce the dam. After that, they gather sticks and logs and interweave them together. Finally, they secure the debris to the structure to ensure it is strong and sturdy."
106,1295How does a water filtration system purify water?,1295,How does a desalination plant remove salt from water?,Engineering,Social Sciences,How does a water filtration system purify water?,Environmental Science,"(salt, dissolves, water) like (contaminants, dissolves, water). (desalination, removes, salt) like (filtration, removes, contaminants). (brine, created, desalination) like (filtrate, created, filtration)","Salt dissolves in water, making it difficult to remove. Desalination is the process of removing salt from seawater or brackish water. In a desalination plant, the water is filtered through a membrane which allows water molecules to pass through and leave the salt behind. This process creates a brine solution which is then discarded, removing the salt from the water.","A water filtration system purifies water by removing contaminants that have dissolved in the water. The filtration process removes the contaminants, leaving behind a filtered water called the filtrate. The filtrate is created by the filtration process, and it is free of contaminants."," A water filtration system begins to purify water by removing contaminants that have dissolved in the water. After the contaminants are removed, a filtered water called the filtrate is left behind. Then, the filtration process removes the contaminants. Finally, the filtrate, free of contaminants, is created."
107,1137How does an eagle spot its prey from a distance?,1137,How do owls hunt at night?,Natural Sciences,Natural Sciences,How does an eagle spot its prey from a distance?,Ornithology,"(owls, locate, prey) like (eagles, locate, prey) . (owls, use, wings) like (eagles, use, wings) . (owls, employ, sharp vision) like (eagles, employ, sharp vision)","Owls are predators that hunt at night. They use their wings and sharp vision to locate prey. Their wings enable them to fly silently and their sharp vision allows them to locate prey even in the dark. Owls employ their hearing as well, which helps them track down their prey. By combining all these features, owls are able to hunt successfully at night.","Eagles are able to locate and spot their prey from a distance by using their wings to soar high in the sky and employ their sharp vision. Their eyesight is incredibly powerful and can pick out the tiniest of movements, allowing them to identify and track their prey with ease. This helps them to swoop down and capture their target quickly and efficiently."," Eagles use their wings to soar high in the sky. Without spotting or tracking their prey, they swoop down and capture their target. After capturing their target, they employ their sharp vision to locate and spot their prey from a distance. Finally, they identify and track their prey."
108,635Describe the life cycle of a bee,635,Describe the life cycle of a bird,Natural Sciences,Natural Sciences,Describe the life cycle of a bee,Natural Sciences,"(bird, hatches, from an egg) like (bee, hatches, from a larva). (bird, migrates, to warmer climates) like (bee, migrates, to sunnier spots). (bird, builds, a nest) like (bee, builds, a hive). (bird, produces, offspring) like (bee, produces, new colonies)","The life cycle of a bird begins when it hatches from an egg. Once the bird has grown, it begins to build a nest and produce offspring. When the weather becomes colder, the bird migrates to warmer climates. Once it arrives in its new environment, the bird begins the cycle again by building a nest and reproducing.","A bee begins its life cycle when it hatches from a larva. It then migrates to sunnier spots to forage for food. When the bee finds a suitable location, it builds a hive and produces new colonies. The bee then continues to feed and take care of the new colonies until it reaches the end of its life cycle."," A bee begins its life cycle when it hatches from a larva. It then finds a suitable location, builds a hive, and produces new colonies. After creating new colonies, the bee migrates to sunnier spots to forage for food. The bee then continues to feed and take care of the new colonies until it reaches the end of its life cycle."
109,135How do dolphins use sonar?,135,How do bats use echolocation?,Natural Sciences,Natural Sciences,How do dolphins use sonar?,Marine Biology,"(bats, emit, sound waves) like (dolphins, emit, sound waves). (bats, detect, objects) like (dolphins, detect, objects). (bats, interpret, echoes) like (dolphins, interpret, echoes)","Bats use echolocation to navigate in the dark. To do this, they emit sound waves, which bounce off of objects in the environment and return to the bats as echoes. The bats then detect the echoes and interpret the information, allowing them to locate and identify the objects around them.","Dolphins use sonar to help them navigate and detect objects in their environment. They emit sound waves that travel through the water and bounce off of objects, creating echoes. Dolphins then interpret the echoes to gain information about their surroundings. This helps them detect objects in their environment, such as food sources or predators."," Dolphins interpret these echoes to gain information about their surroundings. After interpreting the echoes, dolphins emit sound waves that travel through water and bounce off objects. These sound waves then create echoes. Finally, dolphins use sonar to navigate and detect objects."
110,779How does a mechanical system of water purification works?,779,How do plants obtain and use water?,Natural Sciences,Engineering,How does a mechanical system of water purification works?,Mechanical Engineering,"(roots, absorb, water) like (filters, absorb, contaminants). (xylem, transport, water) like (pump, transport, purified water). (stomata, regulate, water loss) like (valves, regulate, flow rate)","Plants obtain water from their environment by their roots absorbing the water in the soil. The absorbed water then moves through the xylem in the stem of the plant and is transported to the leaves. The stomata in the leaves regulate the water loss from the plant, allowing it to take in the water it needs while preventing excessive water loss.","A mechanical system of water purification works by utilizing filters to absorb contaminants from the water. The pump then transports the purified water through the system, while valves regulate the flow rate. The filters absorb contaminants from the water, while the pump transports the purified water and the valves regulate the flow rate."," Initially, valves regulate the flow rate. Then, the pump transports the purified water through the system. Finally, a mechanical system of water purification uses filters to absorb contaminants from the water."
111,796How does a mechanical system of air conditioning work?,796,How do the lungs work?,Biomedical and Health Sciences,Engineering,How does a mechanical system of air conditioning work?,Mechanical Engineering,"(lungs, inhale, oxygen) like (air conditioner, inhale, air). (alveoli, exchange, gases) like (evaporator, exchange, heat). (capillaries, absorb, oxygen) like (condenser, absorb, heat)","The lungs inhale oxygen from the atmosphere.  The inhaled oxygen then passes through the alveoli, where the exchange of gases occurs. The oxygen is then absorbed by the capillaries, which transport it throughout the body.  The alveoli also expel carbon dioxide from the body during exhaling.","A mechanical system of air conditioning works by inhaling air from the outside. This air passes through the evaporator where it exchanges heat with the refrigerant, cooling the air. The refrigerant then passes through the condenser, absorbing the heat from the air. Finally, the cooled air is released back into the room."," The mechanical system of air conditioning works by inhaling air from the outside. The refrigerant then passes through the condenser, absorbing the heat from the air. Afterward, the air passes through the evaporator where it exchanges heat with the refrigerant to cool it. Finally, the cooled air is released back into the room."
112,315How does corrosion cause metal to break apart?,315,How does weathering cause rocks to break apart?,Natural Sciences,Engineering,How does corrosion cause metal to break apart?,Materials Engineering,"(wind, erodes, rock surface) like (acid, corrodes, metal surface). (rain, wears away, rock) like (salt, wears away, metal). (temperature fluctuations, expand, rocks) like (temperature fluctuations, expand, metal)","Weathering is the process of breaking down rocks by natural forces. Wind and rain erode the rock surface and wear away at the rock. Temperature fluctuations also play a role in weathering, as the expansion and contraction of the rocks due to temperature changes can cause them to break apart.","Corrosion of metals is a common phenomenon caused by the reaction of the metal surface with acids. Acids corrode the metal surface, which can cause cracks and holes in the metal. The presence of salt in the environment can also wear away the metal, making it more susceptible to corrosion. Temperature fluctuations can also cause metal to expand and contract, leading to cracks and breaks over time."," The presence of salt in the environment wears away the metal, making it more susceptible to corrosion. Following this, the reaction of the metal surface with acids causes corrosion. As a result of this corrosion, cracks and holes form in the metal. Finally, temperature fluctuations cause the metal to expand and contract, leading to further cracks and breaks over time."
113,225How does a solar-powered water heater work?,225,How does a battery-operated sewing machine work?,Engineering,Engineering,How does a solar-powered water heater work?,Electrical Engineering,"(battery, supplies, electrical current) like (solar panel, supplies, electrical current). (motor, rotates, needle) like (pump, circulates, water). (electrical circuit, controls, motor) like (electrical circuit, controls, pump)","The battery-operated sewing machine runs on electricity supplied by a battery. The battery supplies the electrical current that is used to power the motor. The motor then rotates the needle to sew the fabric. The electrical circuit is responsible for controlling the speed and power of the motor, and it regulates the electrical current flowing through the machine.","A solar-powered water heater uses energy from the sun to heat water. The solar panel supplies electrical current to an electrical circuit, which controls a pump. The pump circulates the water through the solar collector, where it absorbs the heat from the sun. The heated water is then sent to the storage tank, where it is available for use."," The solar-powered water heater uses energy from the sun to heat water. The water absorbs the heat from the sun while in the solar collector. Then, the solar panel supplies electrical current to an electrical circuit. The electrical circuit controls a pump. The pump circulates the water through the solar collector. The heated water is then sent to the storage tank. Finally, the heated water is available for use."
114,51How does a metal alloy form?,51,How do minerals form?,Natural Sciences,Engineering,How does a metal alloy form?,Materials Engineering,"(atoms, bond together, molecules) like (elements, bond together, alloy). (crystals, grow, solid form) like (grains, grow, amalgam). (pressure, squeeze, rocks) like (heat, squeeze, metals)","Minerals form when atoms bond together to form molecules. These molecules then form crystals which grow in a solid form. The pressure of the surrounding environment can squeeze and heat rocks, creating the perfect conditions for mineral formation.","Metal alloys are formed when elements bond together to form an amalgam. This is done by heating and squeezing the metals together. As a result, the grains of the metals grow together to form a single alloy. The heat and pressure cause the elements to mix and form the alloy."," Initially, elements are prepared to form an amalgam. Then, the grains of the metals grow together to form a single alloy. After the grains have grown together, the elements are heated and compressed together. Finally, under the heat and pressure, the elements mix to form the alloy."
115,475How does the greenhouse effect work?,475,Describe the process of global warming,Natural Sciences,Natural Sciences,How does the greenhouse effect work?,Environmental Science,"(sunlight, radiates, Earth's surface) like (sunlight, radiates, atmosphere). (heat, gets trapped, by greenhouse gases) like (heat, gets trapped, by clouds). (temperature, rises, average global temperature) like (temperature, rises, local temperature)","Global warming is caused by the process of trapping heat from sunlight that radiates onto the Earth's surface. Greenhouse gases such as water vapor, carbon dioxide and methane act like a blanket, trapping the heat in the atmosphere and preventing it from escaping into space. This increase in the atmospheric temperature causes the average global temperature to rise, resulting in climate change.","Sunlight radiates into the atmosphere and some of this radiation is trapped by clouds, which causes the heat to get trapped. This trapped heat causes the local temperature to rise, which is known as the greenhouse effect. The greenhouse effect is what causes the average global temperature to increase."," Sunlight radiates into the atmosphere. This radiation then causes the greenhouse effect, which increases the average global temperature. Following this, some of the radiation is trapped by clouds, leading to trapped heat. Finally, this trapped heat causes the local temperature to rise, creating the greenhouse effect."
116,1310Describe how bears hibernate.,1310,Describe how squirrels prepare for winter.,Natural Sciences,Natural Sciences,Describe how bears hibernate.,Animal Biology,"(squirrels, store, acorns) like (bears, store, fat). (squirrels, create, nests) like (bears, build, dens). (squirrels, gather, food) like (bears, collect, food)","Squirrels prepare for winter by storing acorns and gathering food to last them through cold months. They also create nests in tree hollows or in the ground, which provide insulation and keep them warm. Acorns provide a good source of food for squirrels, and by storing them, they are able to ensure that they have enough food for the winter.","Hibernation is a process where bears store fat to survive the winter. To prepare for hibernation, bears build dens that provide shelter from the cold temperatures. During the fall, bears collect food to store enough fat for the winter. This fat is then converted into energy, allowing bears to survive until spring when they emerge from their dens."," Bears store fat to prepare for hibernation. During fall, they collect food to accumulate enough fat for the winter. After collecting food, they build dens to provide shelter for the cold months. In spring, they emerge from their dens. After emerging, the fat is converted into energy allowing them to survive until the next spring."
117,517Describe the life cycle of a butterfly,517,Describe the life cycle of a frog,Natural Sciences,Natural Sciences,Describe the life cycle of a butterfly,Natural Sciences,"(egg, hatches, tadpole) like (cocoon, hatches, caterpillar). (tadpole, metamorphoses, frog) like (caterpillar, metamorphoses, butterfly). (frog, lays, eggs) like (butterfly, lays, eggs)","The life cycle of a frog starts with an egg which hatches into a tadpole. The tadpole grows and eventually undergoes metamorphosis, transforming into a frog. The frog then lays eggs, which begin the cycle anew.","The life cycle of a butterfly begins when a cocoon hatches and a caterpillar emerges. The caterpillar feeds and grows before it metamorphoses into a butterfly. Once it has transformed, the butterfly will lay eggs and eventually die, completing the cycle."," The life cycle of a butterfly begins when a cocoon hatches and a caterpillar emerges. Immediately, the butterfly lays eggs. Following this, it metamorphoses into a butterfly. After its transformation, the caterpillar feeds and grows. Eventually, the butterfly dies, completing the cycle."
118,1058How does a water purification system work?,1058,How does a dishwasher work?,Engineering,Natural Sciences,How does a water purification system work?,Environmental Science,"(pump, circulates, water) like (pump, circulates, water). (filter, traps, dirt) like (filter, traps, contaminants). (detergent, cleans, dishes) like (chemical, cleans, water)","A dishwasher uses a pump to circulate water throughout the dishwasher. The water is filtered so that any dirt or debris is trapped. The detergent is then added to the water and helps to clean the dishes. The water is sprayed onto the dishes and the detergent helps to break down any food or dirt particles. The water is then drained and the filter traps any dirt particles, so the dishes come out clean and sparkling.","A water purification system uses a pump to circulate the water. The pump forces the water through a filter, which traps any contaminants. Finally, a chemical is added to the water to clean it further. The chemical helps to remove any remaining impurities, ensuring the water is safe to drink."," Initially, a chemical is added to the water to clean it further. Following this, a water purification system uses a pump to circulate the water. The pump then forces the water through a filter, which traps any contaminants. Finally, the chemical helps to remove any remaining impurities, ensuring the water is safe to drink."
119,846How does a filtration system remove waste from a pool?,846,How does blood remove waste from the human body?,Biomedical and Health Sciences,Engineering,How does a filtration system remove waste from a pool?,Environmental Engineering,"(heart, pumps, blood) like (pump, pumps, water). (blood vessels, transport, nutrients) like (pipes, transport, water). (kidneys, filter, toxins) like (filters, filter, dirt)","The heart pumps the blood throughout the body. The blood vessels transport nutrients, oxygen, and other essential components throughout the body. At the same time, the blood vessels carry the wastes that need to be removed from the body. The kidneys filter the toxins and waste products from the blood, allowing the body to rid itself of these harmful substances.","A filtration system works by using a pump to pump water from the pool. The pump then pushes the water through a series of pipes, which transport the water to the filtration system. The filtration system is made up of filters, which are designed to filter out dirt and other debris from the water. The filtered water is then returned to the pool, leaving behind the dirt and other materials that were removed from the water."," A pump starts by pumping water from the pool. Then, the filtered water is returned to the pool. After that, the pump pushes the water through a series of pipes to the filtration system. Finally, the filtration system filters out dirt and debris from the water."
120,466Describe the process of dialysis,466,Describe the process of desalination,Engineering,Biomedical and Health Sciences,Describe the process of dialysis,Biomedical and Health Sciences,"(Saltwater, filters, through) like (Blood, filters, through). (Desalination, removes, salts) like (Dialysis, removes, toxins). (Reverse osmosis, purifies, water) like (Hemodialysis, purifies, blood)","Desalination is the process of removing salts from saltwater. The saltwater is filtered through a membrane, which acts as a barrier to separate the salts from the water. Reverse osmosis is then used to purify the water, leaving only fresh, drinkable water.","Dialysis is a medical process that filters the blood through a special machine. It works by removing toxins, such as waste products and excess salts, from the body. Hemodialysis is one type of dialysis that purifies the blood by circulating it through a special filter. The filter removes the toxins and waste products and returns the purified blood to the body."," Dialysis is a medical process that filters the blood through a special machine. The filter then removes the toxins and waste products and returns the purified blood to the body. After the blood has been purified and returned, dialysis removes toxins, such as waste products and excess salts, from the body. Finally, hemodialysis, one type of dialysis, purifies the blood by circulating it through a special filter."
121,384How does a bacteria cause infection?,384,How does a virus cause disease?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does a bacteria cause infection?,Biomedical and Health Sciences,"(virus, enters, cell) like (bacteria, enters, tissue). (virus, replicates, itself) like (bacteria, multiplies, itself). (virus, triggers, immune response) like (bacteria, triggers, immune response)","A virus is a microscopic particle that enters a cell and replicates itself. Once inside, the virus is able to hijack the cell's metabolic processes and cause it to manufacture more of the virus. This replication triggers an immune response from the body, which can cause the symptoms of the virus-induced disease.","When a bacteria enters a tissue, it can begin to multiply itself. This multiplication can cause the bacteria to spread to other tissues. The presence of bacteria in the body triggers an immune response from the host, which can cause symptoms of infection."," The bacteria spreads to other tissues. Then, the bacteria begins to multiply itself. After multiplying, a bacteria enters a tissue. Finally, the host's immune response is triggered causing symptoms of infection."
122,1046How do you use a washing machine?,1046,How do you use a dishwasher?,Engineering,Social Sciences,How do you use a washing machine?,Social Sciences,"(detergent, cleans, dishes) like (detergent, cleans, clothes). (water, fills, dishwasher) like (water, fills, washing machine). (dishwasher, dries, dishes) like (washing machine, dries, clothes)","Using a dishwasher is an easy way to get your dishes clean. Start by adding detergent to the dishwasher, which will help to clean the dishes. Then, fill the dishwasher with water. Once the dishes are placed in the dishwasher, the machine will circulate the water to clean the dishes. Once the cleaning process is finished, the dishwasher will use heat to dry the dishes.","Using a washing machine is a fairly straightforward task. First, you need to add the appropriate amount of detergent to the washing machine, which will help to clean your clothes. Next, you need to fill the machine with the desired amount of water. Finally, run the washing machine cycle to wash and dry your clothes. The detergent will help to clean your clothes while the water fills the washing machine, and the machine itself will dry the clothes."," The washing machine cycle is run to wash and dry the clothes. After the cycle, the appropriate amount of detergent is added to the washing machine. Finally, the washing machine is filled with the desired amount of water."
123,159Describe the process of manufacturing an automobile,159,Describe the process of recycling an aluminum can,Engineering,Engineering,Describe the process of manufacturing an automobile,Manufacturing Engineering,"(aluminum can, crushed, small pieces) like (steel sheets, crushed, small pieces). (metals, melted, liquid) like (plastics, melted, liquid). (aluminum can, reshaped, new form) like (plastics, reshaped, new form)","The recycling process for an aluminum can begins with crushing it into small pieces. The pieces are then placed in a furnace, where the metals are melted into a liquid form. Afterwards, the liquid aluminum can be reshaped into a new form for use in other products.","The process of manufacturing an automobile starts with steel sheets being crushed into small pieces to create the frame of the car. Plastics are then melted down into a liquid and reshaped into a new form for the interior and exterior panels of the car. Finally, the components are assembled together to create the finished product."," Initially, plastics are melted down into a liquid and reshaped for the interior and exterior panels of the car. Following this, steel sheets are crushed into small pieces to create the frame of the car. Finally, the components are assembled together to create the finished product."
124,556How does an automated insulin delivery system work?,556,How does the body control its blood sugar level?,Biomedical and Health Sciences,Engineering,How does an automated insulin delivery system work?,Biomedical Engineering,"(pancreas, produces, insulin) like (machine, produces, insulin). (blood glucose, monitored by, glucose sensor) like (blood glucose, monitored by, glucose meter). (insulin, regulates, sugar level) like (insulin, regulates, sugar concentration)","The pancreas produces insulin which is responsible for controlling the body's blood sugar level. The glucose sensor monitors the levels of glucose in the blood, and sends signals to the pancreas accordingly. The insulin then works to regulate the sugar level in the body, either by stimulating the uptake of glucose from the blood into cells, or by reducing the amount of glucose that is produced in the body.","An automated insulin delivery system is a machine that produces insulin. It is used to manage diabetes by monitoring the blood glucose with a glucose meter. When the glucose levels become too high, the machine will automatically produce the appropriate amount of insulin to regulate sugar concentration in the blood."," The automated insulin delivery system is introduced as a machine that produces insulin. If the glucose levels become too high, the machine automatically produces the appropriate amount of insulin. After the insulin is produced, the system is used to manage diabetes, monitoring the blood glucose levels with a glucose meter."
