,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,distractor_target_paragraph,random_target_paragraph
78,675Describe the process of petrification,675,Describe the process of fossilization,Natural Sciences,Natural Sciences,Describe the process of petrification,Geology,"(dead organisms, become, fossilized) like (plants and animals, become, petrified). (impressions, preserved, in sedimentary rocks) like (impressions, preserved, in volcanic ash). (minerals, replace, organic material) like (minerals, replace, organic matter)","Fossilization is the process by which dead organisms become fossilized. The process begins when the remains of an organism are left behind and become buried in sedimentary rocks. Over time, impressions of the organism are preserved in the rocks. Minerals then replace the organic material, creating a fossil that is preserved over time.","Petrification is a process in which plants and animals are converted into stone. The organic matter of the organism is preserved as impressions in the surrounding volcanic ash. Over time, minerals slowly replace the organic matter, resulting in a fossilized replica of the original organism."," The process results in a fossilized replica of the original organism. Following this, plants and animals are preserved as impressions in the surrounding volcanic ash. Over time, minerals slowly replace the organic matter.","A mold spore floats through the air.
The spore lands on a piece of bread.
The spore grows hyphae into the bread.
The mold forms a colony.
Sporangiophores grow upward.
The mold sends out spores."
79,425How does a product get from the factory to a store?,425,How does oil get from the ground to a gas station?,Engineering,Social Sciences,How does a product get from the factory to a store?,Economics,"(oil, extracted, from underground) like (product, manufactured, in factory). (oil, transported, by pipeline) like (product, transported, by truck). (oil, sold, to wholesaler) like (product, sold, to retailer)","Oil is extracted from underground, usually from deep within the earth. Once the oil is extracted, it is transported by pipeline to refineries, where it is processed and turned into products such as gasoline. The processed oil is then sold to a wholesaler, who will then transport the oil to a gas station for consumers to purchase.","Products are manufactured in a factory. Once the production is complete, the product is transported by truck from the factory to the store. The product is then sold to a retailer, who will then make it available for purchase."," The product is made available for purchase. Then, products are manufactured in a factory. After production, the product is transported by truck from the factory to the store. Finally, the product is sold to a retailer.","An owl leaves his nest.
The owl flys out into the night.
The owl looks down at the ground.
The owls keen eyesight allows him to see in the dark.
The owls sensitive hearing allows him to locate hidden prey.
The owl swoops down.
The owl catches a mouse in his talons."
80,158Describe the process of composting organic materials,158,Describe the process of recycling an aluminum can,Engineering,Social Sciences,Describe the process of composting organic materials,Environmental Science,"(aluminum can, collected, recycling centers) like (organic materials, collected, composting sites). (aluminum can, crushed, smaller pieces) like (organic materials, broken down, smaller particles). (aluminum can, melted, reusable material) like (organic materials, decomposed, nutrient-rich soil)","The process of recycling an aluminum can begins with collecting it from various sources and bringing it to a recycling center. Once at the recycling center, the aluminum can is then crushed into smaller pieces. The smaller pieces are then melted down into a reusable material. This reusable material can then be used to create a new aluminum can.",Composting organic materials involves collecting them from various sources and bringing them to composting sites. The organic materials are then broken down into smaller particles. These particles are then decomposed through microorganisms and bacteria. The process of decomposition yields nutrient-rich soil that can be used for gardening and agriculture.," Organic materials are collected from various sources and brought to the composting site. Immediately, the process of decomposition yields nutrient-rich soil. After the soil is produced, the organic materials are then broken down into smaller particles. Finally, microorganisms and bacteria decompose these particles.","Pressure pushes up from inside the volcano.
Lava comes out of the volcano.
Ash clouds and rocks also come out of some volcanos.
The things that come out of the volcano cause disturbances in the environment.
The eruption lasts for a long time for some eruptions.
The volcano loses the built up pressure.
The lava and other debris stop coming out of the volcano.
Mudslides and ash clouds cause problems after some eruptions."
81,873How does water get from an aquifer to a water treatment plant?,873,How does oil get from the ground to a gas station?,Engineering,Natural Sciences,How does water get from an aquifer to a water treatment plant?,Hydrology,"(drilling, extracts, oil) like (pumping, extracts, water). (oil, transported by, pipelines) like (water, transported by, pipelines). (refinery, processes, oil) like (treatment plant, processes, water)","Oil extraction begins with drilling. This process extracts oil from underground reservoirs. Once the oil is extracted, it is transported by pipelines to a refinery. The refinery processes the oil into a useable form. Finally, the oil is delivered to a gas station for sale.","Water is extracted from an aquifer by pumping. The water is then transported by pipelines to the water treatment plant. At the treatment plant, the water is processed to make it safe for consumption. The process includes filtering, disinfection, and removal of any contaminants that may be present."," At the treatment plant, the water is processed to make it safe for consumption. After processing, water is extracted from an aquifer by pumping. The water is then transported by pipelines to the water treatment plant. The process includes filtering, disinfection, and removal of any contaminants that may be present.","Sound enters the ears of a person.
The sound hits a drum that is inside the ear.
The drum inside the ear converts the sound to electrical impulses.
The electrical impulses are sent to the brain.
The brain can decode the impulses into sound."
82,605Describe how air pollution can affect the environment.,605,Describe how acid rain can affect the environment.,Natural Sciences,Engineering,Describe how air pollution can affect the environment.,Environmental Engineering,"(acid rain, corrodes, buildings) like (air pollution, corrodes, buildings). (acid rain, leaches, soil) like (air pollution, leaches, soil). (acid rain, causes, respiratory problems) like (air pollution, causes, respiratory problems)","Acid rain is a type of precipitation with a pH that is lower than normal, and it can have a severe effect on the environment. Acid rain can corrode buildings, leach nutrients from the soil, and cause respiratory problems for people and animals. Furthermore, it can also reduce the pH of lakes, making them too acidic for fish and other aquatic life to survive. As a result, acid rain can cause significant damage to the ecosystem.","Air pollution is a major environmental concern as it can cause a variety of negative effects. It has the potential to corrode buildings and leach vital nutrients from the soil. In addition, air pollution can cause respiratory problems and other health issues in humans and animals. It can also have long-term effects on the environment, such as climate change."," Respiratory problems and other health issues develop in humans and animals. Following this, buildings corrode and soil loses vital nutrients due to the pollution. After these effects, air pollution occurs. Finally, long-term effects on the environment, such as climate change, start to show.","The bat sends out sound waves from their mouth or nose.
The sound waves hit an object.
Echoes are produced.
The echo returns to the bat's ears.
The bat hears the echo.
The bat can figure out where the object is located."
83,611How can a virus cause an infection?,611,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Social Sciences,How can a virus cause an infection?,Biomedical and Health Sciences,"(bacteria, produce, toxins) like (virus, produce, antigens). (bacteria, invade, cells) like (virus, invade, cells). (bacteria, cause, diseases) like (virus, cause, illnesses)","Bacteria can cause disease in many ways. They can produce toxins which can cause harm to the body. They can also invade cells and interfere with the normal functioning of the body. In some cases, the bacteria can cause diseases such as pneumonia, urinary tract infections, and food poisoning.","A virus is a microscopic organism which can produce antigens. These antigens can trigger an immune response in the body, resulting in an infection. The virus can invade cells, causing them to replicate and spread the infection. In doing so, the virus can cause illnesses such as the common cold, flu, or more serious infections."," A virus is a microscopic organism which can produce antigens. This virus can cause illnesses such as the common cold, flu, or more serious infections. These antigens can then trigger an immune response in the body, resulting in an infection. Finally, the virus can invade cells, causing them to replicate and spread the infection.","The oil is extracted from the ground by drilling.
Oil is transported to a refinery.
The oil is refined into a more useful product.
The gas made from the refining is loaded onto tank trucks.
The trucks deliver the gas to gas stations."
84,721How does water evaporate and condense?,721,How are clouds formed?,Natural Sciences,Social Sciences,How does water evaporate and condense?,Atmospheric Sciences,"(water molecules, absorb, solar energy) like (water molecules, absorb, heat energy). (water molecules, rise, higher altitudes) like (water molecules, rise, warmer temperatures). (water vapor, condenses, clouds) like (water vapor, condenses, droplets)","Clouds are formed when water molecules absorb solar energy and rise to higher altitudes. As the water molecules rise, the air pressure decreases and causes them to condense into tiny water droplets. When enough of these droplets accumulate, they form clouds. The condensation of water vapor is what creates clouds in the atmosphere.","Water molecules absorb heat energy and rise into the warmer temperatures in the atmosphere.  As the water molecules rise, they become water vapor, which condenses as droplets when it encounters cooler temperatures.  The condensation of water vapor forms clouds and precipitation, and the process is then repeated as the water evaporates again."," Water molecules absorb heat energy and rise. The condensation of water vapor forms clouds and precipitation. After the formation of clouds, the molecules become water vapor. The water vapor then condenses into droplets when it encounters cooler temperatures. Finally, the water evaporates again and the process repeats.","The bat sends out sound waves from their mouth or nose.
The sound waves hit an object.
Echoes are produced.
The echo returns to the bat's ears.
The bat hears the echo.
The bat can figure out where the object is located."
85,1053How does the human body maintain a constant temperature?,1053,How does a greenhouse stay warm?,Engineering,Biomedical and Health Sciences,How does the human body maintain a constant temperature?,Biomedical and Health Sciences,"(sunlight, enters, greenhouse) like (metabolism, generates, heat). (glass walls, trap, heat) like (insulation, traps, body heat). (water vapor, retains, heat) like (fat tissue, retains, body heat)","The sunlight enters the greenhouse and is trapped by the glass walls. The heat is then retained by the water vapor inside the greenhouse. The water vapor acts as insulation, preventing the heat from escaping. This creates a warm environment inside the greenhouse and helps to maintain the temperature.","The human body maintains a constant temperature through a combination of mechanisms. Metabolism generates heat which is kept within the body by insulation, trapping body heat. Additionally, fat tissue retains body heat, allowing the body to maintain the same temperature."," The human body maintains a constant temperature through a combination of mechanisms, primarily through insulation, trapping body heat. Following this, metabolism in the human body generates heat. Additionally, fat tissue retains body heat, allowing the body to maintain the same temperature.","Magma moves closer to the Earth's crust.
The magma starts to cool.
The cooling causes atoms in the magma to condense.
The condensed magma solidifies.
The solidified magma forms minerals."
86,874How does water get from the ground to a tap?,874,How does oil get from the ground to a gas station?,Engineering,Natural Sciences,How does water get from the ground to a tap?,Hydrology,"(oil, drilled from, underground) like (water, pumped from, underground). (oil, transported by, pipes) like (water, transported by, pipes). (oil, refined in, refinery) like (water, treated in, treatment plant)","Oil is drilled from underground using a drill and pipe. Once extracted from the ground, the oil is transported by pipes to a refinery. At the refinery, the oil is refined to create fuel which can then be transported to a gas station. The fuel is then pumped into cars at the gas station, ready for use.","Water is pumped from underground using a pump. Once it is extracted from the ground, it is transported by a network of pipes to a treatment plant. At the treatment plant the water is treated to remove impurities and then sent to households through the pipes. The water is then available for use from the tap."," Water is pumped from underground. It is then transported by a network of pipes to a treatment plant. After being transported, the water is sent to households through the pipes. Following this, the water is treated to remove impurities at the treatment plant. Finally, the water is then available for use from the tap.","You place aluminum cans and other products into recycling bins.
Your town or a private company collect and transport the aluminum to a recycling facility.
The aluminum is sorted and cleaned at the central recycling facility.
The aluminum is melted down to remove coatings and inks.
The melted aluminum is formed into large formations called ingots.
The ingots are transported to another facility and rolled out to make them easier to manipulate.
The ingots can now be turned into new aluminum products."
87,873How does food get from the farm to the grocery store?,873,How does oil get from the ground to a gas station?,Engineering,Social Sciences,How does food get from the farm to the grocery store?,Social Sciences,"(oil, extracted, from the ground) like (food, harvested, from the farm) . (oil, transported, to the gas station) like (food, transported, to the grocery store) . (oil, refined, into fuel) like (food, processed, into edible products)","Oil is extracted from the ground by drilling. After extraction, the oil is transported to a refinery, where it is processed and refined into fuel. The fuel is then transported to a gas station, where it is sold to consumers.","Food is harvested from the farm and is then transported to the grocery store. Once the food arrives, it is processed into edible products and packaged to be sold in the store. The food is then stocked in the grocery store and ready for customers to purchase."," The food is stocked in the grocery store and ready for customers to purchase. Afterward, food is harvested from the farm. The harvested food is then transported to the grocery store. Finally, it is processed into edible products and packaged to be sold in the store.","Volcanos contain magma.
The magma is very hot.
The magma rises toward the surface of the volcano.
The magma cools.
The magma starts to harden as it cools.
The magma is sometimes released from the volcano as lava.
The magma or lava becomes a hard rock as it solidifies."
88,872How does electricity get from the power plant to a home?,872,How does oil get from the ground to a gas station?,Engineering,Engineering,How does electricity get from the power plant to a home?,Electrical Engineering,"(oil, extracted from, underground) like (electricity, generated from, power plant). (oil, transported through, pipeline) like (electricity, transmitted through, electrical grid). (oil, refined in, refinery) like (electricity, transformed in, substation). (oil, delivered to, gas station) like (electricity, supplied to, home)","Oil is extracted from underground reservoirs and transported through a pipeline to a refinery. At the refinery, the oil is refined into gasoline and other petroleum products. The finished products are then delivered to gas stations, where they are available for purchase.","Electricity is generated from a power plant and is then transmitted through the electrical grid. The electricity is then transformed in a substation, which helps to control the voltage and frequency of the current. Finally, the electricity is supplied to a home through the electrical grid, providing power for the home."," Electricity is supplied to a home through the electrical grid, providing power for the home. After being supplied, the electricity is transmitted through the electrical grid. Then, the electricity is transformed in a substation, which helps to control the voltage and frequency of the current. Finally, electricity is generated from a power plant.","Limestone is located under the soil.
Rain picks up carbon dioxide as it falls to earth.
The rain falls on the soil over the limestone.
The carbon dioxide in the rain washes through the soil.
The carbon dioxide turns into acid.
The acid in the rain gets to the limestone below the soil.
The acid dissolves the limestone.
Acid continues to erode the limestone with more rain over time.
The eroded limestone sometimes forms caves."
89,619How do nutrients reach cells in the body?,619,Describe how oxygen reaches cells in the body,Biomedical and Health Sciences,Biomedical and Health Sciences,How do nutrients reach cells in the body?,Biomedical and Health Sciences,"(oxygen, transported by, red blood cells) like (nutrients, transported by, white blood cells). (lungs, absorb, oxygen) like (intestines, absorb, nutrients). (nose, inhales, oxygen) like (mouth, ingests, nutrients)","Oxygen is inhaled through the nose and absorbed in the lungs. The oxygen is then transported by red blood cells to the cells in the body. The red blood cells carry the oxygen to the cells, thus providing the necessary oxygen for the cells to function.","Nutrients are ingested through the mouth, then transported through the digestive system where they are absorbed in the intestines. White blood cells then carry these nutrients throughout the body, ensuring they reach all of the cells. The nutrients provide vital energy and support the body's functions."," Nutrients are ingested through the mouth. Immediately after ingestion, white blood cells carry these nutrients throughout the body. Subsequently, the nutrients are transported through the digestive system. Following this, the nutrients are absorbed in the intestines. Finally, the nutrients provide vital energy and support the body's functions.","A female fish lays eggs.
Larvae hatch from the eggs.
The larvae eat and grow.
The larvae form into juvenile fish.
The juvenile fish grow into adult fish.
The adult fish mate.
The female fish lays eggs."
90,1142Describe how human activities can negatively impact the environment,1142,Describe how forest fires can negatively affect animals,Natural Sciences,Social Sciences,Describe how human activities can negatively impact the environment,Environmental Science,"(Forest fire, destroy, habitat) like (Human activities, destroy, habitat) . (Forest fire, reduce, available resources) like (Human activities, reduce, available resources) . (Forest fire, pollute, air quality) like (Human activities, pollute, air quality)","Forest fires can have a devastating impact on animals. The flames from the fire can destroy the habitat of animals, reducing the available resources they need to survive. Additionally, the smoke from the forest fire can pollute the air quality, making it harder for animals to breathe.","Human activities can have a significant negative impact on the environment. These activities can destroy habitats and reduce available resources, making it difficult for plants and animals to survive. Additionally, human activities can cause air pollution, which can have a detrimental effect on air quality."," Human activities occur which can negatively impact the environment. As a result, plants and animals may struggle to survive. These activities can then destroy habitats and reduce available resources. Furthermore, human activities can cause air pollution. The air quality is then detrimentally affected.","You inhale air through your nose and mouth.
The air travels down into your lungs.
Oxygen from the air goes into your bloodstream.
Oxygen circulates throughout the body due to the heart's pumping.
Carbon dioxide travels from the blood into the lungs.
Carbon dioxide travels from the lungs up the windpipe.
Carbon dioxide is exhaled."
91,770How do kidneys work?,770,How do lungs work?,Biomedical and Health Sciences,Natural Sciences,How do kidneys work?,Natural Sciences,"(lungs, absorb, oxygen) like (kidneys, absorb, nutrients). (lungs, expel, carbon dioxide) like (kidneys, expel, waste). (lungs, filter, air) like (kidneys, filter, blood)","The lungs are responsible for taking in oxygen and expelling carbon dioxide. They act as a filter for air, absorbing the oxygen while expelling the carbon dioxide. The air enters the lungs through the bronchi, where it is divided into smaller passages until it reaches the lungs. The oxygen is then absorbed into the bloodstream, while the carbon dioxide is expelled.","The kidneys are integral organs in the body as they are responsible for filtering the blood, absorbing nutrients, and expelling waste. The kidneys filter the blood and absorb important nutrients such as glucose and amino acids. The kidneys also expel waste such as urea and excess water from the body."," The kidneys are integral organs in the body as they are responsible for filtering the blood, absorbing nutrients, and expelling waste. Then, the kidneys expel waste such as urea and excess water from the body. After expelling waste, the kidneys filter the blood and absorb important nutrients such as glucose and amino acids.","The oil is extracted from the ground by drilling.
Oil is transported to a refinery.
The oil is refined into a more useful product.
The gas made from the refining is loaded onto tank trucks.
The trucks deliver the gas to gas stations."
92,466Describe the process of wastewater treatment,466,Describe the process of desalination,Engineering,Engineering,Describe the process of wastewater treatment,Environmental Engineering,"(seawater, filters, through membranes) like (wastewater, filters, through filters). (seawater, evaporates, to leave salt) like (wastewater, evaporates, to leave pollutants). (salts, removed, from the water) like (contaminants, removed, from the water)","Desalination is the process of removing salts from seawater. The seawater is filtered through membranes, where the salts are removed and the water is purified. The seawater is then evaporated to leave the salt behind, which is then removed from the water. This process produces freshwater, making it an important tool in areas where freshwater is scarce.","Wastewater treatment is the process of filtering wastewater through various filters to remove contaminants. As the wastewater passes through the filters, solids settle on the bottom and evaporate, leaving behind pollutants. The contaminants are then removed from the water, resulting in clean water that is safe to be used or released back into the environment."," Wastewater is treated and filtered to remove contaminants. After the treatment, clean water is obtained which is safe to reuse or release back into the environment. Following this, solids settle on the bottom and evaporate, leaving behind pollutants. Finally, these pollutants are removed from the water.","Food enters the body.
The food is broken down.
Sugars from the food enter the bloodstream.
Blood sugar must be within a particular range to avoid damaging many organs.
Sometimes the brain tells the pancreas the blood sugar (glucose) is too low.
The pancreas releases glucagon to change the blood sugar to a better level.
Sometimes the brain tells the pancreas the blood sugar (glucose) is too high.
The pancreas releases insulin to change the blood sugar to a better level."
93,1183How does a filter system work?,1183,How does a water purifier work?,Engineering,Social Sciences,How does a filter system work?,Environmental Science,"(water purifier, removes, impurities) like (filter, removes, contaminants). (sediment filter, traps, particles) like (screen, traps, debris). (carbon filter, absorbs, pollutants) like (adsorber, absorbs, toxins)","A water purifier is an effective way to remove impurities from water. It is typically composed of a sediment filter, a carbon filter and other components. The sediment filter is designed to trap and remove larger particles from the water, such as dirt and debris. The carbon filter then absorbs pollutants, chemicals, and other impurities. The result is clean, safe drinking water.","A filter system removes contaminants from the water. The filter contains a screen that traps debris, such as dirt and other particles, from the water. An adsorber is also present which absorbs toxins, such as chemicals and heavy metals, from the water. The filter system then passes the clean water to the output."," A filter system starts by removing contaminants from the water. Then, the filter system passes the clean water to the output. After this, the screen in the filter traps debris, such as dirt and other particles, from the water. Finally, an adsorber is present which absorbs toxins, such as chemicals and heavy metals, from the water.","The coal is pulverized to a very fine powder.
The coal powder is mixed with hot air and blown into the firebox of the boiler.
Water pumped through pipes inside the boiler is turned into steam by the heat.
The pressure of the steam pushing against a series of giant blades turns the turbine shaft.
Turbine shaft is connected to the shaft of the generator.
The magnets inside the generator spin within wire coils to produce electricity."
94,1155How is coal formed?,1155,How is oil formed?,Natural Sciences,Natural Sciences,How is coal formed?,Geology,"(decaying organic matter, produces, oil) like (buried vegetation, produces, coal). (high pressure, traps, oil) like (high pressure, traps, coal). (heat, transforms, oil) like (heat, transforms, coal)","Oil is formed from decaying organic matter that is subjected to high pressure and heat over a long period of time. The high pressure traps the oil and the heat transforms it into a liquid form. The combination of the pressure, heat and organic matter produces the oil that is used in many industries.","Coal is formed when buried vegetation is subjected to high pressure and heat over millions of years. The high pressure traps the coal, while the heat transforms it into the combustible material we know today. This process is known as coalification."," High pressure traps the coal. Following this, vegetation is buried and subjected to high pressure and heat over millions of years. Afterward, the heat transforms the accumulated material into the combustible substance we know today. Finally, this process is known as coalification.","A male and female bird mate.
The female lays eggs.
The eggs are incubated by the parents, by sitting on them, for weeks.
The bird hatches from an egg.
The parents feed them as the continue to grow.
Develop flight feathers.
The parents teach them to fly.
After learning to fly they leave the nest to live on their own.
The next year they breed beginning the cycle again."
95,949How does the carbon cycle work?,949,What happens during the water cycle?,Natural Sciences,Natural Sciences,How does the carbon cycle work?,Natural Sciences,"(water, evaporates, atmosphere) like (carbon dioxide, evaporates, atmosphere), (water, condenses, clouds) like (carbon dioxide, condenses, clouds), (water, precipitates, land) like (carbon dioxide, precipitates, land).","The water cycle is a continuous process in which water evaporates from the surface of the earth and rises into the atmosphere. Once it reaches the atmosphere, the water vapor condenses and forms clouds. The clouds then move across the sky, releasing their water as rain, sleet, or snow, which eventually returns to the earth's surface. This cycle is repeated over and over, replenishing the earth's water supply.","The carbon cycle is a continuous cycle of processes that move carbon between the atmosphere and the biosphere. Carbon dioxide evaporates from the atmosphere and becomes part of the water cycle. Water condenses in clouds and falls to the Earth as precipitation. This water then enters the ground, rivers, and oceans, where it helps to cycle carbon between the atmosphere and biosphere."," The water enters the ground, rivers, and oceans, where it helps to cycle carbon between the atmosphere and biosphere. Following this, carbon dioxide evaporates from the atmosphere and becomes part of the water cycle. Finally, water condenses in clouds and falls to the Earth as precipitation.","Something makes a sound and makes sound waves.
Sound waves are ""collected"" by the the outer ear.
Sound waves travel through the middle ear.
Sound waves hit the eardrum.
Vibrations from the eardrum cause very small bones in the inner ear to move.
The small bones in the inner ear give information about sound to the cochlea.
The cochlea helps turn the sound vibrations into nerve signals.
The brain can take these nerve signals and can register a sound to you because of them."
96,317What happens during corrosion?,317,What happens during weathering?,Natural Sciences,Natural Sciences,What happens during corrosion?,Chemical Engineering,"(rainwater, erodes, rocks) like (acid, erodes, metal). (heat, weakens, minerals) like (electricity, weakens, metals). (wind, carries, particles of rock) like (oxygen, carries, ions)","Weathering is a process in which rocks are broken down by external forces. Rainwater erodes the rocks, while heat weakens the minerals within them. Wind carries away particles of rock, further contributing to the weathering process.","Corrosion is a process in which metal is slowly destroyed. Acid erodes the metal, weakening it and causing it to deteriorate. Electricity can also weaken metals, making them more susceptible to corrosion. Oxygen carries ions that can react with the metal and cause corrosion. The combination of these three components leads to the gradual destruction of the metal."," Corrosion starts, where metal is being slowly destroyed. The combination of these components leads to the gradual destruction of the metal. Following this, acid erodes the metal causing deterioration. Then, electricity weakens the metal making it more susceptible to corrosion. Finally, oxygen carries ions that react with the metal causing corrosion.","You breathe in.
Diaphragm and other muscles expand to allow room for your lungs to fill.
The air flows into the narrow bronchioles in the lungs.
From the bronchioles to the alveoli.
The oxygen enters into the bloodstream.
Is switched with the carbon dioxide in the bloodstream.
The carbon dioxide enters through the alveoli.
Through the narrow bronchioles.
Into the lungs.
The carbon dioxide is exhaled out of the body."
97,686Describe the process of cellular respiration,686,Describe the process of photosynthesis,Natural Sciences,Natural Sciences,Describe the process of cellular respiration,Biology,"(sunlight, provides, energy) like (oxygen, provides, energy). (chlorophyll, absorbs, sunlight) like (mitochondria, absorbs, oxygen). (carbon dioxide, combines with, water) like (glucose, combines with, oxygen). (glucose, produced, as a result) like (carbon dioxide and water, produced, as a result)",Photosynthesis is the process by which plants produce energy. Sunlight provides energy that is absorbed by the chlorophyll in the plant's leaves. This energy is used to combine carbon dioxide with water to produce glucose. The glucose is then used as a source of energy for the plant.,"Cellular respiration is a process that provides energy to cells by breaking down glucose molecules. Oxygen is necessary for this process and the mitochondria absorbs the oxygen from the environment. Glucose combines with oxygen, and the combination of the two create energy. This energy is used by the cell, and carbon dioxide and water are produced as a result."," Cellular respiration is initiated and starts breaking down glucose molecules. Immediately, glucose combines with oxygen, and the combination of the two create energy. After energy creation, oxygen is absorbed by the mitochondria, which is necessary for this process. This energy is then used by the cell. Finally, carbon dioxide and water are produced as a result.","DNA replication is initiated by proteins.
The hydrogen bonds that hold together a strand of DNA are broken.
A polymerase reads each side of the strand.
Adds complimentary nucleotides.
Once all the bases are matched, the new DNA strand is formed.
DNA ligase seals the new pieces into two new strands."
98,536How does the immune system remove pathogens from the human body?,536,How does blood remove waste from the human body?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the immune system remove pathogens from the human body?,Biomedical and Health Sciences,"(blood, transports, carbon dioxide) like (lymph, transports, pathogens). (white blood cells, engulf, bacteria) like (antibodies, engulf, viruses). (kidneys, filter, waste) like (spleen, filter, foreign particles)",Blood is responsible for transporting carbon dioxide and other waste products away from the cells of the body. White blood cells act as the body's defense system by engulfing bacteria and other foreign substances. The kidneys then filter out waste from the bloodstream and eliminate it from the body.,"The lymphatic system transports pathogens and other foreign particles to the lymph nodes where they are filtered. Here, antibodies engulf viruses and other pathogens, neutralizing them and marking them for destruction. The spleen then filters out any foreign particles, removing them from the body."," Antibodies engulf viruses and other pathogens in the lymph nodes, neutralizing them and marking them for destruction. Following this, the lymphatic system transports pathogens and other foreign particles to the lymph nodes. Finally, the spleen filters out any foreign particles, removing them from the body.","Bees find a place for the hive, such as a rock crevice or tree branch.
Bees gather nectar from flowers.
The bees evaporate the nectar by passing it back and forth to each other.
The evaporation turns the nectar into sugary honey.
The bees chew the honey until it turns into moldable wax.
The bees mold the wax into hexagonal (six sided) cylinders.
Thousands of these hexagonal cylinders put together form the hive."
99,298Describe how viruses can cause disease.,298,Describe how bacteria can cause disease.,Biomedical and Health Sciences,Engineering,Describe how viruses can cause disease.,Biomedical Engineering,"(bacteria, invade, cells) like (viruses, invade, cells). (bacteria, produce, toxins) like (viruses, produce, toxins). (bacteria, replicate, rapidly) like (viruses, replicate, rapidly)","Bacteria can cause disease when they invade the cells of an organism. These bacteria can produce toxic substances that can damage tissue and cells. Furthermore, these bacteria can replicate rapidly and spread to other parts of the body, leading to an infection.","Viruses are microscopic organisms that can invade cells and cause disease. When a virus invades a cell, it can produce toxins and other substances that can damage the cell or cause it to malfunction. The virus can also replicate rapidly, taking over the cell and causing it to produce more viruses. The toxins and other substances produced by the virus can cause serious illnesses and diseases in humans."," Viruses are microscopic organisms that can invade cells. The toxins and other substances produced by the virus can cause serious illnesses and diseases in humans. After causing diseases, the virus invades a cell. Then, the virus produces toxins and other substances that can damage the cell or cause it to malfunction. Finally, the virus replicates rapidly, taking over the cell and causing it to produce more viruses.","Oxygen enters the body through the mouth or nose.
The oxygen travels into the lungs.
The oxygen binds to hemoglobin proteins within erythrocytes (red blood cells).
The erythrocytes are pumped through the body by the heart.
All cells receive the oxygen."
100,397How does a geothermal power station generate electricity?,397,How does a wind-powered power station generate electricity?,Engineering,Engineering,How does a geothermal power station generate electricity?,Geothermal Engineering,"(wind turbine, captures, kinetic energy) like (geothermal well, captures, heat energy). (wind turbine, converts, kinetic energy) like (geothermal heat exchanger, converts, heat energy). (generator, transforms, kinetic energy) like (generator, transforms, thermal energy). (generator, produces, electrical energy) like (generator, produces, electrical energy)","A wind-powered power station uses a wind turbine to capture the kinetic energy of the wind. The wind turbine then converts the kinetic energy of the wind into mechanical energy. The mechanical energy is then used to power a generator, which transforms the kinetic energy into electrical energy. The generator then produces this electrical energy, which can be used in a variety of ways.",A geothermal power station operates by capturing the heat energy from the Earth using a geothermal well. The collected heat is then passed through a geothermal heat exchanger which converts the heat energy into thermal energy. This thermal energy is then used to power a generator that transforms it into electrical energy. The generator then produces the electrical energy used to power homes and businesses.," The thermal energy is first used to power a generator. Following this, heat energy is captured from the Earth using a geothermal well in a power station. The collected heat is then passed through a geothermal heat exchanger to convert it into thermal energy. Subsequently, the generator transforms this thermal energy into electrical energy. Finally, the electrical energy is used to power homes and businesses.","The nuclei of some atoms have too few or too many neutrons.
The atoms become unstable.
The atoms split.
In alpha decay, two protons and two neutrons are released from the atom.
In beta decay, a neutron changes into a proton and an electron.
The proton joins the nucleus of the atom.
The electron is released."
101,892How does an ice cube form?,892,How does snow form?,Natural Sciences,Engineering,How does an ice cube form?,Mechanical Engineering,"(water vapor, condenses, clouds) like (liquid water, freezes, ice cube). (cold temperatures, cause, snowflakes) like (low temperatures, cause, ice crystals). (snowflakes, accumulate, snow) like (ice crystals, accumulate, ice cube)","Snow forms when water vapor in the air condenses into clouds. Cold temperatures cause the water droplets to freeze and form snowflakes. The snowflakes accumulate on the ground, creating a layer of snow.","Liquid water freezes at a certain temperature, and when the temperature falls below that point, ice crystals begin to form. Low temperatures cause the formation of ice crystals, which accumulate and grow into an ice cube. As the ice crystals accumulate, the ice cube slowly forms."," Liquid water starts to freeze as the temperature falls below a certain point. These accumulated ice crystals then form an ice cube. After the ice cube is formed, ice crystals begin to form due to the low temperatures. Finally, the ice crystals accumulate and grow larger.","Oceans, lakes, and rivers contain water.
The sun heats up the water.
The water evaporates from the heat.
The water moves to the sky as steam or as invisible vapor.
The water forms clouds in the sky.
The clouds become larger as they are filled with more water.
The air is cooled.
Water forms droplets in the clouds.
The droplets fall to earth as rain."
