sample_id,type,flan_t5_xxl_zero_shot_prediction,flan_t5_small_ft_prediction,ground_truth
731How are canyons formed?,analogy,1,1,1
466Describe the process of hemodialysis,analogy,0,1,1
165How does the digestive system work?,distractor,1,1,0
516Describe the life cycle of a human,distractor,0,1,0
1062Describe the steps in launching a weather balloon into the atmosphere.,distractor,0,1,0
1143Describe how air pollution can negatively affect human health,distractor,0,1,0
666Describe the process of dialysis,analogy,0,1,1
641Describe the life cycle of a robot,distractor,0,1,0
852How does natural gas get from the ground to a power station?,distractor,1,1,0
298How do viruses replicate and spread?,analogy,0,1,1
31How are sinkholes formed?,distractor,0,1,0
1265How does an ant build an anthill?,distractor,0,1,0
773How do metals alloy together?,analogy,0,1,1
611Describe how viruses can cause infections.,distractor,0,1,0
529Describe the life cycle of a human,distractor,0,1,0
536How does a sewage system remove waste from a city?,analogy,0,1,1
480Describe the process of decision making,analogy,0,1,1
15How does the nitrogen cycle work?,random,0,0,0
397How does a solar-powered generator create energy?,random,0,0,0
526Describe the life cycle of a tree,analogy,0,1,1
165How does the digestive system break down food?,analogy,1,1,1
640How does a robotic arm assembly works?,analogy,0,0,1
1203How do enzymes catalyze the production of proteins in a cell?,random,0,0,0
524Describe the life cycle of a plant,random,0,0,0
186How does bacteria grow on meat?,distractor,0,0,0
627Describe how a steam turbine works,random,0,0,0
1142Describe how oil spills can negatively affect marine life,analogy,0,1,1
20How is information transmitted across different cultures?,analogy,0,0,1
165How does the process of digestion work?,analogy,0,1,1
617Describe how water is transported through a tree,random,0,0,0
31How does the formation of an underground cave occur?,analogy,1,1,1
1143Describe how air pollution can negatively affect human health,random,0,0,0
31How does a tunnel form?,random,0,1,0
369How do the human body obtain and use water?,analogy,0,1,1
640Describe the lifecycle of a butterfly,distractor,0,0,0
112How does the human body metabolize food?,analogy,0,1,1
1053How does the Earth's atmosphere maintain temperature?,analogy,0,1,1
617Describe how nutrients travel through the vascular system,analogy,0,1,1
436How do you get steam to condense?,analogy,1,1,1
699Describe the process of photosynthesis in plants,analogy,0,0,1
422How does oil get from a well to a refinery?,random,0,0,0
1106Describe the life cycle of a bacterium.,analogy,0,1,1
