,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,analogy_type,predicted_label
319,1075How does a tornado form?,1075,How does lightning occur?,Natural Sciences,Natural Sciences,How does a tornado form?,Meteorology,"(charged particles, collide, atmosphere) like (warm air, collide, cold air). (electricity, builds up, air) like (wind, builds up, air). (lightning, is released, thunder) like (tornado, is released, thunderstorm)","Lightning is a natural phenomenon that occurs when charged particles collide in the atmosphere. The collision of these particles creates a build-up of electricity in the air. When the electricity reaches a certain threshold, it is released in the form of lightning and accompanied by thunder.","Tornados are formed when warm air collides with cold air. This collision causes the wind to build up and swirl around. The warm air rises quickly, creating a powerful updraft. The updraft pulls air into the storm, creating a thunderstorm. When the pressure inside the thunderstorm is released, a tornado is released.",,1
320,317How does wear and tear cause a machine to breakdown?,317,What happens during weathering?,Natural Sciences,Engineering,How does wear and tear cause a machine to breakdown?,Mechanical Engineering,"(rain, erodes, rocks) like (friction, erodes, metal). (wind, wears away, soil) like (heat, wears away, lubricant). (sunlight, breaks down, minerals) like (vibrations, breaks down, parts)","Weathering is the process of breaking down rocks, minerals, and soil over time. Rain erodes rocks, while wind wears away soil. Sunlight also breaks down minerals, contributing to the weathering process. In addition, temperature changes and plant growth can also cause weathering.","Wear and tear on a machine is caused by the build-up of friction, which erodes the metal components. The heat generated from the friction also wears away the lubricant that helps keep the machine running smoothly. Finally, the vibrations caused by the friction can cause parts to break down and eventually lead to a breakdown of the machine.",,2
321,1266How does the immune system fight against pathogens?,1266,How does a bird build a nest?,Natural Sciences,Biomedical and Health Sciences,How does the immune system fight against pathogens?,Biomedical and Health Sciences,"(bird, collects, twigs) like (immune cells, collects, antigens). (bird, arranges, twigs) like (immune cells, activates, antibodies). (bird, weaves, twigs) like (immune cells, releases, cytokines)","A bird builds a nest by first collecting twigs from its environment. Then the bird arranges the twigs in its beak so that it can hold them together. Finally, the bird weaves the twigs together to form the nest. This process of gathering, arranging, and weaving the twigs together is what allows the bird to build its nest.",The immune system is an intricate network of cells and organs that defends our bodies against pathogens. Immune cells collect antigens from invading pathogens and activate specific antibodies that recognize these antigens. These antibodies bind to the invading pathogens and mark them for destruction. The immune cells then release cytokines that fight against the pathogens and help to protect the body.,,1
322,444How does a virus infect a human cell?,444,How do bees pollinate plants?,Natural Sciences,Biomedical and Health Sciences,How does a virus infect a human cell?,Biomedical and Health Sciences,"(bee, transports, pollen) like (virus, transports, genetic material). (pollen, fertilizes, plant) like (genetic material, infects, human cell). (nectar, provides, energy) like (protein, provides, energy)","Bees are important pollinators for many types of plants. They transport pollen from one plant to another, which helps to fertilize the plant. While doing this, the bee will also drink the nectar from the flower, providing the bee with the energy it needs to continue pollinating.","When a virus enters a human cell it transports its own genetic material into the cell. The genetic material of the virus then infects the human cell. In order to replicate, the virus needs energy. This energy is provided by the proteins of the host cell, which the virus has hijacked.",,1
323,996How does particulate matter accumulate in the atmosphere?,996,How do greenhouse gases form?,Natural Sciences,Engineering,How does particulate matter accumulate in the atmosphere?,Environmental Engineering,"(coal, emits, carbon dioxide) like (fossil fuels, emit, particulate matter). (methane, absorbs, infrared radiation) like (dust, absorbs, solar radiation). (greenhouse gases, trap, heat) like (aerosols, trap, moisture)","Greenhouse gases are formed mainly by burning coal, which emits carbon dioxide into the atmosphere. Methane is also present in the atmosphere and it absorbs infrared radiation, which contributes to the greenhouse effect. Greenhouse gases trap heat in the atmosphere, which results in global warming.","Particulate matter accumulates in the atmosphere when fossil fuels are burned and emit particles into the air. These particles, such as dust, absorb solar radiation and can trap moisture in the atmosphere.  In addition, aerosols are tiny particles that are emitted into the atmosphere, which can trap moisture and create clouds.  All of these processes contribute to the accumulation of particulate matter in the atmosphere.",,2
326,516Describe the life cycle of a plant,516,Describe the life cycle of a frog,Natural Sciences,Natural Sciences,Describe the life cycle of a plant,Botany,"(frog, lays, eggs) like (plant, produces, seeds). (tadpole, hatches, from egg) like (seed, germinates, from soil). (tadpole, transforms, into a frog) like (seedling, grows, into a plant)","The life cycle of a frog starts when the adult frog lays eggs in water. The eggs hatch into tadpoles, which are the larval stage of the frog. The tadpole then undergoes a transformation process where it develops hind legs, loses its tail, and eventually turns into a frog. The transformation process takes several weeks to complete. After the transformation, the frog is ready to start its adult life.","A plant begins life as a seed. The seed is produced by the plant and then germinates in the soil. The seedling then grows, absorbing nutrients from the soil, and develops into a plant. After the plant reaches maturity, it produces seeds to continue the cycle.",,2
327,1091Describe the typical steps in a clinical trial.,1091,Describe the typical steps in a kid's birthday party.,Social Sciences,Biomedical and Health Sciences,Describe the typical steps in a clinical trial.,Biomedical and Health Sciences,"(invite, assemble, guests) like (recruit, assemble, participants). (decorate, create, atmosphere) like (design, create, protocol). (serve, provide, food) like (administer, provide, medication)","The first step to a successful kid's birthday party is to invite guests. Once the guests have been assembled, the next step is to decorate in order to create the desired atmosphere. Finally, food must be served in order to provide the necessary sustenance for the guests.",The typical steps in a clinical trial involve recruiting participants and assembling them into the study group. The researchers will then design and create a protocol to follow throughout the trial. The protocol includes administering a medication or treatment and collecting data. Participants will be provided the medication or treatment according to the protocol and their data will be collected in order to assess the efficacy of the medication or treatment.,,1
328,705Describe the process of designing and creating a machine,705,Describe the process of writing and posting a letter,Social Sciences,Engineering,Describe the process of designing and creating a machine,Mechanical Engineering,"(writing, composing, letter) like (designing, creating, machine). (posting, sending, letter) like (assembling, constructing, machine). (stamp, affixing, envelope) like (screws, affixing, parts)","Writing a letter involves composing the content of the letter, either by hand or by using a computer. Once the letter is written, it is then posted by sending it to the recipient. A stamp is affixed to the envelope to pay for the postage of the letter.","Designing and creating a machine involves assembling and constructing the components necessary for the machine to function. This includes affixing parts together with screws and other fastening devices. Once all the parts are assembled, the machine can be tested and adjusted as necessary. Ultimately, this process leads to the successful completion of a functional machine.",,1
329,643Describe the life cycle of a virus,643,Describe the life cycle of a frog,Natural Sciences,Biomedical and Health Sciences,Describe the life cycle of a virus,Biomedical and Health Sciences,"(egg, hatches, tadpole) like (host cell, releases, virus particles). (larvae, feeds, on insects) like (virus, infects, human cells). (adult frog, reproduces, eggs) like (virus, replicates, genetic material)","The life cycle of a frog begins with an egg which hatches to form a tadpole. The tadpole has a tail and gills and feeds on small insects. As it grows, the tail and gills slowly disappear and the tadpole develops legs, lungs, and other features of an adult frog. The adult frog then reproduces and lays eggs which start the cycle again.","The life cycle of a virus begins when it infects a human cell. Once inside the cell, the virus replicates its genetic material and uses the host cell's resources to produce more virus particles. Eventually, the host cell releases the virus particles, which can then infect other human cells and continue the cycle.",,1
330,1172How does a kidney filter toxins?,1172,Describe how the liver works,Biomedical and Health Sciences,Biomedical and Health Sciences,How does a kidney filter toxins?,Biomedical and Health Sciences,"(liver, processes, nutrients) like (kidney, filters, toxins) . (liver, produces, bile) like (kidney, produces, urine) . (liver, metabolizes, drugs) like (kidney, metabolizes, waste)","The liver is an essential organ in the human body as it processes nutrients, produces bile, and metabolizes drugs. It is responsible for breaking down proteins, fats and carbohydrates from the food we eat so that they can be used by the body. Bile is produced by the liver and is used to digest the fats and other nutrients in the food we consume. The liver also plays a role in metabolizing drugs and other foreign substances that enter the body.","The kidney is responsible for filtering toxins from the blood. It does this by passing the blood through its nephrons, which act as filters. The kidney then produces urine, carrying away the toxins and other waste. It also metabolizes some of the waste, converting it into harmless byproducts.",,2
331,422How does information get from a researcher to an online article?,422,How does coal get from the ground to a power station?,Engineering,Social Sciences,How does information get from a researcher to an online article?,Social Sciences,"(coal, extracted, mine) like (information, gathered, research). (trucks, transport, coal) like (internet, transmit, data). (power station, produces, electrical energy) like (article, produces, knowledge)","Coal is extracted from a mine, typically by digging deep underground. The coal is then loaded onto trucks which transport it to a power station. Once at the power station, the coal is used to produce electrical energy. The energy is then distributed to the local area.",Information is gathered by the researcher through research. The internet is then used to transmit the data to an article. This data is then used to produce knowledge and an article for the general public to access.,,1
332,817How does a photosynthesis process works?,817,How does a battery-operated sewing machine work?,Engineering,Natural Sciences,How does a photosynthesis process works?,Botany,"(battery, supplies, electrical energy) like (sunlight, supplies, energy). (thread, moves through, needle) like (carbon dioxide, moves through, stomata). (motor, powers, needle) like (chloroplast, powers, photosynthesis)","A battery-operated sewing machine works by using electrical energy supplied by the battery. The motor powers the needle which moves up and down to stitch the fabric. The thread is then guided through the needle and the fabric by a guide which helps to keep the stitches even. The electrical energy from the battery is used to power the motor, which in turn powers the needle and moves the thread through the fabric.","Photosynthesis is the process by which plants generate energy from sunlight. The sun supplies energy to the plant which is then used to convert carbon dioxide into energy through a process of photosynthesis. The carbon dioxide moves through the stomata of the plant, entering into the chloroplasts of the plant's leaves. The chloroplast is the organelle responsible for powering photosynthesis, resulting in the plant's energy needs being met.",,1
335,882How does a wastewater treatment plant work?,882,How does recycling work?,Engineering,Engineering,How does a wastewater treatment plant work?,Environmental Engineering,"(waste, collected, containers) like (garbage, collected, bins). (plastics, sorted, recycling centers) like (contaminants, filtered, water tanks). (recycled materials, used, new products) like (treated water, used, irrigation)","Recycling involves the collection of waste in containers. These materials are then sorted at recycling centers. Plastics are separated from paper, glass, and metal, which are also sorted into different categories. These recycled materials are then used to create new products.","A wastewater treatment plant collects garbage from bins, which is then transported to the plant. At the plant, the wastewater is filtered through water tanks to remove any contaminants. The treated water is then used for various purposes, such as irrigation or to be released back into the environment.",,1
337,548How does a digestive system process food?,548,Describe how the liver works,Biomedical and Health Sciences,Biomedical and Health Sciences,How does a digestive system process food?,Biomedical and Health Sciences,"(kidneys, filter, waste products) like (digestive system, break down, nutrients). (glomerulus, excrete, urine) like (stomach, absorb, vitamins). (renal tubules, reabsorb, electrolytes) like (intestines, absorb, minerals)","The liver is responsible for a variety of metabolic functions, including filtering waste products from the body. The kidneys are the first organs to filter the waste products, which then pass through the glomerulus. The glomerulus then excretes the waste products in the form of urine. The renal tubules then reabsorb electrolytes from the urine, which are subsequently sent to the liver for further processing.","The digestive system is responsible for breaking down the nutrients in food. In the stomach, the stomach acids help to break down the food and absorb vitamins. The intestines then absorb the minerals and other elements from the food. The liver and pancreas produce enzymes which help to further digest the food and convert it into energy. Finally, the nutrients are absorbed into the bloodstream, providing the body with the energy it needs to function.",,1
340,931What happens during a tornado?,931,What happens during a vocanic eruption?,Natural Sciences,Natural Sciences,What happens during a tornado?,Meteorology,"(magma, rises, to the surface) like (wind, rises, to the clouds). (ash, is released, into the atmosphere) like (rain, is released, into the atmosphere). (volcanic gases, escape, from the vent) like (tornado, forms, from the cloud)","During a volcanic eruption, magma rises from deep within the Earth to the surface. This molten rock is released as ash into the atmosphere, creating a plume of dark smoke. Additionally, volcanic gases escape from the vent of the volcano, adding to the hazardous conditions of the eruption.","During a tornado, the wind rises up and into the clouds. The clouds become saturated with moisture and the rain is released into the atmosphere. From this cloud of moisture, a tornado can form and travel across the land. The strong winds cause damage and destruction along its path.",,1
342,615Describe how a cooling system works,615,Describe how kidneys work,Biomedical and Health Sciences,Engineering,Describe how a cooling system works,Mechanical Engineering,"(glomerulus, filters, blood) like (radiator, filters, coolant). (kidneys, remove, waste) like (cooling system, remove, heat). (nephrons, reabsorb, water) like (fan, reabsorb, air)","The kidneys are responsible for filtering and removing waste from the body. This process begins in the glomerulus, which is a tiny vessel in the kidney that filters the blood. The glomerulus filters the blood and removes waste and excess fluid. The waste and fluid then travel through the nephrons, which reabsorb water and essential minerals from the fluid. The remaining waste is then removed from the body.","The cooling system works to remove heat from the engine. The radiator is a key component of the cooling system as it filters the coolant that is passed through the engine block. The coolant circulates through the engine and absorbs the heat, then passes it through the radiator. The fan then reabsorbs the air and cools the radiator, which in turn, cools the engine.",,2
344,647Describe the life cycle of an infectious disease,647,Describe the life cycle of a plant,Natural Sciences,Biomedical and Health Sciences,Describe the life cycle of an infectious disease,Biomedical and Health Sciences,"(seed, germinates, soil) like (virus, replicates, host). (germination, produces, sprout) like (replication, produces, new virus). (soil, nourishes, roots) like (host, sustains, virus). (roots, absorb, nutrients) like (virus, absorbs, nutrients). (leaves, produce, oxygen) like (infection, produces, symptoms)",The life cycle of a plant begins with a seed which germinates in the soil. Germination is the process by which the seed produces a small sprout. The soil provides the necessary nourishment for the roots of the sprout to grow. The roots then absorb the nutrients from the soil and pass them up the plant. The leaves of the plant produce the oxygen which is necessary for life.,"The life cycle of an infectious disease starts with the virus replicating in a host. The replication process produces new virus which the host sustains. The virus then absorbs nutrients from the host to continue replicating. As the infection progresses, it produces certain symptoms in the host. The virus continues to spread and replicate until the host is able to fight off the virus.",,1
346,280How does a magnetically levitating train work?,280,How does an electromagnet work?,Engineering,Social Sciences,How does a magnetically levitating train work?,Physics,"(electromagnet, creates, magnetic field) like (magnet, creates, magnetic force). (electric current, interacts with, magnetic field) like (magnetic field, interacts with, train). (gaps, increase, repulsion force) like (distance, increase, lift force)","An electromagnet creates a magnetic field when an electric current is passed through it. The electric current interacts with the magnetic field, creating a repulsive force, which in turn creates a magnetic field around the electromagnet. Gaps between the poles of the electromagnet can increase this repulsion force, allowing it to hold more objects.","A magnetically levitating train works by using a powerful magnet that generates a magnetic force. This magnetic force is used to create a magnetic field that interacts with the train to cause it to levitate. By increasing the distance between the magnet and the train, the lift force created by the magnet is increased, allowing the train to levitate.",,2
350,1087Describe the typical steps involved in decision-making.,1087,Describe the typical steps involved in camping.,Natural Sciences,Social Sciences,Describe the typical steps involved in decision-making.,Social Sciences,"(pack, prepare, supplies) like (gather, prepare, information). (find, select, campsite) like (analyze, select, options). (set, pitch, tent) like (evaluate, craft, solution). (cook, prepare, food) like (implement, develop, plan)","When camping, it is important to pack and prepare the necessary supplies. You must then find and select an appropriate campsite. Once you have decided on the campsite, you can set up and pitch your tent. Finally, you can cook and prepare food over a campfire or with a camping stove.","The process of decision-making typically involves gathering and preparing relevant information. This information is then analyzed to select the best options. The chosen options are evaluated to craft a solution that meets the goals of the decision-making process. Finally, the plan is implemented to develop a successful result.",,1
353,1066Describe the life cycle of a virus.,1066,Describe the life cycle of a mushroom.,Natural Sciences,Biomedical and Health Sciences,Describe the life cycle of a virus.,Biomedical and Health Sciences,"(spore, produces, mushroom) like (host cell, produces, virus). (gills, release, spores) like (envelope, releases, viral particles). (mycelium, grows, vegetative hyphae) like (viral genome, replicates, viral progeny)","The life cycle of a mushroom begins with a spore. The spore produces a mushroom and the mushroom grows vegetative hyphae, known as mycelium. The mushroom produces gills on the underside of its cap. These gills release spores, which can then produce more mushrooms. The cycle then repeats itself as the spores produce new mushrooms and the mycelium grows vegetative hyphae.","The virus begins its life cycle when it enters the host cell. The host cell then produces the virus, creating an envelope that releases viral particles. Inside the viral particles, the viral genome is released, allowing it to replicate and create viral progeny. The viral progeny is then released from the host cell and can spread to other cells to start the cycle again.",,1
356,315How does corrosion cause steel structures to break down?,315,How does weathering cause rocks to break apart?,Natural Sciences,Engineering,How does corrosion cause steel structures to break down?,Materials Engineering,"(rain, erodes, rocks) like (oxygen, corrodes, steel). (temperature, expands, minerals) like (humidity, corrodes, metal). (wind, carries, sand) like (acids, corrode, metals)","Rain erodes away rocks over time. Temperature fluctuations can cause minerals to expand and contract, leading to cracks in the rocks. Additionally, wind carries sand particles that act like tiny sandpaper and chip away at the rocks. All these factors combine to cause rocks to break apart due to weathering.","Corrosion is the process by which oxygen corrodes steel. Humidity can also corrode metal, which accelerates the corrosion process. Acids, such as those present in acid rain, can also corrode metals, causing further breakdown of steel structures.",,2
357,1130How do ants build a nest?,1130,How do bees make a hive?,Natural Sciences,Natural Sciences,How do ants build a nest?,Entomology,"(bees, collect, nectar) like (ants, collect, food). (bees, secrete, wax) like (ants, secrete, pheromones). (bees, construct, honeycomb) like (ants, construct, tunnels)","Bees collect nectar from flowers, which they convert into honey. Then, they secrete wax to construct the cells of the honeycomb. These hexagonal cells are used to store the honey and also to provide shelter to the hive. The bees use the wax to build wax combs, which are then filled with honey and used to feed the hive.","Ants build a nest by first collecting food and secreting pheromones to communicate with each other. The ants then construct tunnels and chambers to create a comfortable environment for the colony to live in. The ants use their pheromones to coordinate their efforts in the building process, which helps them to build the nest efficiently and quickly.",,1
359,1155How does carbon dioxide become oxygen?,1155,How is oil formed?,Natural Sciences,Natural Sciences,How does carbon dioxide become oxygen?,Biology,"(hydrocarbons, form, oil) like (carbon dioxide, break down, oxygen). (decomposition, create, organic material) like (photosynthesis, create, oxygen). (pressure and heat, transform, organic matter) like (light and energy, transform, carbon dioxide)",Oil is formed from hydrocarbons that are created by decomposition of organic material. The organic matter is then subjected to high pressure and heat which transform it into oil. These hydrocarbons form the oil and can be found deep within the earth's surface.,"Carbon dioxide is broken down to oxygen through the process of photosynthesis. In this process, light and energy from the sun is used to transform carbon dioxide into oxygen molecules. The oxygen created is then released into the atmosphere, where it can be used by other living organisms.",,1
364,1104How do coral reefs form?,1104,How do mountains form?,Natural Sciences,Natural Sciences,How do coral reefs form?,Marine Biology,"(tectonic plates, collide, creating uplift) like (ocean currents, collide, creating reefs). (sediments, accumulate, forming layers) like (calcium carbonate, accumulate, forming structures). (erosion, wear away, the peaks) like (wave action, wear away, the structures)","Mountains form when tectonic plates collide and the earth's crust is pushed upwards, creating uplift. Over time, sediments accumulate and form different layers, which are then pushed upwards. The higher layers are exposed to the elements and erosion begins to wear away at the peaks, giving the mountains their distinct shapes.","Coral reefs form when ocean currents collide, creating a suitable environment for coral to grow. Calcium carbonate, which is found in the water, accumulates and forms structures in the form of coral reefs. However, wave action can wear away these structures, making the reefs unstable.",,2
366,879How does an air conditioning system cool a room?,879,How does rain occur?,Natural Sciences,Engineering,How does an air conditioning system cool a room?,Mechanical Engineering,"(evaporation, produces, clouds) like (compressor, produces, cooled air). (water vapor, condenses, droplets) like (refrigerant, condenses, liquid). (droplets, fall, to the ground) like (liquid, circulates, coils)","Rain occurs when water evaporates from the surface of the earth and rises into the atmosphere, producing clouds. The water vapor in the clouds condenses into tiny droplets, forming rain. The droplets become too heavy to stay in the clouds, and they fall to the ground, resulting in rainfall.","An air conditioning system cools a room by using a compressor which produces cooled air. This cooled air is created through a process involving a refrigerant which condenses into a liquid. The liquid circulates through coils which helps to reduce the temperature of the air, and the cooled air is then circulated through the room.",,1
369,1059How does an air conditioning system work?,1059,How does a dishwasher work?,Engineering,Engineering,How does an air conditioning system work?,Mechanical Engineering,"(dishwasher, pumps, water) like (air conditioner, pumps, coolant) . (dishwasher, sprays, detergent) like (air conditioner, circulates, refrigerant) . (dishwasher, uses, heat) like (air conditioner, uses, compressor)","A dishwasher uses water to clean the dishes. It pumps the water into the appliance and sprays detergent onto the dishes. Once the detergent has been applied, the dishwasher uses heat to activate the detergent and remove any residue. The heat helps to break down the food particles and dirt, washing the dishes and leaving them sparkling clean.","An air conditioning system works by pumping coolant through the system. The air conditioner circulates the coolant, which carries the heat from inside the building to the outside. The air conditioner uses a compressor to help move the refrigerant through the system, allowing the coolant to absorb the heat from the air. The compressor then compresses the refrigerant, releasing the heat and cooling the air.",,1
370,844How does a hydraulic system of crane work?,844,How does an electromagnet work?,Engineering,Engineering,How does a hydraulic system of crane work?,Mechanical Engineering,"(electric current, produces, magnetic field) like (hydraulic pressure, produces, lifting force). (coils, create, flux) like (cylinders, create, motion). (magnet, attracts, ferromagnetic material) like (crane, lifts, heavy objects)",An electromagnet is a device that uses electric current to produce a magnetic field. It is created by wrapping coils of wire around a metal core and running an electric current through it. The coils create a magnetic flux that allows the magnet to attract ferromagnetic materials. The strength of the magnetic field generated by the electromagnet is determined by the amount of electric current running through it.,"A hydraulic system of crane uses hydraulic pressure to produce a lifting force. Hydraulic pressure is created when a liquid, such as oil, is forced through cylinders. The cylinders then create the motion necessary for the crane to lift heavy objects. The amount of force generated depends on the amount of hydraulic pressure created, which in turn is determined by the size of the cylinders.",,1
371,1058How does a refrigerator cool food?,1058,How does a dishwasher work?,Engineering,Natural Sciences,How does a refrigerator cool food?,Natural Sciences,"(dishwasher, pumps, hot water) like (refrigerator, pumps, coolant). (detergent, loosens, food particles) like (condenser, releases, heat). (spray arm, circulates, water) like (evaporator, absorbs, moisture)","A dishwasher works by pumping hot water into the washer. The hot water helps to loosen the food particles from the dishes. The detergent helps to loosen the food particles from the dishes as well. Then, the spray arm circulates the hot water over the dishes, washing them clean.","A refrigerator works by pumping a coolant throughout its internal components. The condenser releases heat, while the evaporator absorbs moisture and cools the air inside the refrigerator. Cool air is circulated throughout the refrigerator to cool the food inside. The coolant helps to maintain the temperature inside the refrigerator, while the condenser helps to release the heat and the evaporator absorbs the moisture.",,1
373,550Describe how the digestive system functions,550,Describe how the liver works,Biomedical and Health Sciences,Social Sciences,Describe how the digestive system functions,Social Sciences,"(kidneys, filter, waste) like (digestive system, digest, food). (liver, produces, bile) like (stomach, produces, acid). (liver, detoxifies, toxins) like (intestines, absorb, nutrients)","The liver is an essential organ in the body. Its primary functions include filtering waste from the kidneys, producing bile, and detoxifying toxins. Bile is produced by the liver and helps break down fats and fat-soluble vitamins. The liver also helps to detoxify toxins, such as alcohol and drugs, that enter the body. It does this by converting the toxins into harmless substances that can be removed from the body.","The digestive system is responsible for breaking down food into smaller molecules that can be absorbed by the body. The stomach produces acid and other enzymes to break down food into its constituent parts. The intestines then absorb the nutrients from the food and pass them into the bloodstream. The digestive system is an essential part of the body's functioning, as it is responsible for digesting food and absorbing its nutrients.",,1
374,525Describe the life cycle of a culture,525,Describe the life cycle of a human,Biomedical and Health Sciences,Social Sciences,Describe the life cycle of a culture,Social Sciences,"(baby, develops, adulthood) like (society, evolves, maturity), (child, learns, new skills) like (community, acquires, knowledge), (adult, reproduces, offspring) like (culture, passes, traditions).","A baby begins its life in the womb and gradually develops until it is ready to be born. After birth, the child continues to grow and develop until it reaches adulthood. During this time, the individual matures physically, mentally, and emotionally, until they are fully developed and ready for the challenges of life. The life cycle of a human is a journey from infancy to adulthood and a path of growth and development.","The life cycle of a culture begins when a society is formed. It evolves over time, reaching maturity as the individuals within it learn new skills and knowledge. As the culture grows, children are born into it, learning the values and norms of their society as they mature. As these children grow, the culture continues to evolve and change, adapting to new influences and needs. Eventually, when the culture is no longer able to grow and evolve, it begins to decline, and the cycle begins anew.",,2
375,674Describe the process of corrosion,674,Describe the process of fossilization,Natural Sciences,Engineering,Describe the process of corrosion,Chemical Engineering,"(mineral, replace, organic matter) like (electrolyte, replace, metal). (sediment, cover, fossil) like (oxide, cover, surface). (fossil, preserved, over time) like (metal, protected, over time)","Fossilization is the process by which organic matter is replaced by minerals. This process begins when sediment covers the organic material, preserving it over time. The minerals slowly replace the organic matter, creating a fossil. As the process continues, the fossil is preserved over time, allowing us to understand the history of our planet.","Corrosion is a process in which metal is corroded and replaced by an electrolyte. When the metal comes in contact with the electrolyte, it undergoes a chemical reaction, causing an oxide to cover the surface of the metal. This oxide layer acts as a barrier and can protect the metal from corrosion over time.",,1
377,1148How does a human body system work?,1148,How does a solar panel work?,Engineering,Biomedical and Health Sciences,How does a human body system work?,Biomedical and Health Sciences,"(photovoltaic cell, converts, sunlight) like (organ, converts, food) . (electric current, flows, circuit) like (blood, flows, veins). (solar panel, stores, energy) like (muscles, stores, strength)","A solar panel consists of photovoltaic cells, which are able to convert sunlight into electrical energy. This energy is then used to create an electric current that flows throughout the circuit. The solar panel is used to store the energy that is generated by the photovoltaic cells. The energy is then used to power various electrical devices or to be stored for later use.","The human body is an amazing system that works together to keep us functioning. The organs in our body convert the food we eat into energy. This energy is then transported throughout our body via our circulatory system. Blood flows through our veins and supplies oxygen and nutrients to our cells. Muscles are what store the strength and energy we need to move, and allow us to perform everyday tasks.",,1
379,782How do machines help to disburse products?,782,How do plants use animals to help disburse their seeds?,Natural Sciences,Engineering,How do machines help to disburse products?,Mechanical Engineering,"(fruits, attach to, animals) like (products, attach to, machines). (animals, transport, seeds) like (machines, transport, products). (birds, consume, fruits) like (people, consume, products)",Plants use animals to disburse their seeds by attaching fruits to them. These fruits provide a tasty treat that animals will transport to different areas. Birds are especially helpful as they consume the fruits and disperse the seeds as they fly away. This helps the plants to spread their seeds to new and distant locations.,Machines are used to disburse products by attaching them to the machine and then transporting them. The machines can carry the products to a location where people can consume them. This process helps to efficiently move products to the right place at the right time so that people can access them.,,1
380,480Describe the process of communication,480,Describe the process of photosynthesis,Natural Sciences,Social Sciences,Describe the process of communication,Social Sciences,"(sunlight, provides, energy) like (words, provides, information). (chlorophyll, absorbs, light) like (listener, absorbs, message). (carbon dioxide, combines with, water) like (listener, combines with, context). (glucose, produces, oxygen) like (message, produces, understanding)","Photosynthesis is the process in which plants use the energy from sunlight to convert carbon dioxide and water into glucose, and release oxygen as a by-product. Sunlight provides energy which is absorbed by the chlorophyll in the plant. Carbon dioxide combines with water to form glucose and oxygen is released as a by-product of this process.",Communication is the process of exchanging information. The speaker provides words that contain information and the listener absorbs the message. The listener combines the message with the context to produce an understanding. The words and the context work together to create a meaningful exchange.,,1
381,706Describe the process of pollination,706,Describe the process of writing and posting a letter,Social Sciences,Natural Sciences,Describe the process of pollination,Botany,"(pen, writes, words) like (bees, transfer, pollen). (paper, holds, words) like (flower, holds, pollen). (envelope, encloses, letter) like (nectar, encloses, pollen). (stamp, seals, envelope) like (wind, disperses, pollen)","Writing a letter is a simple process. It involves taking out a pen and writing words onto a piece of paper. The paper holds the words, creating a letter. The letter is then placed inside an envelope. Finally, a stamp is used to seal the envelope, ensuring the letter is secure for delivery.","The process of pollination includes the transfer of pollen from one flower to another.  Bees are a major contributor to pollination as they collect nectar and pollen from flowers. The flower holds the pollen within its structure and the nectar encloses it. Wind is also a factor in pollination, as it is able to disperse pollen from one flower to another.",,1
383,844How does photosynthesis work?,844,How does an electromagnet work?,Engineering,Natural Sciences,How does photosynthesis work?,Botany,"(electromagnet, generates, magnetic field) like (chloroplasts, generates, glucose). (electrical current, creates, magnetism) like (sunlight, creates, energy). (iron core, amplifies, magnetic field) like (carbon dioxide, amplifies, process)","An electromagnet is a device that generates a magnetic field when an electrical current passes through it. The electrical current creates magnetism which is used to attract or repel other objects. The iron core of the electromagnet amplifies the magnetic field, allowing it to be stronger and more effective.","Photosynthesis is a process by which plants generate glucose from sunlight. Chloroplasts in the leaves of plants absorb sunlight and convert it into energy. The energy from the sunlight is then used to convert carbon dioxide from the air into glucose. The carbon dioxide amplifies the photosynthesis process, allowing the plants to generate more glucose.",,1
384,665Explain the process of photosynthesis,665,Describe the process of desalination,Engineering,Natural Sciences,Explain the process of photosynthesis,Biology,"(salt, removed from, seawater) like (carbon dioxide, removed from, air). (heat, evaporates, salty water) like (sunlight energy, converts, water and carbon dioxide). (fresh water, produced from, evaporation) like (glucose, produced from, photosynthesis)","Desalination is a process that removes salt from seawater. Heat is applied to the salty water, which causes it to evaporate. This process separates the salt from the water, resulting in fresh water being produced from the evaporation.",Photosynthesis is a process that involves the removal of carbon dioxide from the air and the conversion of sunlight energy into chemical energy. The energy is then used to convert water and carbon dioxide into oxygen and glucose. The glucose produced from photosynthesis is then used by plants as a source of energy.,,1
385,921What causes a social movement to gain momentum?,921,What causs a volcano to erupt?,Natural Sciences,Social Sciences,What causes a social movement to gain momentum?,Social Sciences,"(magma, builds up, inside the volcano) like (discontent, builds up, among the population) . (pressure, increases, inside the volcano) like (support, increases, among the population) . (vent, allows, magma to escape) like (outlet, allows, grievances to be expressed)","A volcano erupts when magma builds up inside the volcano. The pressure inside the volcano increases as more and more magma accumulates. Eventually, the pressure becomes so great that a vent is opened, allowing the magma to escape.","When discontent builds up among the population, it often leads to a social movement. As more people become aware of the cause, their support for it increases. If there is an outlet to express their grievances, it can help to further motivate the population and drive the movement forward.",,1
