,sample_id,source_id,source_subject,source_domain,target_domain,target_subject,target_field,relations,source_paragraph,target_paragraph,target_events_order,sum_vote_analogy,analogy_type,not_analogy_reasons,is_train,count_annotations,target_new_events_order,explanation,new paragraph,is_change_order_correct,coherent new paragraph,can't apply distractor,sum_is_change_order_correct,sum_coherent_new_paragraph,sum_can't_apply_distractor
61,468How does a distillation system works?,468,Describe the process of desalination,Engineering,Engineering,How does a distillation system works?,Chemical Engineering,"(sea water, evaporates, salt) like (solution, evaporates, solute)
  (condensation, collects, fresh water) like (condensation, collects, pure liquid)
  (salt, is left behind, in the boiler) like (impurities, are left behind, in the distilling chamber)","Desalination is the process of converting sea water into fresh water. The process involves evaporating the sea water, which causes the salt to separate from the water. The vapor is then condensed, allowing the fresh water to collect in a separate container. The salt is left behind in the boiler, creating a purified water source.","In a distillation system, the solution is heated and the solute evaporates.
  The vapor is then cooled and condensed, forming a pure liquid that collects in a separate container.
  The impurities are left behind in the distilling chamber.","[1]: The solution is heated and the solute evaporates.
[2]: The vapor is cooled and condensed, forming a pure liquid.
[3]: The pure liquid collects in a separate container.
[4]: The impurities are left behind in the distilling chamber.",3,Close analogy,,,,"[1]: The solution is heated and the solute evaporates.
[2]: The impurities are left behind in the distilling chamber.
[3]: The vapor is cooled and condensed, forming a pure liquid.
[4]: The pure liquid collects in a separate container.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The vapor is cooled and condensed, forming a pure liquid."" must happen before ""[4]: The impurities are left behind in the distilling chamber."" because the vapor needs to be condensed and collected as a pure liquid first, which separates it from the impurities. After the vapor has been condensed and collected, the impurities are left behind. In NEW_PARAGRAPH_ORDER, the impurities are left behind before the vapor is condensed, which is illogical.","[1] In a distillation system, the solution is heated and the solute evaporates. [2] Following this, the impurities are left behind in the distilling chamber. [3] Afterward, the vapor is cooled and condensed, forming a pure liquid. [4] Finally, the pure liquid collects in a separate container.",1,1,,,,
62,475How does the effect of human activities on climate change work?,475,Describe the process of global warming,Natural Sciences,Social Sciences,How does the effect of human activities on climate change work?,Social Sciences,"(greenhouse gases, trap, heat) like (greenhouse gases, trap, infrared radiation)
  (carbon dioxide, absorb, solar radiation) like (carbon dioxide, absorb, incoming sunlight)
  (deforestation, decrease, albedo effect) like (deforestation, decrease, reflection of sunlight)","Global warming occurs when greenhouse gases trap the heat from the sun’s rays in the atmosphere. Carbon dioxide, one of the main greenhouse gases, absorbs the sun’s energy and warms the Earth’s surface. Deforestation further increases the effects of global warming by decreasing the albedo effect, which is the amount of sunlight reflected from Earth’s surface.","Human activities have a significant effect on climate change, primarily through the emission of greenhouse gases.
  Greenhouse gases, such as carbon dioxide, trap infrared radiation that would otherwise escape into the atmosphere.
  In addition, carbon dioxide also absorbs incoming sunlight, leading to an increase in global temperatures.
  Deforestation further accelerates this process as it decreases the reflection of sunlight from the Earth's surface.","[1]: Human activities have a significant effect on climate change, primarily through the emission of greenhouse gases.
[2]: Greenhouse gases, such as carbon dioxide, trap infrared radiation that would otherwise escape into the atmosphere.
[3]: Carbon dioxide also absorbs incoming sunlight, leading to an increase in global temperatures.
[4]: Deforestation further accelerates this process as it decreases the reflection of sunlight from the Earth's surface.",3,Close analogy,,,,"[1]: Human activities have a significant effect on climate change, primarily through the emission of greenhouse gases.
[2]: Deforestation further accelerates this process as it decreases the reflection of sunlight from the Earth's surface.
[3]: Carbon dioxide also absorbs incoming sunlight, leading to an increase in global temperatures.
[4]: Greenhouse gases, such as carbon dioxide, trap infrared radiation that would otherwise escape into the atmosphere.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Greenhouse gases, such as carbon dioxide, trap infrared radiation that would otherwise escape into the atmosphere."" must happen before ""[3]: Carbon dioxide also absorbs incoming sunlight, leading to an increase in global temperatures."" because the presence of greenhouse gases, which include carbon dioxide, is a crucial factor in trapping infrared radiation and increased temperature. Swapping the order of these events in NEW_PARAGRAPH_ORDER creates an illogical sequence, as deforestation is mentioned before explaining the role of greenhouse gases themselves in increasing global temperatures.","[1] Human activities have a significant effect on climate change, primarily through the emission of greenhouse gases. [2] Deforestation further accelerates this process as it decreases the reflection of sunlight from the Earth's surface. [3] Carbon dioxide also absorbs incoming sunlight, leading to an increase in global temperatures. [4] Finally, greenhouse gases, such as carbon dioxide, trap infrared radiation that would otherwise escape into the atmosphere.",1,1,,,,
63,484Describe the process of developing and deploying a software,484,Describe the process of writing and posting a letter,Social Sciences,Engineering,Describe the process of developing and deploying a software,Software Engineering,"(write, compose, letter) like (develop, compose, software)
  (envelope, contain, letter) like (server, contain, software)
  (post, deliver, letter) like (deploy, deliver, software)","Writing and posting a letter involves composing a letter and placing it in an envelope. The envelope is then sealed, addressed and stamped before being posted. Posting involves delivering the letter to the receiving address, where it will be sorted and forwarded to its destination.","Developing software involves composing software using code in a programming language.
  Once the software is developed, it is stored on a server where it can be accessed.
  When it is time to deploy the software, it is delivered from the server to the users.
  The deployment process is responsible for delivering the software to the users.","[1]: Developing software using code in a programming language.
[2]: The software is stored on a server where it can be accessed.
[3]: The software is deployed and delivered from the server to the users.
[4]: The deployment process delivers the software to the users.",3,Far analogy,,,,"[1]: Developing software using code in a programming language.
[2]: The software is deployed and delivered from the server to the users.
[3]: The software is stored on a server where it can be accessed.
[4]: The deployment process delivers the software to the users.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The software is stored on a server where it can be accessed."" must happen before ""[3]: The software is deployed and delivered from the server to the users."" because the software should first be stored on the server before it can be deployed and delivered to the users. In the NEW_PARAGRAPH_ORDER, the software is deployed before it is stored on the server, which is illogical because you cannot deploy or deliver software that has not first been stored on a server.","[1] Developing software involves composing software using code in a programming language. [2] Once the software is developed, it is immediately deployed and delivered from the server to the users. [3] After the deployment, the software is stored on a server where it can be accessed. [4] Finally, the deployment process delivers the software to the users again.",1,1,,,,
64,493Describe the process of metamorphosis,493,Describe the process of hibernation,Natural Sciences,Natural Sciences,Describe the process of metamorphosis,Biology,"(animal, lowers, body temperature) like (insect, lowers, body temperature)
  (animal, slows, heart rate) like (insect, slows, heart rate)
  (animal, enters, dormant state) like (insect, enters, pupal stage)
  (animal, stores, energy) like (insect, stores, energy)","Hibernation is a process that many animals enter in order to survive during colder seasons. It is characterized by a lowering of body temperature and a slowing of the heart rate. As the animal enters a dormant state, it is able to conserve energy by storing it in its body instead of spending it to stay warm.","Metamorphosis is the process of transformation that an insect undergoes during its life cycle. During metamorphosis, the insect lowers its body temperature and slows its heart rate. Then, the insect enters the pupal stage, during which it stores energy for the next stage of development. During this stage, the insect undergoes a physical transformation that allows it to take on its adult form.","[1]: Metamorphosis begins, a process of transformation during an insect's life cycle.
[2]: The insect lowers its body temperature and slows its heart rate.
[3]: The insect enters the pupal stage, storing energy for the next stage of development.
[4]: The insect undergoes a physical transformation and takes on its adult form.",3,Close analogy,,,,"[1]: Metamorphosis begins, a process of transformation during an insect's life cycle.
[2]: The insect enters the pupal stage, storing energy for the next stage of development.
[3]: The insect lowers its body temperature and slows its heart rate.
[4]: The insect undergoes a physical transformation and takes on its adult form.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The insect lowers its body temperature and slows its heart rate."" must happen before ""[3]: The insect enters the pupal stage, storing energy for the next stage of development."" because the insect needs to lower its body temperature and slow down its heart rate to prepare for the pupal stage. In NEW_PARAGRAPH_ORDER, the insect enters the pupal stage before lowering its body temperature and slowing its heart rate, which is illogical as it should prepare its body first for the pupal stage.","[1] Metamorphosis begins, a process of transformation during an insect's life cycle. [2] The insect then enters the pupal stage, storing energy for the next stage of development. [3] After entering the pupal stage, the insect lowers its body temperature and slows its heart rate. [4] Finally, the insect undergoes a physical transformation and takes on its adult form.",1,1,,,,
65,499Describe how a solar cell works,499,Describe how a flashlight works,Engineering,Biomedical and Health Sciences,Describe how a solar cell works,Biomedical and Health Sciences,"(battery, stores, electrical energy) like (solar cell, stores, solar energy)
  (switch, activates, electrical circuit) like (sensor, activates, photovoltaic circuit)
  (light bulb, emits, light) like (light-emitting diode, emits, light)","A flashlight is powered by a battery that stores electrical energy.
  The switch activates the electrical circuit, causing the electrical energy to flow from the battery to the light bulb.
  This energy is then converted into light, which is emitted from the light bulb.","A solar cell stores solar energy and uses it to power electrical devices.
  When light hits the solar cell, a sensor activates the photovoltaic circuit.
  The circuit converts the solar energy into electrical energy, which then powers a light-emitting diode.
  The diode emits light, which is then used to power various electrical devices.","[1]: Light hits the solar cell, activating the sensor.
[2]: The photovoltaic circuit is activated.
[3]: Conversion of solar energy into electrical energy occurs.
[4]: The electrical energy powers a light-emitting diode.
[5]: The diode emits light to power various electrical devices.",3,far analogy,,,,"[1]: Light hits the solar cell, activating the sensor.
[2]: The electrical energy powers a light-emitting diode.
[3]: The photovoltaic circuit is activated.
[4]: Conversion of solar energy into electrical energy occurs.
[5]: The diode emits light to power various electrical devices.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The photovoltaic circuit is activated."" must happen before ""[4]: The electrical energy powers a light-emitting diode."" because the solar energy needs to be converted into electrical energy through the photovoltaic circuit before it can power the light-emitting diode. In the NEW_PARAGRAPH_ORDER, the electrical energy powers the diode before the photovoltaic circuit is activated and the solar energy is converted into electrical energy. This switch makes the order illogical as it violates the necessary sequence of events for the process to work.","[1] When light hits the solar cell, the sensor is activated. [2] The electrical energy then powers a light-emitting diode. [3] Afterward, the photovoltaic circuit is activated. [4] The solar energy is then converted into electrical energy. [5] Finally, the diode emits light to power various electrical devices.",1,1,,,,
66,518Describe the life cycle of a butterfly,518,Describe the life cycle of a fish,Natural Sciences,Natural Sciences,Describe the life cycle of a butterfly,Entomology,"(egg, hatches, tadpole) like (egg, hatches, larva)
  (tadpole, develops, adult) like (larva, develops, adult)
  (adult, lays, egg) like (adult, lays, egg)","The life cycle of a fish begins with an egg, which hatches into a tadpole. The tadpole develops into an adult fish, which is capable of laying eggs of its own. The adult lays eggs, which begin the life cycle again. The cycle continues as the eggs hatch into tadpoles and develop into adults, which then lay eggs.","The life cycle of a butterfly starts with the egg.
  The egg hatches into a larva, which is also known as a caterpillar.
  The caterpillar feeds and grows, then develops into an adult butterfly.
  The adult butterfly then mates and lays eggs, completing the life cycle.","[1]: The life cycle of a butterfly starts with the egg.
[2]: The egg hatches into a larva, which is also known as a caterpillar.
[3]: The caterpillar feeds and grows, then develops into an adult butterfly.
[4]: The adult butterfly then mates and lays eggs, completing the life cycle.",3,close analogy,,,,"[1]: The life cycle of a butterfly starts with the egg.
[2]: The caterpillar feeds and grows, then develops into an adult butterfly.
[3]: The egg hatches into a larva, which is also known as a caterpillar.
[4]: The adult butterfly then mates and lays eggs, completing the life cycle.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The egg hatches into a larva, which is also known as a caterpillar."" must happen before ""[3]: The caterpillar feeds and grows, then develops into an adult butterfly."" because the egg has to hatch and produce a caterpillar before it can feed and grow into an adult butterfly. In NEW_PARAGRAPH_ORDER, the caterpillar is feeding and growing before the egg even hatches, which is illogical and contradicts the natural life cycle of a butterfly.","[1] The life cycle of a butterfly starts with the egg. [2] The caterpillar feeds and grows, then develops into an adult butterfly. [3] After the caterpillar has grown, the egg hatches into a larva, which is also known as a caterpillar. [4] Finally, the adult butterfly mates and lays eggs, completing the life cycle.",1,1,,,,
67,524Describe the life cycle of a plant,524,Describe the life cycle of a human,Biomedical and Health Sciences,Natural Sciences,Describe the life cycle of a plant,Biology,"(people, reproduce, offspring) like (plants, reproduce, seeds)
  (infants, grow, adults) like (seedlings, grow, mature plants)
  (humans, die, death) like (plants, die, senescence)","People reproduce by producing offspring. The offspring, or infants, then grow into adults. As humans age, they gradually decline until they die of death. This is the life cycle of a human.","Plants reproduce by producing seeds. These seeds sprout and grow into seedlings. As they grow, the seedlings develop into mature plants. Eventually, the plants reach a point of senescence and die, completing the life cycle of the plant.","[1]: Plants reproduce by producing seeds.
[2]: Seeds sprout and grow into seedlings.
[3]: Seedlings develop into mature plants.
[4]: Plants reach a point of senescence and die, completing the life cycle.",3,Close analogy,,,,"[1]: Plants reproduce by producing seeds.
[2]: Seedlings develop into mature plants.
[3]: Seeds sprout and grow into seedlings.
[4]: Plants reach a point of senescence and die, completing the life cycle.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Seeds sprout and grow into seedlings."" must happen before ""[3]: Seedlings develop into mature plants."" because the seeds need to sprout and become seedlings before they can grow into mature plants. In NEW_PARAGRAPH_ORDER, the growth of seedlings into mature plants before the seeds have sprouted is illogical as there would be no seedlings to grow to maturity.","[1] Plants reproduce by producing seeds. [2] Then, seedlings develop into mature plants. [3] Afterward, seeds sprout and grow into seedlings. [4] Eventually, plants reach a point of senescence and die, completing the life cycle.",1,1,,,,
68,526Describe the life cycle of a butterfly,526,Describe the life cycle of a human,Biomedical and Health Sciences,Natural Sciences,Describe the life cycle of a butterfly,Entomology,"(humans, reproduce, offspring) like (butterflies, reproduce, larvae)
  (babies, develop, into adults) like (caterpillars, develop, into butterflies)
  (adults, die, of old age) like (butterflies, die, of natural causes)","Humans reproduce to create offspring. These babies develop into children and then eventually into adults. Eventually, these adults will die of old age and the cycle will start all over again.","Butterflies reproduce by laying eggs that hatch into larvae, commonly known as caterpillars.
  The caterpillars then develop into adult butterflies by going through the process of metamorphosis.
  Once fully grown, the butterflies will search for food and reproduce, until they eventually die of natural causes.","[1]: Butterflies lay eggs that hatch into larvae, commonly known as caterpillars.
[2]: Caterpillars go through the process of metamorphosis to develop into adult butterflies.
[3]: Adult butterflies search for food and reproduce.
[4]: Butterflies eventually die of natural causes.",3,Far analogy,,,,"[1]: Butterflies lay eggs that hatch into larvae, commonly known as caterpillars.
[2]: Adult butterflies search for food and reproduce.
[3]: Caterpillars go through the process of metamorphosis to develop into adult butterflies.
[4]: Butterflies eventually die of natural causes.","The NEW_PARAGRAPH_ORDER is illogical because, in this sequence, caterpillars search for food and reproduce before they go through the process of metamorphosis and become adult butterflies. It is incorrect because caterpillars cannot reproduce, only adult butterflies can. The metamorphosis needs to occur before adult butterflies can search for food and reproduce.","[1] Butterflies lay eggs that hatch into larvae, commonly known as caterpillars. [2] Adult butterflies then search for food and reproduce. [3] Afterward, caterpillars go through the process of metamorphosis to develop into adult butterflies. [4] Finally, butterflies eventually die of natural causes.",1,1,,,,
69,536How does a sewage system remove waste from a city?,536,How does blood remove waste from the human body?,Biomedical and Health Sciences,Engineering,How does a sewage system remove waste from a city?,Environmental Engineering,"(blood vessels, transport, waste materials) like (pipes, transport, wastewater)
  (kidneys, filter, toxins) like (treatment plant, filter, pollutants)
  (lymphatic system, collects, unwanted material) like (sewage system, collects, solid waste)","The blood vessels transport waste materials and other unwanted substances away from the cells and towards the organs, such as the kidneys. The kidneys then filter out toxins and other harmful substances from the blood. After the kidneys have filtered out the toxins, the lymphatic system collects the unwanted material and transports it away from the body.","The sewage system is how a city removes waste from its environment. Pipes transport wastewater from households and businesses to a treatment plant. The treatment plant filters out pollutants and other contaminants from the wastewater. The sewage system also collects solid waste, which is then disposed of in a safe and environmentally friendly manner.","[1]: Sewage system is responsible for removing waste from the city.
[2]: Pipes transport wastewater from households and businesses to a treatment plant.
[3]: Treatment plant filters out pollutants and contaminants from wastewater.
[4]: Sewage system collects solid waste and disposes of it safely.",3,Far analogy,,,,"[1]: Sewage system is responsible for removing waste from the city.
[2]: Treatment plant filters out pollutants and contaminants from wastewater.
[3]: Pipes transport wastewater from households and businesses to a treatment plant.
[4]: Sewage system collects solid waste and disposes of it safely.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: Pipes transport wastewater from households and businesses to a treatment plant."" must happen before ""[3]: Treatment plant filters out pollutants and contaminants from wastewater."" because the wastewater needs to be transported to the treatment plant first before it can be filtered and treated. In the NEW_PARAGRAPH_ORDER, the treatment plant is filtering out the pollutants and contaminants before the wastewater even arrives at the plant, which is illogical, as the treatment plant cannot filter wastewater until it has been received from the pipes.","[1] The sewage system is responsible for removing waste from the city. [2] The treatment plant filters out pollutants and contaminants from wastewater before it even arrives. [3] Pipes then transport wastewater from households and businesses to the treatment plant. [4] Finally, the sewage system collects solid waste and disposes of it safely.",1,1,,,,
70,536How does the lymphatic system remove toxins from the body?,536,How does blood remove waste from the human body?,Biomedical and Health Sciences,Biomedical and Health Sciences,How does the lymphatic system remove toxins from the body?,Biomedical and Health Sciences,"(blood, transports, waste) like (lymph, transports, toxins)
  (kidney, filters, toxins) like (lymph nodes, filters, toxins)
  (liver, breaks down, toxins) like (lymphocytes, breaks down, toxins)","Blood is responsible for transporting waste from the body's organs to be eliminated.
  The kidneys are responsible for filtering out toxins from the blood, while the liver breaks down any toxins that have been ingested.
  The waste is then released into the bloodstream and eventually expelled from the body.","The lymphatic system is responsible for transporting toxins away from the body.
  The lymph carries toxins away from the organs and moves them to the lymph nodes.
  The lymph nodes filter out any toxins and other unwanted substances from the lymph.
  Once filtered, the lymphocytes then break down the toxins and other substances into smaller molecules that can be expelled from the body.","[1]: The lymphatic system transports toxins away from the body.
[2]: The lymph carries toxins away from the organs and moves them to the lymph nodes.
[3]: The lymph nodes filter out any toxins and other unwanted substances from the lymph.
[4]: The lymphocytes break down the toxins and other substances into smaller molecules that can be expelled from the body.",3,close analogy,,,,"[1]: The lymphatic system transports toxins away from the body.
[2]: The lymphocytes break down the toxins and other substances into smaller molecules that can be expelled from the body.
[3]: The lymph carries toxins away from the organs and moves them to the lymph nodes.
[4]: The lymph nodes filter out any toxins and other unwanted substances from the lymph.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The lymph carries toxins away from the organs and moves them to the lymph nodes."" must happen before ""[4]: The lymphocytes break down the toxins and other substances into smaller molecules that can be expelled from the body."" because the toxins need to be carried to the lymph nodes and filtered out before the lymphocytes can break them down. In NEW_PARAGRAPH_ORDER, the lymphocytes are breaking down the toxins before they have been carried to the lymph nodes and filtered, which is illogical.","[1] The lymphatic system transports toxins away from the body. [2] The lymphocytes then break down the toxins and other substances into smaller molecules that can be expelled from the body. [3] Afterward, the lymph carries toxins away from the organs and moves them to the lymph nodes. [4] Finally, the lymph nodes filter out any toxins and other unwanted substances from the lymph.",1,1,,,,
71,587Describe the lifecycle of a bee,587,Describe the lifecycle of a butterfly,Natural Sciences,Natural Sciences,Describe the lifecycle of a bee,Entomology,"(butterfly, hatches, from cocoon) like (bee, hatches, from cell)
  (butterfly, feeds, on nectar) like (bee, feeds, on pollen)
  (butterfly, transforms, from caterpillar to adult) like (bee, transforms, from larva to adult)","The lifecycle of a butterfly begins when it hatches from a cocoon. The caterpillar will feed on nectar before it begins the transformation into an adult butterfly. Through metamorphosis, the caterpillar changes from a small worm-like creature into a beautiful winged insect. Once transformed, the butterfly will feed on nectar and fly away.","The lifecycle of a bee starts with a bee hatching from a cell.
  The larva will then feed on pollen and nectar to grow.
  Eventually, the larva will transform into an adult bee and begin to look for a place to build a hive.
  The bee will use the pollen it collected to build the hive and will then start the cycle of reproduction.
  This transformation from larva to adult is a crucial part of the bee's lifecycle.","[1]: A bee hatches from a cell.
[2]: The larva feeds on pollen and nectar to grow.
[3]: The larva transforms into an adult bee.
[4]: The adult bee looks for a place to build a hive.
[5]: The bee uses the pollen it collected to build the hive.
[6]: The bee starts the cycle of reproduction.",3,close analogy,,,,"[1]: A bee hatches from a cell.
[2]: The larva feeds on pollen and nectar to grow.
[3]: The adult bee looks for a place to build a hive.
[4]: The larva transforms into an adult bee.
[5]: The bee uses the pollen it collected to build the hive.
[6]: The bee starts the cycle of reproduction.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[3]: The larva transforms into an adult bee."" must happens before ""[4]: The adult bee looks for a place to build a hive."" because the larva has to become an adult bee first before it can search for a place to build a hive. In the NEW_PARAGRAPH_ORDER, the adult bee is looking for a place to build a hive before transforming from a larva, which is illogical because it is impossible for a larva to search for a hive location without first becoming an adult bee.","[1] A bee hatches from a cell. [2] The larva feeds on pollen and nectar to grow. [3] Before transforming into an adult bee, it starts looking for a place to build a hive. [4] Then, the larva finally transforms into an adult bee. [5] The bee uses the pollen it collected to build the hive. [6] The bee starts the cycle of reproduction.",1,0,,,,
72,588Describe the stages of a plant's growth,588,Describe the lifecycle of a butterfly,Natural Sciences,Natural Sciences,Describe the stages of a plant's growth,Plant Biology,"(egg, develops, caterpillar) like (seed, develops, seedling)
  (caterpillar, forms, chrysalis) like (seedling, forms, plant)
  (chrysalis, transforms, butterfly) like (plant, transforms, flower)","The lifecycle of a butterfly begins with an egg.
  Once the egg hatches, it develops into a caterpillar.
  The caterpillar undergoes metamorphosis and forms a chrysalis, which is a protective covering.
  Once the chrysalis is formed, the caterpillar undergoes a transformation and emerges as a butterfly.","The growth of a plant begins with a seed. The seed develops into a seedling, which then forms the plant. As the plant matures, it transforms into a flower. This flower is then ready to produce its own seeds, completing the cycle.","[1]: A seed starts the growth of a plant.
[2]: The seed develops into a seedling.
[3]: The seedling forms the plant.
[4]: The plant matures and transforms into a flower.
[5]: The flower produces its own seeds, completing the cycle.",3,close analogy,,,,"[1]: A seed starts the growth of a plant.
[2]: The plant matures and transforms into a flower.
[3]: The seed develops into a seedling.
[4]: The seedling forms the plant.
[5]: The flower produces its own seeds, completing the cycle.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The seed develops into a seedling."" must happen before ""[4]: The plant matures and transforms into a flower."" because a seedling is an intermediate stage in the growth process before the plant can mature and form a flower. In the NEW_PARAGRAPH_ORDER, the plant is maturing and forming a flower before the seed even develops into a seedling, which is illogical as the seedling stage is skipped and not consistent with the natural growth process of a plant.","[1] A seed starts the growth of a plant. [2] The plant then matures and transforms into a flower before it has a chance to develop into a seedling. [3] Somehow, the seed still develops into a seedling. [4] The seedling then forms the plant, even though the plant has already matured and transformed into a flower. [5] Finally, the flower produces its own seeds, completing the cycle.",1,1,,,,
73,617Describe how air reaches the turbine of a jet engine,617,Describe how oxygen reaches cells in the body,Biomedical and Health Sciences,Engineering,Describe how air reaches the turbine of a jet engine,Aerospace Engineering,"(lungs, inhale, oxygen) like (compressor, inhale, air)
  (blood, transports, oxygen) like (ducts, transports, air)
  (cells, absorb, oxygen) like (turbine, absorb, air)","The lungs inhale oxygen from the air, which is then transported to the cells in the body by the blood. The cells then absorb the oxygen from the blood and use it for their metabolic processes. Thus, oxygen is able to reach the cells of the body via the lungs and the blood.","The compressor of the jet engine inhales air from the surrounding atmosphere.
  The air is then transported through a series of ducts.
  These ducts then lead to the turbine of the jet engine, which absorbs the air.
  The air is then compressed into a smaller volume and is used to power the engine.","[1]: The compressor of the jet engine inhales air from the surrounding atmosphere.
[2]: The air is transported through a series of ducts.
[3]: The ducts lead to the turbine of the jet engine, which absorbs the air.
[4]: The air is compressed into a smaller volume and is used to power the engine.",3,far analogy,,,,"[1]: The compressor of the jet engine inhales air from the surrounding atmosphere.
[2]: The air is compressed into a smaller volume and is used to power the engine.
[3]: The air is transported through a series of ducts.
[4]: The ducts lead to the turbine of the jet engine, which absorbs the air.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The air is transported through a series of ducts."" must happen before ""[3]: The ducts lead to the turbine of the jet engine, which absorbs the air."" and then ""[4]: The air is compressed into a smaller volume and is used to power the engine."" because the air needs to be transported and lead to the turbine before it can be compressed and used for power. In NEW_PARAGRAPH_ORDER, the air is compressed and used to power the engine before reaching the turbine through the ducts, which is illogical since the turbine must absorb the air first before it gets compressed.","[1] The compressor of the jet engine inhales air from the surrounding atmosphere. [2] The air is then compressed into a smaller volume and is used to power the engine. [3] After compression, the air is transported through a series of ducts. [4] Finally, the ducts lead to the turbine of the jet engine, which absorbs the air.",1,1,,,,
74,617Describe how nutrients are absorbed by cells in the body,617,Describe how oxygen reaches cells in the body,Biomedical and Health Sciences,Biomedical and Health Sciences,Describe how nutrients are absorbed by cells in the body,Biomedical and Health Sciences,"(Oxygen, diffuses, through cell membrane) like (Nutrients, diffuses, through cell membrane)
  (Respiratory system, transports, oxygen) like (Digestive system, transports, nutrients)
  (Lungs, absorb, oxygen) like (Small intestine, absorb, nutrients)","Oxygen is transported to cells in the body by the respiratory system. The lungs absorb oxygen from the air and transport it through the bloodstream. Oxygen diffuses through the cell membrane, allowing the cells to absorb the oxygen that they need to function.","Nutrients are transported to the body by the digestive system after being consumed.
  Once they reach the small intestine, they are absorbed by the cells and diffused through the cell membrane.
  The nutrients are then processed by the cells in various ways, allowing the body to use them for energy and other essential functions.","[1]: Nutrients are consumed and transported to the body by the digestive system.
[2]: The nutrients reach the small intestine.
[3]: The nutrients are absorbed by the cells and diffused through the cell membrane.
[4]: The nutrients are processed by the cells in various ways, allowing the body to use them for energy and other essential functions.",3,close analogy,,,,"[1]: Nutrients are consumed and transported to the body by the digestive system.
[2]: The nutrients are absorbed by the cells and diffused through the cell membrane.
[3]: The nutrients reach the small intestine.
[4]: The nutrients are processed by the cells in various ways, allowing the body to use them for energy and other essential functions.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The nutrients reach the small intestine."" must happen before ""[3]: The nutrients are absorbed by the cells and diffused through the cell membrane."" because nutrients have to be in the small intestine for the cells to absorb them. In NEW_PARAGRAPH_ORDER, the absorption of nutrients by the cells happens before they reach the small intestine, which makes no logical sense, since nutrients cannot be absorbed before reaching their destination in the small intestine.","[1] Nutrients are consumed and transported to the body by the digestive system. [2] Then, the nutrients are absorbed by the cells and diffused through the cell membrane. [3] After being absorbed, the nutrients reach the small intestine. [4] Finally, the nutrients are processed by the cells in various ways, allowing the body to use them for energy and other essential functions.",1,1,,,,
75,618How does a ventilation system of a hospital work?,618,Describe how oxygen reaches cells in the body,Biomedical and Health Sciences,Engineering,How does a ventilation system of a hospital work?,Mechanical Engineering,"(lungs, exchange, oxygen) like (ventilator, exchange, air)
  (respiratory system, transport, oxygen) like (ducts, transport, air)
  (blood, carry, oxygen) like (fan, carry, air)","The lungs are responsible for exchanging oxygen and carbon dioxide. Oxygen is inhaled and diffused into the bloodstream. The respiratory system then transports oxygen throughout the body. The blood carries the oxygen, allowing it to reach the cells. The oxygen is then used by the cells to carry out cellular functions.","A ventilator is used to exchange the air in a hospital.
  The ventilator consists of ducts that transport the air throughout the building.
  A fan is used to carry the air through the ducts and ensure its circulation.
  The fan helps in providing fresh air and taking away polluted air, thus maintaining the air quality in the hospital.","[1]: A ventilator is used to exchange the air in a hospital.
[2]: The ventilator consists of ducts that transport the air throughout the building.
[3]: A fan is used to carry the air through the ducts and ensure its circulation.
[4]: The fan helps in providing fresh air and taking away polluted air, thus maintaining the air quality in the hospital.",3,Far analogy,,1,,"[1]: A ventilator is used to exchange the air in a hospital.
[2]: The fan helps in providing fresh air and taking away polluted air, thus maintaining the air quality in the hospital.
[3]: The ventilator consists of ducts that transport the air throughout the building.
[4]: A fan is used to carry the air through the ducts and ensure its circulation.","By looking at INPUT_PARAGRAPH_ORDER, I found that ""[2]: The ventilator consists of ducts that transport the air throughout the building."" must happen before ""[3]: A fan is used to carry the air through the ducts and ensure its circulation."" because the ducts are the essential parts of the ventilator that allow the fan to carry the air throughout the building. If the fan starts providing fresh air and taking away polluted air before the ducts are in place, it cannot effectively circulate air through the building and maintain air quality. Therefore, it is illogical in NEW_PARAGRAPH_ORDER.","[1] A ventilator is used to exchange the air in a hospital. [2] The fan helps in providing fresh air and taking away polluted air, thus maintaining the air quality in the hospital. [3] After the fan starts working, the ventilator consists of ducts that transport the air throughout the building. [4] Finally, a fan is used to carry the air through the ducts and ensure its circulation.",0,0,1,,,
