,sample_id,source_paragraph,random1_target_paragraph,random2_target_paragraph,distractor_target_paragraph,analogous_target_paragraph,shuffled_candidates,ground_truth,random_paragraph,random_events_order,explanation,random_new_events_order,new_paragraph
168,900How does the human visual system work?,The human auditory system is responsible for interpreting sound. The ears capture sound waves and pass them to the cochlea. The cochlea is a spiral-shaped organ that transforms the sound waves into electrical signals. These signals are then sent to the auditory nerve which carries the information to the brain. The brain interprets the signals and processes them as sound.,"Proteins are entered into a phase called transcription.
DNA is unwound partially so that it can be transcribed.
DNA is sent to be translated in cytoplasm where it forms with ribosomes.
Ribosomes bind the new DNA molecules.
The transcription and translation continue until the DNA is copied.","The blood sugar drops in a body.
Cells in the pancrease release glucagon.
The liver in response turns the glucagon into glucose.
And releases it into the blood.
The blood sugar levels are restored."," Initially, the retina transforms the light waves into electrical signals. Then, the eyes capture light waves and send them to the retina. Following this, the optic nerve sends these signals to the brain. Finally, the brain processes the signals, allowing us to experience vision.","The human visual system starts with the eyes, which capture light waves and send them to the retina. The retina then transforms the light waves into electrical signals, which are sent to the brain through the optic nerve. The optic nerve sends the information to the brain to be processed, allowing us to experience vision.","[""Proteins are entered into a phase called transcription.\nDNA is unwound partially so that it can be transcribed.\nDNA is sent to be translated in cytoplasm where it forms with ribosomes.\nRibosomes bind the new DNA molecules.\nThe transcription and translation continue until the DNA is copied."", ""The human visual system starts with the eyes, which capture light waves and send them to the retina. The retina then transforms the light waves into electrical signals, which are sent to the brain through the optic nerve. The optic nerve sends the information to the brain to be processed, allowing us to experience vision."", "" Initially, the retina transforms the light waves into electrical signals. Then, the eyes capture light waves and send them to the retina. Following this, the optic nerve sends these signals to the brain. Finally, the brain processes the signals, allowing us to experience vision."", ""The blood sugar drops in a body.\nCells in the pancrease release glucagon.\nThe liver in response turns the glucagon into glucose.\nAnd releases it into the blood.\nThe blood sugar levels are restored.""]",C2,,,,,
169,641Describe the life cycle of a human,"The life cycle of a frog begins with the laying of eggs. Once the eggs are laid, they develop into a tadpole. The tadpole matures and eventually turns into an adult frog. Once the frog has reached adulthood, it will reproduce and lay eggs to begin the cycle anew. The adult frogs lay eggs which then develop into tadpoles and eventually mature into frogs.","Cold water taken in through a hose to the bottom.
Heating element heats water.
Pump forces water up in pipes connected to spinning paddles.
The forced water makes paddles spin like a sprinkler.
Water comes out of small holes in paddles.
Water is collected and used again until dishes are clean.
Water is drained through a filter.
Filter collects particles of food.
Water was so hot that it evaporates for dry dishes.","As the sweat evaporates the sweat sheds molecules into the air.
The sweat changes into a gas.
Heat is drawn from the sweat.
This process draws heat from the body.
The evaporation also cools the remaining sweat on the body."," The life cycle of a human begins with a fetus. As the fetus matures, it becomes a child. The child then grows into a teenager. Surprisingly, the fetus then develops into an infant. The teenager evolves into an adult human. The adult human is capable of reproducing. A new fetus is created, completing the life cycle.","The life cycle of a human begins with a fetus, which then develops into an infant. As the infant matures, they become a child, then a teenager and eventually an adult human. At this point, an adult human is capable of reproducing, and thus a new fetus is created, completing the life cycle.","[""Cold water taken in through a hose to the bottom.\nHeating element heats water.\nPump forces water up in pipes connected to spinning paddles.\nThe forced water makes paddles spin like a sprinkler.\nWater comes out of small holes in paddles.\nWater is collected and used again until dishes are clean.\nWater is drained through a filter.\nFilter collects particles of food.\nWater was so hot that it evaporates for dry dishes."", "" The life cycle of a human begins with a fetus. As the fetus matures, it becomes a child. The child then grows into a teenager. Surprisingly, the fetus then develops into an infant. The teenager evolves into an adult human. The adult human is capable of reproducing. A new fetus is created, completing the life cycle."", ""As the sweat evaporates the sweat sheds molecules into the air.\nThe sweat changes into a gas.\nHeat is drawn from the sweat.\nThis process draws heat from the body.\nThe evaporation also cools the remaining sweat on the body."", ""The life cycle of a human begins with a fetus, which then develops into an infant. As the infant matures, they become a child, then a teenager and eventually an adult human. At this point, an adult human is capable of reproducing, and thus a new fetus is created, completing the life cycle.""]",C4,,,,,
170,315How does erosion cause soil to become thinner?,"Weathering is a natural process that causes rocks to break apart. Rain erodes rocks, washing away minerals and causing it to break down. Wind also wears down rocks as it blows dust and sand particles against it. Sunlight can also weaken rocks by heating them up and causing cracks to form. All of these factors combined can cause rocks to break apart over time.","Items that can be reused are placed into recycling containers.
Recycling trucks pick up the items that are able to be reused.
The recyclable items travel to a recycling plant.
The items are sorted by what they are made of.
The items are broken down into small parts.
The small parts are melted to make new raw parts.
The raw parts are sold to manufactures to make new items.","The seed germinates.
The plant grows.
The plant flowers.
Produces fruit.
The fruit releases seeds.
The plant dies."," The erosion process starts and is responsible for the thinning of soil. As a result, the soil becomes thinner and less fertile. Then, rain, wind, and sun all contribute to the erosion process. Rain erodes the soil by carrying away particles. Wind wears down the soil through abrasion. Finally, sunlight weakens the soil by allowing water to evaporate, leaving behind only the smallest particles.","Erosion is responsible for the thinning of soil. Rain, wind, and sun all contribute to the erosion process. Rain erodes the soil by carrying away particles, while wind wears down the soil through abrasion. Sunlight weakens the soil by allowing water to evaporate, leaving behind only the smallest particles. As a result, the soil becomes thinner and less fertile.","[""The seed germinates.\nThe plant grows.\nThe plant flowers.\nProduces fruit.\nThe fruit releases seeds.\nThe plant dies."", ""Items that can be reused are placed into recycling containers.\nRecycling trucks pick up the items that are able to be reused.\nThe recyclable items travel to a recycling plant.\nThe items are sorted by what they are made of.\nThe items are broken down into small parts.\nThe small parts are melted to make new raw parts.\nThe raw parts are sold to manufactures to make new items."", ""Erosion is responsible for the thinning of soil. Rain, wind, and sun all contribute to the erosion process. Rain erodes the soil by carrying away particles, while wind wears down the soil through abrasion. Sunlight weakens the soil by allowing water to evaporate, leaving behind only the smallest particles. As a result, the soil becomes thinner and less fertile."", "" The erosion process starts and is responsible for the thinning of soil. As a result, the soil becomes thinner and less fertile. Then, rain, wind, and sun all contribute to the erosion process. Rain erodes the soil by carrying away particles. Wind wears down the soil through abrasion. Finally, sunlight weakens the soil by allowing water to evaporate, leaving behind only the smallest particles.""]",C3,,,,,
171,667Describe the process of dialysis,"Desalination is the process of separating salt water from fresh water. It is achieved by evaporating the salt water, which removes the salt from the water. The evaporated water then condenses and the condensed water is collected. At the end of the desalination process, pure water is collected.","Fish start as eggs.
The eggs hatch.
A larvae emerges.
The larvae matures and grows.
The larvae becomes an ""adolescent"" fish (or fry).
The adolescent fish grows.
The fish might go through several sub-stages, depend on its species or type.
The fish is now a mature adult.
The adult fish can lay more eggs.","Water is exposed to heat energy, like sunlight.
The water temperature is raised above 212 degrees fahrenheit.
The heat breaks down the molecules in the water.
These molecules escape from the water.
The water becomes vapor.
The vapor evaporates into the atmosphere."," The process of dialysis begins, aimed at separating harmful toxins from the bloodstream. The clean blood is collected at the end of the process. After the blood is collected, a semipermeable membrane is used to remove these toxins from the blood. The membrane allows certain particles to pass through, trapping the waste and toxins.","Dialysis is a process in which harmful toxins are separated from the bloodstream. The toxins are removed from the blood by a semipermeable membrane. The membrane allows certain particles to pass through, while trapping the waste and toxins. The clean blood is then collected at the end of the process.","[""Fish start as eggs.\nThe eggs hatch.\nA larvae emerges.\nThe larvae matures and grows.\nThe larvae becomes an \""adolescent\"" fish (or fry).\nThe adolescent fish grows.\nThe fish might go through several sub-stages, depend on its species or type.\nThe fish is now a mature adult.\nThe adult fish can lay more eggs."", "" The process of dialysis begins, aimed at separating harmful toxins from the bloodstream. The clean blood is collected at the end of the process. After the blood is collected, a semipermeable membrane is used to remove these toxins from the blood. The membrane allows certain particles to pass through, trapping the waste and toxins."", ""Dialysis is a process in which harmful toxins are separated from the bloodstream. The toxins are removed from the blood by a semipermeable membrane. The membrane allows certain particles to pass through, while trapping the waste and toxins. The clean blood is then collected at the end of the process."", ""Water is exposed to heat energy, like sunlight.\nThe water temperature is raised above 212 degrees fahrenheit.\nThe heat breaks down the molecules in the water.\nThese molecules escape from the water.\nThe water becomes vapor.\nThe vapor evaporates into the atmosphere.""]",C3,,,,,
172,852How does a shipment of goods get from the factory to its destination?,"Coal is extracted from the ground through mining. It is then transported to a power station via truck. The power station receives the coal, which is then burned in order to generate electrical energy.","The flu virus has receptors, which are like viral Velcro, on the surface of the virus particle.
The receptors will lock onto a target cell using these chemical receptors on the surface, which docks onto the cell surface.
The receptors  then go into the cell.
The receptors use it like a factory.
The receptors take it over and make it produce thousands or in some cases millions of copies of new viruses.
The copies come streaming out of the cell.
The copies infect other cells to make more viruses, or they escape from the body and infect a new victim.","Build a satellite.
Attach a rocket.
Add rocket fuel.
Launch rocket.
Satellite goes into orbit."," The goods are first loaded onto the truck. Then, the goods are transported from the factory. After leaving the factory, the truck carries the shipment to its destination. Finally, the destination receives the goods.","The goods are transported from the factory to the destination. This is usually done using a truck, which can carry the shipment from the origin to its destination. Once the goods have been loaded onto the truck, it is driven to the destination where it delivers the shipment. Once the shipment arrives, the destination receives the goods.","[""The goods are transported from the factory to the destination. This is usually done using a truck, which can carry the shipment from the origin to its destination. Once the goods have been loaded onto the truck, it is driven to the destination where it delivers the shipment. Once the shipment arrives, the destination receives the goods."", "" The goods are first loaded onto the truck. Then, the goods are transported from the factory. After leaving the factory, the truck carries the shipment to its destination. Finally, the destination receives the goods."", ""Build a satellite.\nAttach a rocket.\nAdd rocket fuel.\nLaunch rocket.\nSatellite goes into orbit."", ""The flu virus has receptors, which are like viral Velcro, on the surface of the virus particle.\nThe receptors will lock onto a target cell using these chemical receptors on the surface, which docks onto the cell surface.\nThe receptors  then go into the cell.\nThe receptors use it like a factory.\nThe receptors take it over and make it produce thousands or in some cases millions of copies of new viruses.\nThe copies come streaming out of the cell.\nThe copies infect other cells to make more viruses, or they escape from the body and infect a new victim.""]",C1,,,,,
173,743How do bumblebees transfer pollen between flowers?,"Bees are some of the most important pollinators in the world. They collect nectar from flowers, and as they move from flower to flower, they transfer pollen from one plant to another. This process, known as pollination, is essential for the reproduction of many plants. Without bees, many plants would not be able to reproduce, leading to a decrease in biodiversity.","Greenhouse gases are released into the air by human activities.
The earth changes energy from the sun into heat.
Heat rises from the ground.
Greenhouse gas molecules in the atmosphere prevent the heat from going into space.
The temperature of the earth increases.
The temperature continues to rise and melts the polar ice caps.
The temperature rises even faster.","Chemicals like sulfur dioxide and nitrogen are released into the air.
These substances rise into the high atmosphere.
They react with water and oxygen.
This creates a more acidic rain.
The rain with the high acid content falls."," Bumblebees collect pollen from the flower's anthers. This ensures that the flower produces a seed. After the seed is produced, the pollen is transferred to the stigma of another flower in order to pollinate it. This transfer of pollen is essential for the process of fertilization.","Bumblebees collect pollen from the flower's anthers and transfer it to the stigma of another flower in order to pollinate it. This transfer of pollen is essential for the process of fertilization, as it ensures that the flower produces a seed. The bumblebee, with its fuzzy body and long tongue, is able to effectively transfer the pollen from one flower to another, thus ensuring that the flowers are pollinated.","[""Chemicals like sulfur dioxide and nitrogen are released into the air.\nThese substances rise into the high atmosphere.\nThey react with water and oxygen.\nThis creates a more acidic rain.\nThe rain with the high acid content falls."", ""Greenhouse gases are released into the air by human activities.\nThe earth changes energy from the sun into heat.\nHeat rises from the ground.\nGreenhouse gas molecules in the atmosphere prevent the heat from going into space.\nThe temperature of the earth increases.\nThe temperature continues to rise and melts the polar ice caps.\nThe temperature rises even faster."", "" Bumblebees collect pollen from the flower's anthers. This ensures that the flower produces a seed. After the seed is produced, the pollen is transferred to the stigma of another flower in order to pollinate it. This transfer of pollen is essential for the process of fertilization."", ""Bumblebees collect pollen from the flower's anthers and transfer it to the stigma of another flower in order to pollinate it. This transfer of pollen is essential for the process of fertilization, as it ensures that the flower produces a seed. The bumblebee, with its fuzzy body and long tongue, is able to effectively transfer the pollen from one flower to another, thus ensuring that the flowers are pollinated.""]",C4,,,,,
174,1099How does a vaccine induce an immune response?,"Vaccinations work by introducing a weakened virus into the body. This triggers the body's immune system to produce antibodies and stimulates the production of T cells. The virus also activates B cells, which help to fight the virus and create more antibodies. The antibodies created by the body help to protect against future infection by the same virus.","There is a rain cloud in the sky.
Small bits of ice within the cloud bump each other.
The collisions create electrical charge.
Lighter, positively charged particles sink to the bottom of the cloud.
Heavier, negatively charges particles rise to the top.
When the positive and negative charges grow large enough, a giant spark, called lightning occurs.","Baby rabbits are born alive.
Rabbits are (only occasionally) nursed by their mothers.
Many of the babies do not survive.
Larger and stronger rabbit do manage to survive.
Rabbits quickly become able to have babies of their own.
The rabbit lifecycle continues.
The amount of rabbits stays reasonable because of predators and low survival rates for their young."," The vaccine helps the body defend itself against infections and diseases. Following this, the vaccine stimulates the production of antibodies and activates both T cells and B cells. Then, T cells help identify and destroy infected cells and B cells produce more antibodies. Finally, antibodies fight the infection and destroy any foreign particles.","A vaccine triggers an immune response by stimulating the production of antibodies and activating both T cells and B cells. Antibodies created by the body help fight the infection and destroy any foreign particles, while T cells help identify and destroy infected cells and B cells produce more antibodies. By stimulating these components of the immune system, the vaccine helps the body defend itself against infections and diseases.","["" The vaccine helps the body defend itself against infections and diseases. Following this, the vaccine stimulates the production of antibodies and activates both T cells and B cells. Then, T cells help identify and destroy infected cells and B cells produce more antibodies. Finally, antibodies fight the infection and destroy any foreign particles."", ""A vaccine triggers an immune response by stimulating the production of antibodies and activating both T cells and B cells. Antibodies created by the body help fight the infection and destroy any foreign particles, while T cells help identify and destroy infected cells and B cells produce more antibodies. By stimulating these components of the immune system, the vaccine helps the body defend itself against infections and diseases."", ""Baby rabbits are born alive.\nRabbits are (only occasionally) nursed by their mothers.\nMany of the babies do not survive.\nLarger and stronger rabbit do manage to survive.\nRabbits quickly become able to have babies of their own.\nThe rabbit lifecycle continues.\nThe amount of rabbits stays reasonable because of predators and low survival rates for their young."", ""There is a rain cloud in the sky.\nSmall bits of ice within the cloud bump each other.\nThe collisions create electrical charge.\nLighter, positively charged particles sink to the bottom of the cloud.\nHeavier, negatively charges particles rise to the top.\nWhen the positive and negative charges grow large enough, a giant spark, called lightning occurs.""]",C2,,,,,
175,1080How does a nuclear reactor work?,"In a coal-fired power plant, coal is combusted to produce heat. This heat is used to boil water. The steam produced from the boiling water is used to drive a turbine. The turbine spins a generator that produces electricity. The heat generated from the combustion of coal is essential for this process, as it is the energy that boils the water and drives the turbine.","A dam is built in an area prone to flooding.
A large amount of rain occurs.
The water builds up behind the dam.
The dam opens its floodgates when it starts to get full.
The water flows into a river below the dam.
The dam closes its gates.
The dam will occasionally open its gates again to gradually release more water.
Eventually all of the floodwater will be slowly released into the river without causing any flood damage.","Acid rain enters the atmosphere and lands.
Makes water acidic.
Kills fish.
Kills the soils in trees.
Leaves are also harmed."," Initially, the steam drives a turbine. Following this, the fissioning process produces heat. This heat is then used to boil water, creating steam. Subsequently, nuclear fuel is fissioned. Finally, the spinning turbine powers a generator to produce electricity.","A nuclear reactor works by fissioning the nuclear fuel, which produces heat. This heat is then used to boil water, creating steam. The steam then drives the turbine, which spins the generator and produces electricity. The fission of the nuclear fuel is what causes the heat that boils the water, which in turn drives the turbine and spins the generator.","["" Initially, the steam drives a turbine. Following this, the fissioning process produces heat. This heat is then used to boil water, creating steam. Subsequently, nuclear fuel is fissioned. Finally, the spinning turbine powers a generator to produce electricity."", ""Acid rain enters the atmosphere and lands.\nMakes water acidic.\nKills fish.\nKills the soils in trees.\nLeaves are also harmed."", ""A nuclear reactor works by fissioning the nuclear fuel, which produces heat. This heat is then used to boil water, creating steam. The steam then drives the turbine, which spins the generator and produces electricity. The fission of the nuclear fuel is what causes the heat that boils the water, which in turn drives the turbine and spins the generator."", ""A dam is built in an area prone to flooding.\nA large amount of rain occurs.\nThe water builds up behind the dam.\nThe dam opens its floodgates when it starts to get full.\nThe water flows into a river below the dam.\nThe dam closes its gates.\nThe dam will occasionally open its gates again to gradually release more water.\nEventually all of the floodwater will be slowly released into the river without causing any flood damage.""]",C3,,,,,
176,925How does a human body's respiratory system function?,"Lungs are responsible for taking in oxygen from the air and releasing carbon dioxide. The oxygen enters the bloodstream and is transported to different parts of the body. At the same time, the lungs filter out any impurities in the air, such as dust particles and other pollutants. The oxygen is then used by the body's cells to produce energy, while the carbon dioxide is expelled from the body.","An area is at a higher elevation than the surrounding area.
Rain falls.
Water is in the area of high elevation.
The water creates a stream.
The stream moves towards lower elevation.
The stream continues along the same path for a long time.
The soil and rocks erode where the stream touches them.
The stream moves deeper into the soil.
The stream is smaller than the eroded area.","Chloroplasts in the leaf of the plant traps light from the sun.
The roots absorb water and minerals from the soil.
This combination of water and minerals flows from the stem into the leaf.
Carbon dioxide enters the leaf.
Light, water and minerals, and the carbon dioxide all mix together.
This mixture forms sugar (glucose) which is what the plant eats.
Oxygen goes out of the leaf through the stomata."," The process of respiration begins when the respiratory system intakes oxygen from the air and filters out impurities. Then, the lungs exchange the oxygen for carbon dioxide. After the exchange, the oxygen is then delivered to the lungs. Finally, carbon dioxide is then released back into the atmosphere which is necessary for the body to function properly.","The human body's respiratory system is responsible for taking in oxygen and releasing carbon dioxide. The process of respiration begins when the respiratory system intakes oxygen from the air and filters out impurities. The oxygen is then delivered to the lungs, where it is exchanged for carbon dioxide which is then released back into the atmosphere. This exchange of oxygen and carbon dioxide is necessary for the body to function properly.","[""The human body's respiratory system is responsible for taking in oxygen and releasing carbon dioxide. The process of respiration begins when the respiratory system intakes oxygen from the air and filters out impurities. The oxygen is then delivered to the lungs, where it is exchanged for carbon dioxide which is then released back into the atmosphere. This exchange of oxygen and carbon dioxide is necessary for the body to function properly."", ""Chloroplasts in the leaf of the plant traps light from the sun.\nThe roots absorb water and minerals from the soil.\nThis combination of water and minerals flows from the stem into the leaf.\nCarbon dioxide enters the leaf.\nLight, water and minerals, and the carbon dioxide all mix together.\nThis mixture forms sugar (glucose) which is what the plant eats.\nOxygen goes out of the leaf through the stomata."", "" The process of respiration begins when the respiratory system intakes oxygen from the air and filters out impurities. Then, the lungs exchange the oxygen for carbon dioxide. After the exchange, the oxygen is then delivered to the lungs. Finally, carbon dioxide is then released back into the atmosphere which is necessary for the body to function properly."", ""An area is at a higher elevation than the surrounding area.\nRain falls.\nWater is in the area of high elevation.\nThe water creates a stream.\nThe stream moves towards lower elevation.\nThe stream continues along the same path for a long time.\nThe soil and rocks erode where the stream touches them.\nThe stream moves deeper into the soil.\nThe stream is smaller than the eroded area.""]",C1,,,,,
177,393How does a nuclear reactor generate energy?,"In a coal-powered power station, coal is combusted to produce heat. This heat is used to produce steam that pushes a turbine. The turbine is connected to a generator, which is driven by the force of the steam. The generator then produces electricity, which is supplied to the power grid.","You wash the wound.
You apply a bandaid or other covering if needed.
The blood clots.
A scab forms.
The skin repairs itself under the protective cover of the scab.
The scab falls off.","Animals and plants die in soft soil or mud.
Sediment builds up over the remains.
The remains decompose, leaving only trace amounts.
The remaining parts over the years are replaced with mineral.
A fossil is formed."," A nuclear reactor generates energy by fissioning the nuclear fuel. Immediately after, the turbine drives a generator. Subsequently, the fission reaction releases heat, which is used to produce steam. The pressure of the steam then pushes a turbine. Finally, the generator then converts the mechanical energy of the turbine into electrical energy.","A nuclear reactor generates energy by fissioning the nuclear fuel. The fission reaction releases heat, which is used to produce steam. The pressure of the steam then pushes a turbine, which drives a generator. The generator then converts the mechanical energy of the turbine into electrical energy.","["" A nuclear reactor generates energy by fissioning the nuclear fuel. Immediately after, the turbine drives a generator. Subsequently, the fission reaction releases heat, which is used to produce steam. The pressure of the steam then pushes a turbine. Finally, the generator then converts the mechanical energy of the turbine into electrical energy."", ""A nuclear reactor generates energy by fissioning the nuclear fuel. The fission reaction releases heat, which is used to produce steam. The pressure of the steam then pushes a turbine, which drives a generator. The generator then converts the mechanical energy of the turbine into electrical energy."", ""Animals and plants die in soft soil or mud.\nSediment builds up over the remains.\nThe remains decompose, leaving only trace amounts.\nThe remaining parts over the years are replaced with mineral.\nA fossil is formed."", ""You wash the wound.\nYou apply a bandaid or other covering if needed.\nThe blood clots.\nA scab forms.\nThe skin repairs itself under the protective cover of the scab.\nThe scab falls off.""]",C2,,,,,
178,290Describe the process of building an aircraft causing bad effects on the environment.,"Pollutants are released into the atmosphere as a result of human activities such as burning fossil fuels. These pollutants accumulate in the environment and can have a negative impact on air, water, and soil quality. The accumulation of pollutants can cause a variety of health problems, such as respiratory illnesses and skin diseases. In addition, the pollutants can cause acid rain, which can damage plants, animals and ecosystems.","Someone is infected with bacteria.
That bacteria begins to grow and reproduce inside the cells.
The dividing bacteria begin to make toxins.
Those toxins damage your cells.
Disease symptoms may begin.","The magnetron converts electricity into radio waves.
The radio waves go through a wave guide.
The radio waves go into the food compartment.
Microwaves bounces off the metal walls of the food compartment.
Microwaves pass through the food.
Microwaves make the molecules in the food move more quickly.
The food heats up."," The process of building an aircraft causes bad environmental effects. This can lead to particles in the air that can cause health problems for people who are exposed to them. Additionally, emissions are released into the atmosphere, which contributes to global warming. Finally, waste materials accumulate in the environment, causing the quality of air and water to deteriorate.","The process of building an aircraft causes bad environmental effects. Emissions are released into the atmosphere, which contributes to global warming. Additionally, waste materials accumulate in the environment, causing the quality of air and water to deteriorate. This can lead to particles in the air that can cause health problems for people who are exposed to them.","["" The process of building an aircraft causes bad environmental effects. This can lead to particles in the air that can cause health problems for people who are exposed to them. Additionally, emissions are released into the atmosphere, which contributes to global warming. Finally, waste materials accumulate in the environment, causing the quality of air and water to deteriorate."", ""The process of building an aircraft causes bad environmental effects. Emissions are released into the atmosphere, which contributes to global warming. Additionally, waste materials accumulate in the environment, causing the quality of air and water to deteriorate. This can lead to particles in the air that can cause health problems for people who are exposed to them."", ""The magnetron converts electricity into radio waves.\nThe radio waves go through a wave guide.\nThe radio waves go into the food compartment.\nMicrowaves bounces off the metal walls of the food compartment.\nMicrowaves pass through the food.\nMicrowaves make the molecules in the food move more quickly.\nThe food heats up."", ""Someone is infected with bacteria.\nThat bacteria begins to grow and reproduce inside the cells.\nThe dividing bacteria begin to make toxins.\nThose toxins damage your cells.\nDisease symptoms may begin.""]",C2,,,,,
179,50How do antibodies form?,"Minerals form when ions combine to form a solid. This process usually involves minerals precipitating out of a solution. The ions then aggregate to form crystals, which grow slowly over time. The crystals form the mineral structure of the rock.","The diaphragm contracts.
The lungs expand.
Air is pulled from outside the body, into the lungs.
The membranes in the lungs collect oxygen molecules.
Oxygen is transferred to red blood cells.
Red blood cells distribute oxygen throughout the body.","Ice forms inside a cloud.
Ice inside the cloud bumps around and causes electrostatic charges.
The cloud becomes a thundercloud.
Electrostatic energy builds and forms a strong negative charge.
Positive energy is attracted to the negative energy in the cloud.
This positive energy gathers on the ground.
The positive energy connects with the negative energy and forms lightning."," Antigens combine to form antigen-antibody complexes. The process of antibody formation is slow; it requires time for the antibodies to grow and become effective. After the antibodies have grown and become effective, antigen-antibody complexes precipitate out of solution and form antibodies.",Antigens combine to form antigen-antibody complexes. These complexes then precipitate out of solution and form antibodies. The process of antibody formation is slow; it requires time for the antibodies to grow and become effective.,"["" Antigens combine to form antigen-antibody complexes. The process of antibody formation is slow; it requires time for the antibodies to grow and become effective. After the antibodies have grown and become effective, antigen-antibody complexes precipitate out of solution and form antibodies."", ""Ice forms inside a cloud.\nIce inside the cloud bumps around and causes electrostatic charges.\nThe cloud becomes a thundercloud.\nElectrostatic energy builds and forms a strong negative charge.\nPositive energy is attracted to the negative energy in the cloud.\nThis positive energy gathers on the ground.\nThe positive energy connects with the negative energy and forms lightning."", ""The diaphragm contracts.\nThe lungs expand.\nAir is pulled from outside the body, into the lungs.\nThe membranes in the lungs collect oxygen molecules.\nOxygen is transferred to red blood cells.\nRed blood cells distribute oxygen throughout the body."", ""Antigens combine to form antigen-antibody complexes. These complexes then precipitate out of solution and form antibodies. The process of antibody formation is slow; it requires time for the antibodies to grow and become effective.""]",C4,,,,,
180,211How does snow form?,"Rain occurs when moisture in the air condenses in clouds. When the temperature drops to below the dew point, the air cannot hold the moisture any longer and the water droplets form. As the air pressure increases above the surface, the clouds become heavier and rain is released.","Electricity from the battery makes the machine needle move.
A needle with thread goes down from the machine.
Goes through a piece of cloth.
A hook rotates underneath.
The hook captures the thread.
The hook loops the thread around another thread.
Two threads interlock around the fabric.","A male and female bird mate.
The female lays eggs.
The eggs are incubated by the parents, by sitting on them, for weeks.
The bird hatches from an egg.
The parents feed them as the continue to grow.
Develop flight feathers.
The parents teach them to fly.
After learning to fly they leave the nest to live on their own.
The next year they breed beginning the cycle again."," Water vapor in the atmosphere condenses into snowflakes. Following this, the temperature drops below freezing point. Finally, the air pressure over the ground increases.","Snow forms when water vapor in the atmosphere condenses into snowflakes. The temperature must drop below the freezing point for the vapor to condense. Additionally, air pressure over the ground needs to increase for the vapor to form snow.","[""Snow forms when water vapor in the atmosphere condenses into snowflakes. The temperature must drop below the freezing point for the vapor to condense. Additionally, air pressure over the ground needs to increase for the vapor to form snow."", ""A male and female bird mate.\nThe female lays eggs.\nThe eggs are incubated by the parents, by sitting on them, for weeks.\nThe bird hatches from an egg.\nThe parents feed them as the continue to grow.\nDevelop flight feathers.\nThe parents teach them to fly.\nAfter learning to fly they leave the nest to live on their own.\nThe next year they breed beginning the cycle again."", ""Electricity from the battery makes the machine needle move.\nA needle with thread goes down from the machine.\nGoes through a piece of cloth.\nA hook rotates underneath.\nThe hook captures the thread.\nThe hook loops the thread around another thread.\nTwo threads interlock around the fabric."", "" Water vapor in the atmosphere condenses into snowflakes. Following this, the temperature drops below freezing point. Finally, the air pressure over the ground increases.""]",C1,,,,,
181,947How does a refrigeration system work?,"During the water cycle, water vapor condenses into liquid droplets due to decreasing temperatures.  The liquid droplets then evaporate back into water vapor due to increased temperatures, which is caused by the transfer of heat. This process continues, with water vapor condensing and evaporating in a continuous cycle.","There is a lot of rain or a dam breaks.
Water levels of a river or lake get higher.
Water builds up on the ground.
Water covers streets.
Water gets deep in some places.
Water goes into houses and other buildings.
The rain stops or the dam is repaired.
Water flows into streams.
The rest of the floodwater evaporates.","The farmer chooses a crop that will grow well in his region.
The farmer tills the soil to loosen it.
The farmer spreads seeds.
The farmer tills again to plant the seeds.
Crops grow."," The refrigeration system works by using a refrigerant vapor to condense into liquid droplets. This process then transfers heat away from the system, cooling it down. After cooling, the liquid droplets are heated, causing them to evaporate back into refrigerant vapor. Finally, the refrigerant vapor then travels back to the condenser, repeating the cycle and keeping the system cool.","A refrigeration system works by using a refrigerant vapor to condense into liquid droplets. The liquid droplets are then heated, causing them to evaporate back into refrigerant vapor.  This process transfers heat away from the system, cooling it down.  The refrigerant vapor then travels back to the condenser, repeating the cycle and keeping the system cool.","[""A refrigeration system works by using a refrigerant vapor to condense into liquid droplets. The liquid droplets are then heated, causing them to evaporate back into refrigerant vapor.  This process transfers heat away from the system, cooling it down.  The refrigerant vapor then travels back to the condenser, repeating the cycle and keeping the system cool."", ""The farmer chooses a crop that will grow well in his region.\nThe farmer tills the soil to loosen it.\nThe farmer spreads seeds.\nThe farmer tills again to plant the seeds.\nCrops grow."", "" The refrigeration system works by using a refrigerant vapor to condense into liquid droplets. This process then transfers heat away from the system, cooling it down. After cooling, the liquid droplets are heated, causing them to evaporate back into refrigerant vapor. Finally, the refrigerant vapor then travels back to the condenser, repeating the cycle and keeping the system cool."", ""There is a lot of rain or a dam breaks.\nWater levels of a river or lake get higher.\nWater builds up on the ground.\nWater covers streets.\nWater gets deep in some places.\nWater goes into houses and other buildings.\nThe rain stops or the dam is repaired.\nWater flows into streams.\nThe rest of the floodwater evaporates.""]",C1,,,,,
