,sample_id,source_paragraph,random1_target_paragraph,random2_target_paragraph,random3_target_paragraph,analogous_target_paragraph,shuffled_candidates,analogy_type,ground_truth
124,468How does a mechanical system of water purification works?,"Desalination is a process that removes salt from saline water.
 Saline water contains dissolved salts, and the desalination process separates the salt molecules from the water.
 The process of desalination is typically done through reverse osmosis, which uses a filter to separate the salt molecules from the water.
 Once the salt molecules are filtered out, freshwater is produced as the final result of the desalination process.","Two birds meet each other.
Egg is produced after fertilziation.
Mother sits on egg until it hatches.
Bird Hatches.
Grows up.
Flee the next.
Starts family.
Dies.","The seed germinates.
The plant grows.
The plant flowers.
Produces fruit.
The fruit releases seeds.
The plant dies.","Add water to a pot.
Put the pot over a source of heat.
Turn the heat on.
Wait for a few minutes.
Begin to observe small bubbles in the water.
Wait until the water starts to bubble a lot.
Wait until you can see steam rising from the water.
Turn the heat source off.
Take the pot off of the heat source.","A mechanical system of water purification works by filtering out pollutants from contaminated water.
 The filters are designed to remove impurities from the water and produce purified water.
 The process of water purification ensures that the water is clean and safe for consumption.","[""The seed germinates.\nThe plant grows.\nThe plant flowers.\nProduces fruit.\nThe fruit releases seeds.\nThe plant dies."", ""A mechanical system of water purification works by filtering out pollutants from contaminated water.\n The filters are designed to remove impurities from the water and produce purified water.\n The process of water purification ensures that the water is clean and safe for consumption."", ""Add water to a pot.\nPut the pot over a source of heat.\nTurn the heat on.\nWait for a few minutes.\nBegin to observe small bubbles in the water.\nWait until the water starts to bubble a lot.\nWait until you can see steam rising from the water.\nTurn the heat source off.\nTake the pot off of the heat source."", ""Two birds meet each other.\nEgg is produced after fertilziation.\nMother sits on egg until it hatches.\nBird Hatches.\nGrows up.\nFlee the next.\nStarts family.\nDies.""]",close analogy,C2
125,468How does a distillation system works?,"Desalination is the process of converting sea water into fresh water. The process involves evaporating the sea water, which causes the salt to separate from the water. The vapor is then condensed, allowing the fresh water to collect in a separate container. The salt is left behind in the boiler, creating a purified water source.","A plant produces a fruit with seeds in it.
An animal eats the fruit.
The animal wanders to another area.
The animal defecates.
The seeds are included in the waste.
The seeds produce a new plant.","Bees go out during the day and gather food.
Then while gathering of their food, they make wax, which is the building block of their bee hive.
Bees make food called honey.
They use a sticky, glue-like substance called propolis as a binding to hold their hives together.
Bees produce all of the building blocks to build their hive in their own body.","Air enters the lungs through bronchial tubes.
Air enters bronchioles.
Bronchioles have tiny air sacs called alveoli.
Alveoli surrounded by small blood vessels.
Oxygen absorbed by small blood vessels.
Vessels deliver oxygen to every cell in the body.
Blood brings carbon dioxide back to lungs.
Carbon dioxide released when you exhale.","In a distillation system, the solution is heated and the solute evaporates.
 The vapor is then cooled and condensed, forming a pure liquid that collects in a separate container.
 The impurities are left behind in the distilling chamber.","[""A plant produces a fruit with seeds in it.\nAn animal eats the fruit.\nThe animal wanders to another area.\nThe animal defecates.\nThe seeds are included in the waste.\nThe seeds produce a new plant."", ""In a distillation system, the solution is heated and the solute evaporates.\n The vapor is then cooled and condensed, forming a pure liquid that collects in a separate container.\n The impurities are left behind in the distilling chamber."", ""Air enters the lungs through bronchial tubes.\nAir enters bronchioles.\nBronchioles have tiny air sacs called alveoli.\nAlveoli surrounded by small blood vessels.\nOxygen absorbed by small blood vessels.\nVessels deliver oxygen to every cell in the body.\nBlood brings carbon dioxide back to lungs.\nCarbon dioxide released when you exhale."", ""Bees go out during the day and gather food.\nThen while gathering of their food, they make wax, which is the building block of their bee hive.\nBees make food called honey.\nThey use a sticky, glue-like substance called propolis as a binding to hold their hives together.\nBees produce all of the building blocks to build their hive in their own body.""]",close analogy,C2
126,468Describe the process of filtration,"Desalination is the process of removing salt from water. This is usually done with seawater. The seawater is passed through a membrane, which allows the water molecules to move through but not the salt molecules. Pressure is then used to force the water through the membrane, leaving behind the salt. This process produces freshwater that can be used for various purposes.","Solar panels actually comprise many, smaller units called photovoltaic cells.
Photovoltaic simply means they convert sunlight into electricity.).
Many cells linked together make up a solar panel.
Each photovoltaic cell is basically a sandwich made up of two slices of semi-conducting material, usually silicon : .
Manufacturers ""dope"" silicon with other materials, giving each slice of the sandwich a positive or negative electrical charge.
This adds extra electrons, with a negative charge, to that layer.
Meanwhile, the bottom layer gets a dose of boron, which results in fewer electrons, or a positive charge.
This all adds up to an electric field at the junction between the silicon layers.
When a photon of sunlight knocks an electron free, the electric field will push that electron out of the silicon junction.
A couple of other components of the cell turn these electrons into usable power.","The magnetron converts electricity into radio waves.
The radio waves go through a wave guide.
The radio waves go into the food compartment.
Microwaves bounces off the metal walls of the food compartment.
Microwaves pass through the food.
Microwaves make the molecules in the food move more quickly.
The food heats up.","Contact is made with a virus.
The virus enters the human or animal body.
The virus goes to the part of the body that contains its food.
The virus consumes part of the body or materials that the body uses.
The virus replicates and spreads.
The virus causes symptoms in the body as the immune system tries to expel the virus.","Filtration is a process used to remove particles from a liquid.
 The liquid is passed through a filter, which has a mesh size that is small enough to catch the particles.
 Pressure is then used to force the liquid through the filter, trapping the particles on the surface. The filtered liquid is then collected and the particles are discarded.","[""Contact is made with a virus.\nThe virus enters the human or animal body.\nThe virus goes to the part of the body that contains its food.\nThe virus consumes part of the body or materials that the body uses.\nThe virus replicates and spreads.\nThe virus causes symptoms in the body as the immune system tries to expel the virus."", ""Filtration is a process used to remove particles from a liquid.\n The liquid is passed through a filter, which has a mesh size that is small enough to catch the particles.\n Pressure is then used to force the liquid through the filter, trapping the particles on the surface. The filtered liquid is then collected and the particles are discarded."", ""Solar panels actually comprise many, smaller units called photovoltaic cells.\nPhotovoltaic simply means they convert sunlight into electricity.).\nMany cells linked together make up a solar panel.\nEach photovoltaic cell is basically a sandwich made up of two slices of semi-conducting material, usually silicon : .\nManufacturers \""dope\"" silicon with other materials, giving each slice of the sandwich a positive or negative electrical charge.\nThis adds extra electrons, with a negative charge, to that layer.\nMeanwhile, the bottom layer gets a dose of boron, which results in fewer electrons, or a positive charge.\nThis all adds up to an electric field at the junction between the silicon layers.\nWhen a photon of sunlight knocks an electron free, the electric field will push that electron out of the silicon junction.\nA couple of other components of the cell turn these electrons into usable power."", ""The magnetron converts electricity into radio waves.\nThe radio waves go through a wave guide.\nThe radio waves go into the food compartment.\nMicrowaves bounces off the metal walls of the food compartment.\nMicrowaves pass through the food.\nMicrowaves make the molecules in the food move more quickly.\nThe food heats up.""]",close analogy,C2
127,475How does the effect of human activities on climate change work?,"Global warming occurs when greenhouse gases trap the heat from the sun’s rays in the atmosphere. Carbon dioxide, one of the main greenhouse gases, absorbs the sun’s energy and warms the Earth’s surface. Deforestation further increases the effects of global warming by decreasing the albedo effect, which is the amount of sunlight reflected from Earth’s surface.","The butterfly starts as an egg.
The egg hatches to form a larva, also called a caterpillar.
The carterpillar molts (loses its skin) many times as it grows.
The caterpillar then forms itself into a pupa, or chrysalis.
The caterpillar in the chrysalis begins change, a process called mmetaphorphosis.
The caterpillar completes its metamorphosis and has turned into a butterfly.
The adult butterfly emerges out of the chrysalis and flys away!.","Acid rain is produced by chemicals that reach into the atmosphere.
Falls onto the ground.
The acid rain starts scouring rocks.
Destroys vegetation.
The lack of vegetation alters the surrounding environment.","The carafe is filled with water.
The water is poured into the machine at the back.
Coffee beans are put into a grinder.
The grinder is activated.
A filter is put into the coffee maker.
The ground coffee is put into the filter.
Sometimes a bit of salt is added to the grounds to bring out flavor.
The top of the machine is closed.
The power is turned on.
The water passes through the grounds and becomes coffee.","Human activities have a significant effect on climate change, primarily through the emission of greenhouse gases.
 Greenhouse gases, such as carbon dioxide, trap infrared radiation that would otherwise escape into the atmosphere.
 In addition, carbon dioxide also absorbs incoming sunlight, leading to an increase in global temperatures.
 Deforestation further accelerates this process as it decreases the reflection of sunlight from the Earth's surface.","[""Acid rain is produced by chemicals that reach into the atmosphere.\nFalls onto the ground.\nThe acid rain starts scouring rocks.\nDestroys vegetation.\nThe lack of vegetation alters the surrounding environment."", ""The carafe is filled with water.\nThe water is poured into the machine at the back.\nCoffee beans are put into a grinder.\nThe grinder is activated.\nA filter is put into the coffee maker.\nThe ground coffee is put into the filter.\nSometimes a bit of salt is added to the grounds to bring out flavor.\nThe top of the machine is closed.\nThe power is turned on.\nThe water passes through the grounds and becomes coffee."", ""The butterfly starts as an egg.\nThe egg hatches to form a larva, also called a caterpillar.\nThe carterpillar molts (loses its skin) many times as it grows.\nThe caterpillar then forms itself into a pupa, or chrysalis.\nThe caterpillar in the chrysalis begins change, a process called mmetaphorphosis.\nThe caterpillar completes its metamorphosis and has turned into a butterfly.\nThe adult butterfly emerges out of the chrysalis and flys away!."", ""Human activities have a significant effect on climate change, primarily through the emission of greenhouse gases.\n Greenhouse gases, such as carbon dioxide, trap infrared radiation that would otherwise escape into the atmosphere.\n In addition, carbon dioxide also absorbs incoming sunlight, leading to an increase in global temperatures.\n Deforestation further accelerates this process as it decreases the reflection of sunlight from the Earth's surface.""]",close analogy,C4
128,480Describe the process of decision making,"Photosynthesis is the process by which plants convert light energy from the sun into chemical energy. Sunlight activates chlorophyll, the green pigment found in plants, allowing it to absorb carbon dioxide (CO2) from the atmosphere. This CO2 is used to produce glucose, which is then used by plants as a source of energy. Photosynthesis is an essential process that helps to sustain life on earth, as it is the main source of food for most organisms.","First you dig a whole.
You place a pumpkin seed in the hole.
You put some dirt over the seed.
You water the seed.
The seed will sprout.
A vine will grow.
The vine will flower.
Pumpkins will appear where the flowers were.","Salt water is contained in a factory or plant.
The water is boiled to a very high tempature.
The salt becomes seperated from the water.
The salt is removed.
The water is able to be drank at this point.","Water comes into contact with something made of iron.
The water combines with carbon dioxide in the air to form carbonic acid.
As the acid is formed, the iron starts to dissolve.
Some of the water breaks down into hydrogen and oxygen.
The free oxygen and dissolved iron bond together.
They form iron oxide, which is rust.","Decision making is the process of making choices from among multiple options. The process begins with data, which activates thought. People absorb information from their environment and analyze it, which helps them make decisions. The decisions are produced from the analysis of the information, which helps people make better decisions.","[""Salt water is contained in a factory or plant.\nThe water is boiled to a very high tempature.\nThe salt becomes seperated from the water.\nThe salt is removed.\nThe water is able to be drank at this point."", ""Decision making is the process of making choices from among multiple options. The process begins with data, which activates thought. People absorb information from their environment and analyze it, which helps them make decisions. The decisions are produced from the analysis of the information, which helps people make better decisions."", ""First you dig a whole.\nYou place a pumpkin seed in the hole.\nYou put some dirt over the seed.\nYou water the seed.\nThe seed will sprout.\nA vine will grow.\nThe vine will flower.\nPumpkins will appear where the flowers were."", ""Water comes into contact with something made of iron.\nThe water combines with carbon dioxide in the air to form carbonic acid.\nAs the acid is formed, the iron starts to dissolve.\nSome of the water breaks down into hydrogen and oxygen.\nThe free oxygen and dissolved iron bond together.\nThey form iron oxide, which is rust.""]",far analogy,C2
129,484Describe the process of developing and deploying a software,"Writing and posting a letter involves composing a letter and placing it in an envelope. The envelope is then sealed, addressed and stamped before being posted. Posting involves delivering the letter to the receiving address, where it will be sorted and forwarded to its destination.","Animals eat a lot during good (warm, clear) weather.
Animals gain weight.
The season changes to one with bad (cold, snowy) weather.
Animals find a place to hibernate.
Animals enter a type of ""sleep"" (hibernation).
Body processes slow down.
The animal's heart rate and breathing rate slow.
The animal loses weight more slowly than usual.
The animal is able to survive not eating or drinking without hurting itself.","Evaporation of water at a surface turns into water vapors.
Rises into the Earth's atmosphere.
Condensation occurs when water vapor turns into tiny particles of water/ice.
And form together into clouds or fog.
Precipitation of rain/snow occurs when wind/temperatures change.
Fallen rain or snow collects into surface water which will evaporate into water vapor again.","Oxygen enters the body through the mouth or nose.
The oxygen travels into the lungs.
The oxygen binds to hemoglobin proteins within erythrocytes (red blood cells).
The erythrocytes are pumped through the body by the heart.
All cells receive the oxygen.","Developing software involves composing software using code in a programming language.
 Once the software is developed, it is stored on a server where it can be accessed.
 When it is time to deploy the software, it is delivered from the server to the users.
 The deployment process is responsible for delivering the software to the users.","[""Evaporation of water at a surface turns into water vapors.\nRises into the Earth's atmosphere.\nCondensation occurs when water vapor turns into tiny particles of water/ice.\nAnd form together into clouds or fog.\nPrecipitation of rain/snow occurs when wind/temperatures change.\nFallen rain or snow collects into surface water which will evaporate into water vapor again."", ""Oxygen enters the body through the mouth or nose.\nThe oxygen travels into the lungs.\nThe oxygen binds to hemoglobin proteins within erythrocytes (red blood cells).\nThe erythrocytes are pumped through the body by the heart.\nAll cells receive the oxygen."", ""Animals eat a lot during good (warm, clear) weather.\nAnimals gain weight.\nThe season changes to one with bad (cold, snowy) weather.\nAnimals find a place to hibernate.\nAnimals enter a type of \""sleep\"" (hibernation).\nBody processes slow down.\nThe animal's heart rate and breathing rate slow.\nThe animal loses weight more slowly than usual.\nThe animal is able to survive not eating or drinking without hurting itself."", ""Developing software involves composing software using code in a programming language.\n Once the software is developed, it is stored on a server where it can be accessed.\n When it is time to deploy the software, it is delivered from the server to the users.\n The deployment process is responsible for delivering the software to the users.""]",far analogy,C4
130,493Describe the process of metamorphosis,"Hibernation is a process that many animals enter in order to survive during colder seasons. It is characterized by a lowering of body temperature and a slowing of the heart rate. As the animal enters a dormant state, it is able to conserve energy by storing it in its body instead of spending it to stay warm.","Wind or water breaks small pieces off of a rock.
The wind or water deposits tiny rocks.
The rocks become known as sediment.
The layers of sediment are pressed together by other layers of sediment on top.
Minerals from the rocks in the sediment dissolve.
Minerals glue the sediment together into a single rock.","Tectonic plates smash together.
The edges of the plates crumple up.
The ridges are mountain ranges.
Magma is forced to the surface.
Magma forms a volcano.","Coal is burned at a furnace.
The resulting heat energy is used to heat water.
The heated water is turned into steam.
The steam drives a generator.
Electricity is produced.","Metamorphosis is the process of transformation that an insect undergoes during its life cycle. During metamorphosis, the insect lowers its body temperature and slows its heart rate. Then, the insect enters the pupal stage, during which it stores energy for the next stage of development. During this stage, the insect undergoes a physical transformation that allows it to take on its adult form.","[""Tectonic plates smash together.\nThe edges of the plates crumple up.\nThe ridges are mountain ranges.\nMagma is forced to the surface.\nMagma forms a volcano."", ""Coal is burned at a furnace.\nThe resulting heat energy is used to heat water.\nThe heated water is turned into steam.\nThe steam drives a generator.\nElectricity is produced."", ""Metamorphosis is the process of transformation that an insect undergoes during its life cycle. During metamorphosis, the insect lowers its body temperature and slows its heart rate. Then, the insect enters the pupal stage, during which it stores energy for the next stage of development. During this stage, the insect undergoes a physical transformation that allows it to take on its adult form."", ""Wind or water breaks small pieces off of a rock.\nThe wind or water deposits tiny rocks.\nThe rocks become known as sediment.\nThe layers of sediment are pressed together by other layers of sediment on top.\nMinerals from the rocks in the sediment dissolve.\nMinerals glue the sediment together into a single rock.""]",close analogy,C3
131,496Describe the process of evaporation,"Perspiration is the process of sweating. When the body gets too hot, sweat is released from the skin. As the sweat evaporates, it takes away some of the heat from the body. The water vapor from the sweat then travels up into the atmosphere.","An eagle flys along.
The eagle spots a mouse on the ground.
The eagle swoops down.
Catches the mouse in its talons.
The eagle has a meal.","Spores are dispersed into the air by a mature mushroom.
The spores fall to the ground.
The spores germinate.
The spores begin to grow mycelium.
The mycelium begin to sprout a bud.
A new mushroom is formed.","Squirrels try to eat as much as possible.
Squirrel gains weight and fat.
Squirrel also hides food in or near its den.
Squirrels also grow a thicker coat as the weather gets colder.
Squirrel lives off of its excess body fat.
Squirrel uses its food stores in the winter.","The process of evaporation occurs when heat causes liquid water to be released from the surface into the atmosphere as vapor.
 The heat causes the water molecules to move faster and escape from the liquid surface into the atmosphere.
 Once the water has been evaporated, the vapor travels through the atmosphere until it condenses and returns to its liquid form.","[""An eagle flys along.\nThe eagle spots a mouse on the ground.\nThe eagle swoops down.\nCatches the mouse in its talons.\nThe eagle has a meal."", ""Squirrels try to eat as much as possible.\nSquirrel gains weight and fat.\nSquirrel also hides food in or near its den.\nSquirrels also grow a thicker coat as the weather gets colder.\nSquirrel lives off of its excess body fat.\nSquirrel uses its food stores in the winter."", ""Spores are dispersed into the air by a mature mushroom.\nThe spores fall to the ground.\nThe spores germinate.\nThe spores begin to grow mycelium.\nThe mycelium begin to sprout a bud.\nA new mushroom is formed."", ""The process of evaporation occurs when heat causes liquid water to be released from the surface into the atmosphere as vapor.\n The heat causes the water molecules to move faster and escape from the liquid surface into the atmosphere.\n Once the water has been evaporated, the vapor travels through the atmosphere until it condenses and returns to its liquid form.""]",far analogy,C4
132,499Describe how a motor works,"A flashlight works by using a battery to provide electrical energy. The electrical energy causes electrons to flow through the filament, creating a glow. When the switch is turned on, it completes the circuit and allows the electrons to flow freely. This allows the battery to provide the necessary energy to the filament and light up the flashlight.","Put water in an ice cube tray.
Put the ice cube tray in the freezer.
Wait 5 to 6 hours.
Take the ice cube tray out of the freezer.
Bend the tray slightly to get the ice cubes out and into a drink.","A conducting metal, like copper, is wrapped around a piece of metal.
An electrical source, like a battery, produces an electrical current.
The electrical current flows through the wire.
The electrical current creates a magnetic field around the wire, magnetizing the metal.
The magnetic field can be turned on and off by starting or stopping the electricity source.","The roots are within the soil.
Water and nutrients move from the soil into the root structure.
The roots are selective on what can go through.
Only wanted elements are passed to within the plant.
The nutrients travels through the plants circulatory system.","A motor works by converting electrical energy from a power source into mechanical energy. The power source provides electrical energy to the motor. When the switch is closed, electrons flow through the coils in the motor, creating a magnetic field. This magnetic field causes the motor to rotate, completing the circuit.","[""A motor works by converting electrical energy from a power source into mechanical energy. The power source provides electrical energy to the motor. When the switch is closed, electrons flow through the coils in the motor, creating a magnetic field. This magnetic field causes the motor to rotate, completing the circuit."", ""The roots are within the soil.\nWater and nutrients move from the soil into the root structure.\nThe roots are selective on what can go through.\nOnly wanted elements are passed to within the plant.\nThe nutrients travels through the plants circulatory system."", ""Put water in an ice cube tray.\nPut the ice cube tray in the freezer.\nWait 5 to 6 hours.\nTake the ice cube tray out of the freezer.\nBend the tray slightly to get the ice cubes out and into a drink."", ""A conducting metal, like copper, is wrapped around a piece of metal.\nAn electrical source, like a battery, produces an electrical current.\nThe electrical current flows through the wire.\nThe electrical current creates a magnetic field around the wire, magnetizing the metal.\nThe magnetic field can be turned on and off by starting or stopping the electricity source.""]",close analogy,C1
133,499How does a solar panel system work?,"A flashlight works by using one or more batteries to store electrical energy.
 The energy is then regulated by a switch which controls the current flow.
 When the switch is turned on, the electrical energy is converted into light energy by the lightbulb.
 The lightbulb produces a bright light which illuminates the area.","Air is taken through the mouth.
Enters the lungs.
The oxygen fills the sacs in your lungs.
Carbon dioxide is removed from the lungs and exhaled.
The oxygen is pass throughout your body.","Animals eat a lot during good (warm, clear) weather.
Animals gain weight.
The season changes to one with bad (cold, snowy) weather.
Animals find a place to hibernate.
Animals enter a type of ""sleep"" (hibernation).
Body processes slow down.
The animal's heart rate and breathing rate slow.
The animal loses weight more slowly than usual.
The animal is able to survive not eating or drinking without hurting itself.","Chemical reactions in the battery causes a build up of electrons at the anode.
This results in an electrical difference between the anode and the cathode.
The electrons wants to rearrange themselves to get rid of this difference.
The electrons go to the cathode.
Electricty is created.","A solar panel system works by storing solar energy from the sun in a solar panel.
 This solar energy is then converted to usable energy by an inverter.
 The inverter changes the solar energy into AC power that can be used in the home.
 A charge controller regulates the current flow from the solar panel to the battery to ensure that the battery does not overcharge.","[""Chemical reactions in the battery causes a build up of electrons at the anode.\nThis results in an electrical difference between the anode and the cathode.\nThe electrons wants to rearrange themselves to get rid of this difference.\nThe electrons go to the cathode.\nElectricty is created."", ""Air is taken through the mouth.\nEnters the lungs.\nThe oxygen fills the sacs in your lungs.\nCarbon dioxide is removed from the lungs and exhaled.\nThe oxygen is pass throughout your body."", ""Animals eat a lot during good (warm, clear) weather.\nAnimals gain weight.\nThe season changes to one with bad (cold, snowy) weather.\nAnimals find a place to hibernate.\nAnimals enter a type of \""sleep\"" (hibernation).\nBody processes slow down.\nThe animal's heart rate and breathing rate slow.\nThe animal loses weight more slowly than usual.\nThe animal is able to survive not eating or drinking without hurting itself."", ""A solar panel system works by storing solar energy from the sun in a solar panel.\n This solar energy is then converted to usable energy by an inverter.\n The inverter changes the solar energy into AC power that can be used in the home.\n A charge controller regulates the current flow from the solar panel to the battery to ensure that the battery does not overcharge.""]",close analogy,C4
134,499Describe how a solar cell works,"A flashlight is powered by a battery that stores electrical energy.
 The switch activates the electrical circuit, causing the electrical energy to flow from the battery to the light bulb.
 This energy is then converted into light, which is emitted from the light bulb.","An animal eats a lot of food to fatten up.
The animal finds or builds a suitable place to hibernate where they can stay warm and protected.
The animal moves into their den.
Their heart rate and breathing slow down to conserve energy.
They emerge from the den when the weather is warming up again.","Body temperature rises.
The brain tells blood vessels to dilate.
The sweat glands become active.
Moisture is released from the pores.
The moisture evaporates.
The evaporation causes cooling.","The liver removes toxins from the blood.
Liver also cleans blood that has just been enriched with vitamins and minerals during digestion.
Liver processes the good stuff into forms that the rest of the body can use.
Waste or stuff your body doesn't need can be carried by bile back into the intestine or into the kidneys.
The liver also produces a digestive juice called bile that helps the body absorb fat into the bloodstream.
The liver also stores extra carbohydrates as glycogen for the body to use as fuel when needed.","A solar cell stores solar energy and uses it to power electrical devices.
 When light hits the solar cell, a sensor activates the photovoltaic circuit.
 The circuit converts the solar energy into electrical energy, which then powers a light-emitting diode.
 The diode emits light, which is then used to power various electrical devices.","[""An animal eats a lot of food to fatten up.\nThe animal finds or builds a suitable place to hibernate where they can stay warm and protected.\nThe animal moves into their den.\nTheir heart rate and breathing slow down to conserve energy.\nThey emerge from the den when the weather is warming up again."", ""Body temperature rises.\nThe brain tells blood vessels to dilate.\nThe sweat glands become active.\nMoisture is released from the pores.\nThe moisture evaporates.\nThe evaporation causes cooling."", ""The liver removes toxins from the blood.\nLiver also cleans blood that has just been enriched with vitamins and minerals during digestion.\nLiver processes the good stuff into forms that the rest of the body can use.\nWaste or stuff your body doesn't need can be carried by bile back into the intestine or into the kidneys.\nThe liver also produces a digestive juice called bile that helps the body absorb fat into the bloodstream.\nThe liver also stores extra carbohydrates as glycogen for the body to use as fuel when needed."", ""A solar cell stores solar energy and uses it to power electrical devices.\n When light hits the solar cell, a sensor activates the photovoltaic circuit.\n The circuit converts the solar energy into electrical energy, which then powers a light-emitting diode.\n The diode emits light, which is then used to power various electrical devices.""]",far analogy,C4
135,516Describe the life cycle of a human,"The life cycle of a frog begins with an egg, which hatches into a tadpole. As the tadpole develops, it eventually changes into an adult frog. The adult frog then mates and lays eggs, which in turn hatch into tadpoles and the cycle begins again. The entire process of the tadpole developing into an adult frog and the adult frog laying eggs to begin the cycle again is the life cycle of a frog.","Suns heat enters atmosphere.
Green house gases enter from the earth.
Heat is trapped in atmosphere.
Different things on earth are hotter.
The overall planet is hotter.","A forest fire starts.
The fire surrounds the vicinity.
The animals are trapped.
Those that survive have their habitat destroyed.
The survivors must find a new habitat.
Conflict with other animals occur.","Get some pumpkin seeds.
Plant the pumpkin seeds in soil.
Water the plant if it starts to dry out.
Don't water directly on the leaves.
Male flowers appear.
Female flowers are open for one day.
Pumpkins mature 85-125 days after planting.","The life cycle of a human begins with the fertilization of an ovum.
 The ovum hatches into a fetus, and the fetus then develops into an adult human.
 The adult human can then mate, producing offspring and starting the cycle anew.","[""Suns heat enters atmosphere.\nGreen house gases enter from the earth.\nHeat is trapped in atmosphere.\nDifferent things on earth are hotter.\nThe overall planet is hotter."", ""The life cycle of a human begins with the fertilization of an ovum.\n The ovum hatches into a fetus, and the fetus then develops into an adult human.\n The adult human can then mate, producing offspring and starting the cycle anew."", ""A forest fire starts.\nThe fire surrounds the vicinity.\nThe animals are trapped.\nThose that survive have their habitat destroyed.\nThe survivors must find a new habitat.\nConflict with other animals occur."", ""Get some pumpkin seeds.\nPlant the pumpkin seeds in soil.\nWater the plant if it starts to dry out.\nDon't water directly on the leaves.\nMale flowers appear.\nFemale flowers are open for one day.\nPumpkins mature 85-125 days after planting.""]",close analogy,C2
136,516Describe the life cycle of a human being,"The life cycle of a frog begins with an egg. The egg then develops into a tadpole. As the tadpole grows, it develops back legs, front legs, and eventually metamorphoses into an adult frog. The adult frog then releases its own eggs, starting the cycle anew.","Coal is mixed with hot air in a power station.
Water is sent through pipes in the power station.
The water pipes go through a firebox in the power station.
The coal is put in the air in the firebox.
The water heats up so it's very hot.
The water turns into steam.
The steam is pushed out of the pipes into a separate area.
The steam powers turbines.
Magnets in the turbines spin in wire coils.
Electricity is produced.","You inhale air through your nose and mouth.
The air travels down into your lungs.
Oxygen from the air goes into your bloodstream.
Oxygen circulates throughout the body due to the heart's pumping.
Carbon dioxide travels from the blood into the lungs.
Carbon dioxide travels from the lungs up the windpipe.
Carbon dioxide is exhaled.","Human beings burn fossil fuels (oil, gas, etc.).
Carbon dioxide from the burning fossil fuels enter the atmosphere.
The make-up of the atmosphere changes.
Some energy from the sun cannot escape back through the changed atmosphere.
The earth begins to heat because of the extra trapped energy.
Human beings cut down trees.
Human beings do not re-plant the trees.
Trees cannot help take the extra carbon dioxide from the atmosphere.
The extra trapped energy starts to change the earth's short term weather.
Eventually the long-term climate patterns start to change.","A human life begins with a fetus which develops within the mother's womb.
 Once the fetus has fully developed, it is then born as an infant.
 The infant gradually grows and develops until it reaches adulthood.
 At this stage, the adult is then able to reproduce and create offspring, continuing the life cycle.","[""You inhale air through your nose and mouth.\nThe air travels down into your lungs.\nOxygen from the air goes into your bloodstream.\nOxygen circulates throughout the body due to the heart's pumping.\nCarbon dioxide travels from the blood into the lungs.\nCarbon dioxide travels from the lungs up the windpipe.\nCarbon dioxide is exhaled."", ""Human beings burn fossil fuels (oil, gas, etc.).\nCarbon dioxide from the burning fossil fuels enter the atmosphere.\nThe make-up of the atmosphere changes.\nSome energy from the sun cannot escape back through the changed atmosphere.\nThe earth begins to heat because of the extra trapped energy.\nHuman beings cut down trees.\nHuman beings do not re-plant the trees.\nTrees cannot help take the extra carbon dioxide from the atmosphere.\nThe extra trapped energy starts to change the earth's short term weather.\nEventually the long-term climate patterns start to change."", ""A human life begins with a fetus which develops within the mother's womb.\n Once the fetus has fully developed, it is then born as an infant.\n The infant gradually grows and develops until it reaches adulthood.\n At this stage, the adult is then able to reproduce and create offspring, continuing the life cycle."", ""Coal is mixed with hot air in a power station.\nWater is sent through pipes in the power station.\nThe water pipes go through a firebox in the power station.\nThe coal is put in the air in the firebox.\nThe water heats up so it's very hot.\nThe water turns into steam.\nThe steam is pushed out of the pipes into a separate area.\nThe steam powers turbines.\nMagnets in the turbines spin in wire coils.\nElectricity is produced.""]",close analogy,C3
