,sample_id,source_paragraph,target_paragraph,ground_truth,type
338,1084What are the steps involved in germinating a seed?,"Growing a pumpkin requires several steps. The soil needs to provide essential nutrients for the pumpkin to grow. Sunlight should be available for at least 6-8 hours a day, promoting growth of the pumpkin. Water is also important as it encourages root development. Fertilizer can be added to the soil to increase the yield of the pumpkin."," Initially, fertilizers are used to increase the rate of germination. Following this, the soil provides the essential nutrients for the seed to germinate. Then, sunlight is essential for promoting germination. Lastly, water is necessary to encourage the seed to germinate.",0,distractor
339,770How does an artificial lung work?,"The lungs are responsible for supplying oxygen to the body. Air enters the lungs through the trachea and bronchi. The diaphragm contracts, causing the chest to expand and draw the air into the lungs. The air then passes through the bronchioles and into the alveoli, where oxygen is absorbed into the bloodstream. The alveoli also release carbon dioxide into the air, which is then expelled when the diaphragm relaxes and the chest contracts.",An artificial lung works by having oxygen enter the device. A motor then contracts two bellows to create a vacuum.  This creates pressure which causes oxygen to enter the artificial lung. The oxygen passes through the perfusion-diffusion membrane where it is absorbed.  The oxygen is then delivered to the patient's bloodstream.,1,analogy
340,80How are volcanoes formed?,"Mountains are formed when the land surface is uplifted due to tectonic plates pushing against the bedrock. The force of the collision between the two plates creates high points on the land surface, which we call mountains. Uplift from the tectonic plates is the primary cause of mountain formation as it raises the land surface and pushes the bedrock upwards."," Volcanic activity begins deep within the Earth's crust. Suddenly, a violent volcanic eruption occurs. Following the eruption, magma rises and pushes the land surface and bedrock upward. The pressure from the magma continues to build up. Finally, the eruption leads to the formation of volcanoes.",0,distractor
341,619How does oxygen travel through a respiratory system?,"Red blood cells are responsible for transporting oxygen throughout the body. Oxygen is inhaled through the diaphragm, which facilitates breathing. The oxygen is then absorbed through the capillaries, which circulate the oxygen to the cells. Once the oxygen reaches the cells, it is used to create energy in the form of ATP.","Frogs lay thousands of eggs.
Egg clusters float around in water.
Tadpoles with gills hatch from the eggs.
Tadpoles swim in water until they grow legs.
Absorbs their tails.
Then the tadpole becomes a froglet.
Then the froglet becomes a frog.",0,random
342,917How is a tsunami generated?,"Earthquakes are caused when tectonic plates shift in the Earth's crust. This movement creates pressure on the fault lines, which then release seismic energy. This energy creates ground vibrations that spread out in all directions as seismic waves.","A tsunami is generated when the water shifts on the ocean bed. This displacement of water causes a wave which releases kinetic energy. The energy is then transferred from the point of displacement and travels outward from the epicenter in the form of tsunami waves, which spread out like ordinary water waves.",1,analogy
343,739How do pollinators help plants disperse pollen?,"Animals are instrumental in the dispersal of seeds. Birds carry seeds in their feathers and deposit them in faraway places. Mammals can digest some seeds and then spread them when they defecate. Wind can also scatter the seeds. All of these actions help to spread the seeds over a large area, enabling plants to grow in new places.","Pollinators such as bees and other insects play a major role in helping plants disperse pollen. The bees use their body to carry pollen from one flower to the other. The insects on the other hand, digest the pollen and spread it to other flowers. Additionally, the wind also helps in dispersing the pollen as it scatters it across different areas.",1,analogy
344,14What happens during the oil cycle?,"The water cycle is the process by which water circulates in the environment. It begins when water evaporates from the ocean and rises into the atmosphere. Once in the atmosphere, the water vapor condenses and forms clouds. These clouds eventually precipitate the water back to the ground, completing the cycle.","Salt water is contained in a factory or plant.
The water is boiled to a very high tempature.
The salt becomes seperated from the water.
The salt is removed.
The water is able to be drank at this point.",0,random
345,892How does hail form?,Snow forms when water vapor in the atmosphere condenses into tiny droplets. These droplets freeze into snowflakes when they reach a certain temperature. Low-level clouds can then carry the snowflakes to the ground.,"Hail forms when water droplets freeze and become ice crystals. These ice crystals condense and form hailstones, which grow in size as more water droplets freeze to them. Once the hailstones become heavy enough, they fall, and hail is formed. Thunderclouds carry the hail and can cause it to reach the ground.",1,analogy
346,364Describe how air pollution can affect the environment.,"Acid rain can have a detrimental effect on the environment. It is created when pollutants such as sulfur dioxide and nitrogen oxide enter the atmosphere and react with water molecules. This creates an acidic solution which eventually falls as rain. The acidity of the rain corrodes metals and damages vegetation, while the acidity of the soil is also increased. This can have a long-lasting effect on the environment, as it can kill off many species of plants and animals.","The oil needs to be pumped from the ground.
After it is pumped it then is transported to a factory.
In the factory the oil is processed and turned into fuel.
Once the fuel is refined it is then sent to a truck.
By truck the fuel is sent to the gas station.",0,random
347,1060How does a washing machine work?,"When a dishwasher is turned on, water flows from the water line into the dishwasher compartment. The water is then mixed with the detergent, which helps dissolve the soil particles on the dishes. The spray arms then rotate and spray the water and detergent mixture onto the dishes, cleaning them.","Techtonic plates in the earths crust move.
Movement creates fissures.
Upheavals in the crust.
Fissures allow lava to erupt into volcanoes at the surface.
Volcanoes erupt, accumulating lava, forming mountains.
Upheavals in the crust become their own mountains.",0,random
348,1086Describe the typical steps involved in constructing a building.,"The first step of camping is to gather and prepare all the necessary supplies. Once the supplies are ready, you need to find and select a suitable campsite. Once the campsite has been selected, you can start to pitch and assemble the tent. Lastly, you should set and build a campfire to keep warm during the night."," The first step in constructing a building is to gather and prepare the necessary materials. Then, the structure is erected and assembled. After that, a construction site is found and selected. Finally, a foundation is set and built to support the structure.",0,distractor
349,423How does food get from the farm to the grocery store?,"Coal is usually extracted from the ground by an excavator. The excavator digs up the coal and it is loaded onto a truck. The truck then carries the coal to the power station. Once at the power station, the coal is transferred to a storage area and then used to generate electricity.","Sound waves enter your outer ear.
Travel through ear canal to your ear drum.
Eardrum vibrates with the incoming sound.
Send the vibrations to three tiny bones in your middle ear.
Bones in your middle ear amplify the vibrations.
Send them to your inner ear.
The vibrations activate tiny hair cells in your inner ear.
The hair cells release neurochemical messengers.
Your auditory nerve carries the message to your brain.
The brain translates the message so you can understand.",0,random
350,316What happens during erosion?,"Weathering is the process of breaking down rocks caused by various external factors. Wind, sunlight and temperature are the most common factors that can cause rocks to break down. Wind can break down rocks due to the constant force it exerts on them. Sunlight weakens rocks by breaking down the bonds between the minerals that make them up. Temperature fluctuations can cause rocks to expand and contract, leading to cracking and disintegration.","Erosion is a natural process where water, rain and temperature cause rocks to break down. Water and rain weaken the rocks, while temperature causes them to crack, allowing for the erosion process to take place. Over time, the effect of erosion can transform the landscape.",1,analogy
351,212How does the hydrological cycle work?,"Rain occurs when the sun heats the atmosphere and causes evaporation, which releases moisture into the air. The air carries the water vapor, which rises and cools and eventually condenses into clouds. When the clouds become too heavy with water vapor, they release the rain."," The sun heats the ocean and causes water to evaporate. Immediately after, the precipitation falls back to the Earth. Then, the water vapor rises and forms clouds. The wind carries these clouds. Subsequently, the water vapor condenses, releasing precipitation. Finally, the hydrological cycle continues.",0,distractor
352,443How do wind currents spread pollen from one plant to another?,"Bees transport pollen from one plant to another as they move from flower to flower. As bees collect nectar from the flower, they also collect the pollen from the stamens of the flower. The pollen then sticks to the hairs of the bee. The bees then deposit the pollen grains onto the stigma of the next flower that they visit, allowing for pollination to occur.","Acid rain leaches aluminum from clay particles in soil.
Aluminum flows into streams and lakes.
Acid rain dissolves minerals and nutrients in soil.
Washes them away so plants can't benefit from them.
PH in soil and water gets affected which can kill plants and animals.
Acid rain in fog at higher elevations can strip foliage off trees.",0,random
353,518Describe the life cycle of a bird,"The life cycle of a fish begins with the laying of eggs. Once the eggs hatch, they develop into tadpoles. The tadpoles gradually grow and develop into adult frogs. Finally, the adult frogs lay eggs, completing the cycle."," An adult bird lays eggs. Then, the chicks grow and develop into adult birds. After growing into adults, the eggs hatch and the chicks emerge. Finally, the adult birds lay eggs again and the cycle continues.",0,distractor
354,703Describe the process of climate change,"The greenhouse effect is a natural process that occurs when certain gases in the atmosphere trap heat. These greenhouse gases allow the sun's rays to pass through the atmosphere and reach the Earth's surface, but they trap the heat emitted from the surface, causing the temperature to rise. This process is vital for sustaining life on Earth, but it can also be damaging if it becomes too extreme.","Climate change is caused by the accumulation of greenhouse gases in the atmosphere. These gases trap infrared radiation, which causes the average temperature of the Earth's surface to rise. Sunlight passes through the atmosphere, however the radiation that is reflected back to the surface is trapped by the accumulation of greenhouse gases. This causes the average temperature to rise and results in climate change.",1,analogy
355,658Describe the life cycle of a bee,"The lifecycle of a butterfly starts when an egg hatches into a caterpillar. The caterpillar feeds on leaves and grows in size. Eventually, it forms a pupa and undergoes metamorphosis. Finally, an adult butterfly emerges and produces offspring to complete the cycle."," A bee egg is laid by the queen. Then, the adult bee produces drones. After the drones are produced, the bee egg hatches into a larva. The larva feeds on nectar and honey stored in the hive. Finally, the bee grows into an adult.",0,distractor
356,1127How does an oceanic thermal circulation system works?,"Hurricanes are formed through a complex process. Warm air rises in the atmosphere and creates an area of low pressure. This low pressure area then causes cool air to descend from the atmosphere. As the cool air descends, it creates a cyclonic wind pattern that can become very powerful."," Warm water from the ocean depths rises to the ocean surface. This rise in warm water creates a pressure gradient, which in turn creates oceanic currents. Following the creation of these currents, cool water from the surface descends to the depths. This exchange of warm and cool water then creates a pressure gradient. Finally, low pressure at the surface causes water to move away from it, creating a circular motion of water as it rises and descends.",0,distractor
357,900How does the human visual system work?,The human auditory system is responsible for interpreting sound. The ears capture sound waves and pass them to the cochlea. The cochlea is a spiral-shaped organ that transforms the sound waves into electrical signals. These signals are then sent to the auditory nerve which carries the information to the brain. The brain interprets the signals and processes them as sound.," Initially, the retina transforms the light waves into electrical signals. Then, the eyes capture light waves and send them to the retina. Following this, the optic nerve sends these signals to the brain. Finally, the brain processes the signals, allowing us to experience vision.",0,distractor
358,637Describe the life cycle of an individual,"A bird's life cycle begins with the egg. When the egg hatches, the chick emerges. As the bird matures, it progresses from a fledgling to an adult. As an adult, the bird reproduces and produces more offspring. The cycle of life continues as the eggs hatch and the chicks grow into adults, who then reproduce and create more offspring.","Coal is crushed.
The coal is burned at high temperatures inside a boiler.
The heat generated converts water to steam.
The steam spins propeller blades in the turbine.
The spinning turbine rotates coils in the generator.
The rotating coils produce electricity.
The electricity can be sent through the power grid.",0,random
359,641Describe the growth and development of a butterfly,"A frog's life cycle begins when a female frog lays eggs in water. The eggs then hatch into tadpoles, which are small, fish-like creatures with a tail and gills. As the tadpole matures, it develops legs and lungs and eventually turns into a frog. The frog then lays eggs which start the life cycle over again.","There is a rain cloud in the sky.
Small bits of ice within the cloud bump each other.
The collisions create electrical charge.
Lighter, positively charged particles sink to the bottom of the cloud.
Heavier, negatively charges particles rise to the top.
When the positive and negative charges grow large enough, a giant spark, called lightning occurs.",0,random
360,369How does the human body obtain and use oxygen?,Plants obtain water through their roots which absorb the water from the soil. The absorbed water then travels through the xylem vessels of the stem and reaches the leaves. The leaves then release the water vapor into the atmosphere through a process called transpiration.,"Coal is heated in the boiler.
The water tank over the boiler is heated.
Creates steam.
The steam is funneled to the piston.
Piston uses the steam as energy.
The piston causes the crankshaft to move.",0,random
361,852How does water get from a reservoir to a hydroelectric plant?,"Coal is extracted from deep underground coal mines. It is then transported to the power station, where it is burned in a furnace to generate energy. The heat created by the burning coal is used to produce steam which drives an engine, which in turn generates electricity."," The water is first transported to the hydroelectric plant. After transportation, water is then extracted from reservoirs using a system of pumps. At the plant, the extracted water is used to generate electricity by turning turbines. The turbines spin generators that produce electricity.",0,distractor
362,605Describe how air pollution can affect the environment.,"Acid rain is a type of precipitation with a pH that is lower than normal, and it can have a severe effect on the environment. Acid rain can corrode buildings, leach nutrients from the soil, and cause respiratory problems for people and animals. Furthermore, it can also reduce the pH of lakes, making them too acidic for fish and other aquatic life to survive. As a result, acid rain can cause significant damage to the ecosystem.","Air pollution is a major environmental concern as it can cause a variety of negative effects. It has the potential to corrode buildings and leach vital nutrients from the soil. In addition, air pollution can cause respiratory problems and other health issues in humans and animals. It can also have long-term effects on the environment, such as climate change.",1,analogy
363,22How are canyons formed?,"Valleys are formed due to erosion caused by rainwater. The rainwater erodes the sediment and creates the valleys. Rivers also play a role in the formation of valleys, as they create steep walls on either side of the valley.","Canyons are formed due to erosion from flowing water. This erosion wears away the rock and creates steep walls. As streams of water flow through the canyons, they continue to erode the rocks and create deeper crevices.",1,analogy
364,925How does a mechanical ventilator work?,"Lungs are responsible for taking in oxygen and expelling carbon dioxide. They draw oxygen molecules in through the airways, and capillaries absorb the oxygen molecules and bring them to the body’s cells. At the same time, the lungs expel carbon dioxide from the body’s cells back into the airways.","Wire is wrapped around a piece of metal.
Current is sent through the wire.
A magnetic field is produced by the current.
This magnetic field in the wire interacts with certain particles in the central metal part.
The piece of metal becomes magnetized.
The magnetism remains until the current is shut off.",0,random
365,916How is dust transported through an air filtration system?,"Particles of sediment are carried by the wind, often over long distances. When the wind loses its energy, the sediment is deposited onto surfaces such as the ocean floor. Water is also an important agent of sediment transport, as it can carry sediment over long distances and deposit it in lakes and oceans. It is also capable of eroding sediment from surfaces, thus transporting them to other locations."," Dust is carried by air. Then, the dust is removed from the environment. After the dust is removed, it is deposited onto the air filter. Finally, the air passes through the filter.",0,distractor
366,667Describe the process of dialysis,"Desalination is the process of separating salt water from fresh water. It is achieved by evaporating the salt water, which removes the salt from the water. The evaporated water then condenses and the condensed water is collected. At the end of the desalination process, pure water is collected.","Dialysis is a process in which harmful toxins are separated from the bloodstream. The toxins are removed from the blood by a semipermeable membrane. The membrane allows certain particles to pass through, while trapping the waste and toxins. The clean blood is then collected at the end of the process.",1,analogy
367,1127How does an oceanic thermal circulation system works?,"Hurricanes are formed through a complex process. Warm air rises in the atmosphere and creates an area of low pressure. This low pressure area then causes cool air to descend from the atmosphere. As the cool air descends, it creates a cyclonic wind pattern that can become very powerful.","The farmer chooses a crop that will grow well in his region.
The farmer tills the soil to loosen it.
The farmer spreads seeds.
The farmer tills again to plant the seeds.
Crops grow.",0,random
368,256How does the human respiratory system works?,"Breathing is an important process that helps the body function properly. The diaphragm contracts, causing the chest cavity to expand. This draws air into the lungs through the trachea, where oxygen is inhaled. The oxygen is then used by the body and the remaining air, now filled with carbon dioxide, is exhaled through the mouth."," The muscles contract and relax to allow for the expansion and contraction of the lungs. Then, waste gases are exhaled through the bronchioles. After exhalation, air is inhaled through the nose and passes through the trachea and bronchi until it reaches the alveoli. Finally, oxygen is taken from the air.",0,distractor
369,76How does soil transform into clay?,"Sedimentary rock is formed when particles from other rocks and organic matter settle at the bottom of a body of water. As the particles settle, they are compressed and cemented together over time, forming sedimentary rock. The process of sedimentation takes place over a long period of time, gradually building up layers of sediment."," The soil transforms into clay, a process known as lithification. Following this transformation, sediments begin to accumulate at the bottom of a body of water, or in a dry environment. Over time, these accumulated sediment layers get compressed.",0,distractor
370,879How does fog form?,"Rain is a result of the water cycle.  Sunlight causes water to evaporate, forming water vapor in the atmosphere.  The warm air rises and eventually cools, causing the water vapor to condense and form clouds.  Once the clouds become heavy and full of water, the rain begins to fall.","A bird hatches from an egg.
The bird is nurtured by its parents.
And is fed food for growth.
The bird grows.
Begins to learn how to fly.
The bird matures.
The bird leaves its nest.
The bird makes its own nest.",0,random
371,433How do you cultivate a crop of wheat?,"Growing vegetables begins with planting the seeds in the soil. After planting, it is important to provide water to the soil in order to give the seeds the nutrients they need. Sunlight also helps the growth of the vegetables, aiding the development of the plants.","To cultivate a crop of wheat, seeds must be sown in the soil. Irrigation is then provided to ensure that the soil has adequate moisture and nutrients. Sunlight is also important to the growth of the crop as it helps the wheat to photosynthesize and produce energy needed for its life cycle.",1,analogy
372,225How does a solar-powered robot arm work?,"A battery-operated sewing machine works by using a battery to provide electrical energy to the sewing machine. The energy from the battery is used to power a motor, which moves the needle up and down. The switch on the sewing machine activates the motor, allowing it to move the needle. The battery also helps to regulate the speed of the motor, ensuring that the needle moves at the desired rate.","A solar-powered robot arm works by using a solar panel to provide electrical energy to power the motor that moves the arm. When the sensor detects an object, it activates the motor, which causes the robot arm to move in a certain direction. The electrical energy from the solar panel is used to power the motor and allow it to move the arm.",1,analogy
373,834How does a fungus infect a plant?,"A virus is able to infect an animal by entering a host cell. Once inside the cell, the virus will reproduce itself, creating more copies of the virus. These copies of the virus then spread to other cells, allowing the infection to spread throughout the animal's body.","Rock begins as magma from a volcano.
The magma cools.
Crystals form and the magma become igneous rocks.
The igneous rocks break down into sediment.
Become sedimentary rocks.
If subjected to heat and/or pressure from plate-tectonic activity the sedimentary rocks become metamorphic rock.
The metamorphic rocks melt.
Become magma again.",0,random
374,1195How does a cheetah hunt for its prey?,An eagle is an amazing hunter with exceptional vision. The eagle sights its prey from a high altitude and then dives down to capture it. The eagle then uses its powerful claws and beak to capture the prey and bring it back to its nest. The eagle's ability to identify and capture its prey is remarkable and shows just how powerful its sight is.,"Baby rabbits are born alive.
Rabbits are (only occasionally) nursed by their mothers.
Many of the babies do not survive.
Larger and stronger rabbit do manage to survive.
Rabbits quickly become able to have babies of their own.
The rabbit lifecycle continues.
The amount of rabbits stays reasonable because of predators and low survival rates for their young.",0,random
375,739How do pollinators help plants disperse pollen?,"Animals are instrumental in the dispersal of seeds. Birds carry seeds in their feathers and deposit them in faraway places. Mammals can digest some seeds and then spread them when they defecate. Wind can also scatter the seeds. All of these actions help to spread the seeds over a large area, enabling plants to grow in new places.","You place aluminum cans and other products into recycling bins.
Your town or a private company collect and transport the aluminum to a recycling facility.
The aluminum is sorted and cleaned at the central recycling facility.
The aluminum is melted down to remove coatings and inks.
The melted aluminum is formed into large formations called ingots.
The ingots are transported to another facility and rolled out to make them easier to manipulate.
The ingots can now be turned into new aluminum products.",0,random
376,1202How are enzymes produced in a plant?,Proteins are formed by the combination of amino acids. The process occurs in the cytoplasm of the cell. DNA codes for proteins and provides the information for their synthesis. Ribosomes translate the mRNA and use it to guide the formation of proteins. The amino acids are then combined to form proteins in accordance with the instructions from the mRNA.," Substrates combine to form enzymes in a plant. Following this, the DNA gets transcribed into mRNA. After the transcription, the process is directed by the plant's DNA, which codes for the enzyme production. Finally, the mRNA is responsible for the production of the enzymes.",0,distractor
377,1203How is insulin synthesized in a pancreas cell?,"The process of protein synthesis begins with DNA, which codes for a specific protein. The code is then translated into a series of amino acids, which form a protein. The ribosomes in the cell then assemble the protein by connecting the amino acids. The ribosomes act as a factory, assembling the protein as instructed by the DNA code."," The pancreas cell contains RNA that codes for the production of insulin. These amino acids are then assembled into insulin by the ribosomes. After the assembly, the RNA is used by the cell to create amino acids.",0,distractor
378,675Describe the process of sedimentation,"Fossilization is the process by which organic material is buried in sediment. Over time, the soft tissues of the organic material decay, and the minerals in the sediment take the place of the organic material. As the minerals replace the organic material, fossils are formed."," Fossils are created and can be found in sedimentary rocks. Following this, organic material is preserved within the same sedimentary rock. Over time, the soft tissues of this organic material decompose, and the material is buried in sediment. Finally, the organic material is replaced by minerals.",0,distractor
379,232How does radar or sonar work?,"Animals use echolocation by emitting sound waves, which then reflect off objects in their environment. The sound waves bounce back in the direction of the animal and allow them to detect their surroundings. This process helps animals to identify the size, shape, distance, and speed of objects in their environment by listening to the reflected sound waves."," Radar or sonar works by emitting radio waves. Immediately after emitting the waves, the radar or sonar detects the direction and distance of the object. Following this, the radio waves travel through the air and reflect off objects. Finally, the reflected radio waves bounce back to the radar or sonar.",0,distractor
380,298How do viruses spread infection?,"Bacteria can cause disease by releasing toxins into the body. These toxins can be very harmful and can damage cells. Bacteria can also invade and colonize cells, causing inflammation and damage to the tissue. In addition, some bacteria can produce substances that can further harm the cells leading to further inflammation and the development of the disease."," Inflammation is caused due to the immune response. Following this, viruses invade healthy cells in the body. Once inside the cells, they release antigens that trigger an immune response. The presence of viruses also causes the body to produce antibodies that can help fight the infection. Finally, inflammation potentially leads to tissue damage and further spread of the virus.",0,distractor
381,422How does data get from its source to a database?,"Miners extract coal from the ground. This coal is then transported to the power station in trucks. Once it arrives at the power station, the coal is processed and used to generate electricity."," The data is first transported through a network, such as the internet or a local network. After the data has been transported, programmers then extract the data from its source. The network then delivers the extracted data to the database. Finally, the data is processed and stored in the database.",0,distractor
382,364Describe how air pollution can affect the environment.,"Acid rain can have a detrimental effect on the environment. It is created when pollutants such as sulfur dioxide and nitrogen oxide enter the atmosphere and react with water molecules. This creates an acidic solution which eventually falls as rain. The acidity of the rain corrodes metals and damages vegetation, while the acidity of the soil is also increased. This can have a long-lasting effect on the environment, as it can kill off many species of plants and animals."," It is important to reduce the amount of air pollution released to protect our ecosystems. After taking measures to reduce air pollution, we find that air pollution corrodes metals, damages vegetation, and acidifies soil. Furthermore, we discover that air pollution impacts the environment. Lastly, we learn that air pollution has an adverse effect on aquatic life and can cause respiratory problems in humans.",0,distractor
383,1203How are hormones secreted in the body?,"Proteins are synthesized in a cell through a process known as translation. DNA codes for the information of the proteins, which is then used to synthesize the proteins. Ribosomes bind to the mRNA transcript of the gene and use the information to assemble amino acids together, which build the proteins."," Initially, the glands in the body secrete hormones into the bloodstream. Following this, the DNA codes for these hormones. Subsequently, the body uses amino acids to build these hormones. Finally, the hormones are released and travel throughout the body to reach their target cells.",0,distractor
384,523Describe the life cycle of a butterfly,"The life cycle of a bird begins when an egg is laid and hatches into a chick. As the chick matures into an adult, it is able to reproduce, creating offspring that will repeat the same cycle. Once the juvenile bird is ready to leave the nest, it will migrate to a new environment. This is the final stage of the life cycle and allows the bird to spread its genes to different areas.","Blood is full of different waste.
Blood travels through the body.
The blood enters the kidneys.
The kidneys filter the blood.
The waste is seperated.
The urine contains the waste.
The urine is expelled from the body.",0,random
385,528Describe the behavior of a rabbit in its natural habitat,"A rabbit's life cycle begins when an infant grows into an adult. As the rabbit matures, it develops physical and cognitive skills. During adolescence, the rabbit experiences hormonal changes which prepare it for adulthood. Once the rabbit is an adult, it is capable of reproducing offspring."," Once the rabbit becomes an adult, it is able to reproduce. After reproducing, the rabbit reaches sub-adult status, undergoing hormonal changes. Finally, the juvenile rabbit matures into an adult, developing foraging skills.",0,distractor
386,879How does fog form?,"Rain is a result of the water cycle.  Sunlight causes water to evaporate, forming water vapor in the atmosphere.  The warm air rises and eventually cools, causing the water vapor to condense and form clouds.  Once the clouds become heavy and full of water, the rain begins to fall.","Fog forms when water droplets in the atmosphere condense into fog. This process is aided by cool temperatures, which cause water vapor to evaporate and rise through the atmosphere. As the cool air rises, it cools and the water vapor condenses, forming fog.",1,analogy
387,1195How does a robot arm get a ball?,"An eagle spots its prey from a distance and dives towards it. The eagle then grabs the prey with its sharp talons. Once the eagle has a grip on the prey, it carries it off to a safe place to eat.","The robot arm first spots the ball. Then, it moves towards the ball. The robot arm has a gripper which it uses to grab the ball. The gripper is connected to the robot arm, allowing it to move the ball once it has been grabbed.",1,analogy
388,611Describe how viruses can cause illness,"Bacteria can cause disease when they infect cells in the body. When the bacteria multiply, they can produce toxins that can damage the cells and tissues of the body. This can cause inflammation, which can damage organs and other tissues. The toxins and inflammation caused by the bacteria can lead to serious health issues, including disease.","The butterfly starts as an egg.
The egg hatches to form a larva, also called a caterpillar.
The carterpillar molts (loses its skin) many times as it grows.
The caterpillar then forms itself into a pupa, or chrysalis.
The caterpillar in the chrysalis begins change, a process called mmetaphorphosis.
The caterpillar completes its metamorphosis and has turned into a butterfly.
The adult butterfly emerges out of the chrysalis and flys away!.",0,random
389,794How do the kidneys work?,"The lungs are essential for our body to function properly. They take in oxygen from the atmosphere and expel carbon dioxide. The lungs also play an important role in regulating the pH levels in our bodies. Oxygen is taken in through the lungs, which is then circulated through our body by the bloodstream. Carbon dioxide is then expelled from the body through the lungs. The lungs also help to regulate the pH levels in our body by reducing the amount of acidity in the bloodstream.","The kidneys are important organs that help the body maintain its balance. They take in nutrients, expel waste, and regulate electrolyte levels. Nutrients are filtered through the kidneys and used to nourish the body. Waste is removed from the bloodstream and expelled from the body. The kidneys also help to regulate electrolyte levels, such as sodium and potassium, to ensure the body is functioning properly.",1,analogy
390,1204How does a cell produce hormones?,"Proteins are synthesized in a cell when amino acids combine to form chains of amino acid molecules. These chains are then assembled by ribosomes, which are molecular machines that can read the information encoded in the DNA molecule. Additionally, enzymes act as catalysts to speed up the process of protein synthesis.","Your thermostat senses that the room temperature has fallen below your thermostat setting.
Your thermostat sends a signal to your heating system to provide heat for your home.
When your oil burner is engaged, heating oil travels from the tank to the burner by way of a pump.
Here the oil becomes a fine mist mixed with air.
The fuel/air mixture is then injected into the burner where it is ignited in the combustion chamber.
The warm air is disbursed through vents, hot water through baseboards, or by steam radiators.",0,random
391,315How does erosion cause soil to be degraded?,"Weathering causes rocks to break apart over time. Rainwater erodes away at the rocks, and wind carries the debris away. Sunlight also helps to break down the minerals in the rocks. All of these processes work together to cause the gradual weathering of rocks."," Erosion of soil occurs. Then, wind carries away sediment, reducing the soil's fertility. After the wind, flooding occurs, causing the top layers of the soil to be removed and the soil to become more compact. Finally, chemicals break down organic matter, reducing the soil's ability to retain moisture and nutrients.",0,distractor
392,433How do you cultivate crops?,The process of growing vegetables starts with planting seeds in the soil. The seeds need the right environmental conditions to germinate. Adding fertilizer to the soil can provide the necessary nutrients and boost the growth of the plants. Water is also essential to nourish the plants and keep them healthy.,"The process of cultivating crops begins by planting seeds into the soil. The seeds will then sprout and begin to grow. Manure can be added to the soil to boost the growth of the plants. It is also important to provide irrigation to the crops, as this will nourish them and help them to thrive.",1,analogy
393,232How does radar work?,"Echolocation is a technique used by some animals like bats to find their way in the dark. The bat uses sonar to emit sound waves. These sound waves then travel outward until they hit an object and reflect back as an echo. The echoes are then detected by the bat, allowing it to determine the location, size, and shape of the object.","A sperm and egg meet inside a woman's fallopian tube.
The fertilized egg, now a zygote, travels to the uterus.
The zygote implants in the uterus.
The zygote becomes an embryo.
The embryo becomes a fetus.
The fetus grows for approximately 9 months.
The woman gives birth to a baby.
The baby grows into a child.
The child becomes an adult.
The adult mates with another adult.",0,random
394,873How does food get from the farm to the grocery store?,"Oil is extracted from the ground by drilling. After extraction, the oil is transported to a refinery, where it is processed and refined into fuel. The fuel is then transported to a gas station, where it is sold to consumers.","Food is harvested from the farm and is then transported to the grocery store. Once the food arrives, it is processed into edible products and packaged to be sold in the store. The food is then stocked in the grocery store and ready for customers to purchase.",1,analogy
395,924How does a mechanical system of air conditioning works?,"The lungs are responsible for absorbing oxygen from the air. The oxygen is then transported via the blood to the rest of the body. The exchange of gas takes place in the alveoli, which are tiny sacs inside the lungs where oxygen from the air is taken in and carbon dioxide is expelled. By this process, the lungs are able to supply oxygen to the body and remove carbon dioxide.","Rain falls on wood.
The rain seeps into the wood surface.
It permeates the wood.
When rain evaporates it leaves the wood.
It takes the finish of the wood with it.
The wood begins to lose it's luster.
It begins to look bad.
It has pieces of paint missing from the rain.
It gets worse when it rains.
It eventually will have no paint left.",0,random
396,443How do robots pollinate crops?,"Bees are important pollinators of plants. They transfer pollen from one flower to another as they feed on nectar. This process is known as cross-pollination, and it's vital for the reproduction of many plants. As bees move from one flower to the next, they pick up and transfer the pollen, allowing plants to reproduce and spread their genetic material.","Robots are used to transfer pollen from one flower to another in order to pollinate crops. This process utilizes specially designed robots programmed to mimic the behavior of bees, which naturally move from flower to flower and collect and transfer pollen. These robots are able to accurately and efficiently pollinate crops, replacing the need for bees to do the same job.",1,analogy
397,381How does a pathogen spread through a population?,"A virus is a tiny organism that is able to enter the cells of an animal. Once it has entered the cells, the virus replicates its genetic material and spreads through the host, infecting the animal. The virus is able to spread rapidly through the host, causing serious health issues.","A pathogen is a type of microorganism that enters organisms and replicates its DNA. Once a pathogen has entered a population, it can spread through individuals, either directly or indirectly. For example, it can spread through contact between individuals or via an intermediate vector such as an insect. It can also spread through the air when an infected individual coughs or sneezes. In this way, a pathogen can spread rapidly through a population.",1,analogy
398,367How do humans obtain and use nutrients?,"Plants obtain water through their roots. The roots are responsible for absorbing water from the soil, which is then transported up the stem to the leaves. The leaves then process the water to extract the necessary nutrients and release the excess water back into the atmosphere.","An organism dies.
Water seeps into the remains.
Minerals dissolved in the water form crystals.
Crystalized minerals cause the remains to harden.
The minerals form a fossil.",0,random
